dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure,n_components,init_params,bic,avg_log_likelihood,run_id,inertia,kernel,param_m,param_alpha,preprocessing,n_features_orig,n_features_reduced
pen-based,Agglomerative,2.0,euclidean,complete,1.8616621670080349,1.8616870419937184,0.0532197099116505,0.1874090247452693,1.5145366911401457,0.2829457755859137,,,,,,,,,,Original,,
pen-based,Agglomerative,2.0,manhattan,complete,0.97594379200018,0.976020542002516,0.0652911870924995,0.1930494905385735,2.2280328242265015,0.2686878601231331,,,,,,,,,,Original,,
pen-based,Agglomerative,2.0,cosine,complete,1.1287379169953056,1.128795208001975,0.0458792210937331,0.1661208151382824,1.9705552786129537,0.265388090583011,,,,,,,,,,Original,,
pen-based,Agglomerative,2.0,euclidean,average,0.9899147920077668,0.989987083012238,0.0647828152377184,0.198598981077147,1.5148243683668403,0.2887444679671893,,,,,,,,,,Original,,
pen-based,Agglomerative,2.0,manhattan,average,0.9621063339873216,0.9621463750081602,0.0620422765737546,0.1976892285298399,1.519054398503023,0.2863885069917077,,,,,,,,,,Original,,
pen-based,Agglomerative,2.0,cosine,average,1.1354084170015994,1.1354829579940997,0.0705740343928398,0.2054221251819505,1.5277137910085214,0.2900969789824907,,,,,,,,,,Original,,
pen-based,Agglomerative,2.0,euclidean,single,0.2279151249967981,0.2279516249836888,-1.546883878111324e-06,0.1041666666666666,0.7646132469389235,0.1820569153461384,,,,,,,,,,Original,,
pen-based,Agglomerative,2.0,manhattan,single,0.190870749996975,0.1909055420255754,1.6912462270240213e-06,0.1041666666666666,0.6874415088687771,0.1820581193456383,,,,,,,,,,Original,,
pen-based,Agglomerative,2.0,cosine,single,0.5180230000114534,0.51807358302176,-1.546883878111324e-06,0.1041666666666666,0.7646132469389235,0.1820569153461384,,,,,,,,,,Original,,
pen-based,Agglomerative,3.0,euclidean,complete,0.94112129099085,0.9411824580165558,0.1687493724863054,0.2884825327510917,1.9802066917155263,0.3690421082379475,,,,,,,,,,Original,,
pen-based,Agglomerative,3.0,manhattan,complete,0.9645088340039364,0.9645455830032006,0.1763012950142541,0.2891193595342067,2.027883414675405,0.3603240443573854,,,,,,,,,,Original,,
pen-based,Agglomerative,3.0,cosine,complete,1.1468274999933783,1.1468708750035148,0.0569037813890985,0.2277110625909752,1.5068088712536276,0.3355656133722973,,,,,,,,,,Original,,
pen-based,Agglomerative,3.0,euclidean,average,0.9761405409954024,0.9761979590111878,0.0648889711395685,0.1987809315866084,1.3725155024875724,0.2887726013350797,,,,,,,,,,Original,,
pen-based,Agglomerative,3.0,manhattan,average,0.9568474999978208,0.9569070419820492,0.061557144703523,0.197962154294032,1.4638345501326109,0.2868503716865616,,,,,,,,,,Original,,
pen-based,Agglomerative,3.0,cosine,average,1.141360582987545,1.1413803749892395,0.0706908230251464,0.2056040756914119,1.3798234978451025,0.2901254836534356,,,,,,,,,,Original,,
