dataset,algorithm,n_clusters,metric,linkage,runtime_sec,ari,purity,davies_bouldin,f_measure
iris,Agglomerative,2.0,euclidean,complete,0.0026284089999535354,0.2234197189738486,0.88,0.8383305729707187,0.6594951233505449
iris,Agglomerative,2.0,euclidean,average,0.001778443999683077,0.5681159420289855,1.0,0.48770481288357487,0.7777777777777778
iris,Agglomerative,2.0,euclidean,single,0.001832146000197099,0.5681159420289855,1.0,0.48770481288357487,0.7777777777777778
iris,Agglomerative,2.0,cosine,complete,0.001771530000041821,0.5681159420289855,1.0,0.48770481288357487,0.7777777777777778
iris,Agglomerative,2.0,cosine,average,0.0017975010000554903,0.5681159420289855,1.0,0.48770481288357487,0.7777777777777778
iris,Agglomerative,2.0,cosine,single,0.0013404739997895376,0.5681159420289855,1.0,0.48770481288357487,0.7777777777777778
iris,Agglomerative,3.0,euclidean,complete,0.0016415529998994316,0.7060059674676762,0.88,0.7520549745327022,0.8768472906403939
iris,Agglomerative,3.0,euclidean,average,0.0016521339998689655,0.7195837484778036,0.8866666666666667,0.7486465474598378,0.8832938591974736
iris,Agglomerative,3.0,euclidean,single,0.0013296219999574532,0.5583714437541352,0.9933333333333333,0.4264844973415079,0.7744107744107743
iris,Agglomerative,3.0,cosine,complete,0.0017698290002954309,0.5583714437541352,0.9933333333333333,0.4264844973415079,0.7744107744107743
iris,Agglomerative,3.0,cosine,average,0.0018607980000524549,0.5583714437541352,0.9933333333333333,0.4264844973415079,0.7744107744107743
iris,Agglomerative,3.0,cosine,single,0.0013547799999287236,0.5583714437541352,0.9933333333333333,0.4264844973415079,0.7744107744107743
iris,Agglomerative,4.0,euclidean,complete,0.0016863559999364952,0.5781289744177803,0.7666666666666667,0.8419831832662217,0.808574198270916
iris,Agglomerative,4.0,euclidean,average,0.0017450139998800296,0.7088753278732401,0.88,0.6389136580863424,0.8799268558304703
iris,Agglomerative,4.0,euclidean,single,0.0011700259997269313,0.553879094828854,0.98,0.44797497457662633,0.7714077714077714
iris,Agglomerative,4.0,cosine,complete,0.001295073000164848,0.5408176100628931,0.9466666666666667,0.9959224615393787,0.7635327635327636
iris,Agglomerative,4.0,cosine,average,0.0011895040001945745,0.5559376432828977,0.9866666666666667,0.4305974021626965,0.7729193501005582
iris,Agglomerative,4.0,cosine,single,0.0009380550000059884,0.5559376432828977,0.9866666666666667,0.4305974021626965,0.7729193501005582
