dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure
pen-based,Agglomerative,2,euclidean,complete,2.27669212478213,2.2766982500907034,0.06422042672398803,0.19732532751091703,1.7277671583610852,0.27853342487299587
pen-based,Agglomerative,2,manhattan,complete,1.8973122090101242,1.8973156248684973,0.057823608809789345,0.19796215429403202,2.3756310999779706,0.2673364538966075
pen-based,Agglomerative,2,euclidean,average,2.938061124878004,2.938087083166465,0.06478281523771841,0.19859898107714702,1.5148243683668408,0.2887444679671893
pen-based,Agglomerative,2,manhattan,average,1.8164099159184843,1.8164132919628173,0.06163049275929982,0.19823508005822416,1.517468649016897,0.2858620991586969
pen-based,Agglomerative,2,euclidean,single,0.3843151251785457,0.38431833405047655,-1.546883878111324e-06,0.10416666666666667,0.7646132469389235,0.18205691534613846
pen-based,Agglomerative,2,manhattan,single,0.3326304161455482,0.3326339591294527,1.6912462270240213e-06,0.10416666666666667,0.687441508868777,0.18205811934563831
pen-based,Agglomerative,3,euclidean,complete,1.980362500064075,1.9803705839440227,0.1886404753075065,0.29284934497816595,1.963273693516465,0.35210078816335605
pen-based,Agglomerative,3,manhattan,complete,1.8308402090333402,1.8308483338914812,0.21405590806329783,0.3012190684133916,1.917924920959271,0.37311778690842456
pen-based,Agglomerative,3,euclidean,average,1.8123951249290258,1.8123977920040488,0.06488897113956857,0.19878093158660845,1.3725155024875724,0.28877260133507976
pen-based,Agglomerative,3,manhattan,average,1.899499291088432,1.8995025409385562,0.06113301808969427,0.1985080058224163,1.4630387471670991,0.28632507699727316
pen-based,Agglomerative,3,euclidean,single,0.38161058304831386,0.38161337515339255,1.407025265037946e-07,0.10425764192139737,0.7388804214284003,0.18205603411477397
pen-based,Agglomerative,3,manhattan,single,0.3278600841294974,0.3278629998676479,1.407025265037946e-07,0.10425764192139737,0.7616892375125502,0.18205603411477397
pen-based,Agglomerative,4,euclidean,complete,2.20551491715014,2.205548625206575,0.18981425657445733,0.299490538573508,1.8415183083530409,0.38049111269929625
pen-based,Agglomerative,4,manhattan,complete,1.9079293329268694,1.9079325839411467,0.24364851209738525,0.35207423580786024,1.8448515997100206,0.42059858207141965
pen-based,Agglomerative,4,euclidean,average,1.939025916857645,1.9390538749285042,0.06517636821654012,0.20087336244541484,1.2475084002990848,0.28969459235831113
pen-based,Agglomerative,4,manhattan,average,1.976827833103016,1.97683066688478,0.061131636411843486,0.19868995633187772,1.2727264527086082,0.28632507699727316
pen-based,Agglomerative,4,euclidean,single,0.3860106668435037,0.38601416698656976,-1.4140266163760097e-06,0.10434861717612809,0.7624072201385287,0.18205394854851847
pen-based,Agglomerative,4,manhattan,single,0.3255570000037551,0.32555937487632036,-1.377217777893402e-06,0.10434861717612809,0.7580118300492239,0.18205394854851847
pen-based,Agglomerative,5,euclidean,complete,2.095965208951384,2.0959675409831107,0.25116381195130677,0.3611717612809316,1.6212065865853649,0.42234677762427836
pen-based,Agglomerative,5,manhattan,complete,2.1431432920508087,2.1431534169241786,0.252314989620314,0.36808588064046577,1.7884680842718559,0.4443646124720921
