dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure,n_components,init_params,bic,avg_log_likelihood,run_id
pen-based,GaussianMixture,,,,0.065244083001744,0.06798300001537427,0.10622916436199442,0.20624090247452692,1.7577755597102898,0.292546847309571,2.0,kmeans,-147700.46182502792,6.847637524765233,0.0
pen-based,GaussianMixture,,,,0.03942624997580424,0.0421092500037048,0.10622916436199442,0.20624090247452692,1.7577755597102898,0.292546847309571,2.0,kmeans,-147700.46182502792,6.847637524765233,1.0
pen-based,GaussianMixture,,,,0.03961941701709293,0.04224195901770145,0.10622916436199442,0.20624090247452692,1.7577755597102898,0.292546847309571,2.0,kmeans,-147700.46182502792,6.847637524765233,2.0
pen-based,GaussianMixture,,,,0.040259750006953254,0.04279054200742394,0.10622916436199442,0.20624090247452692,1.7577755597102898,0.292546847309571,2.0,kmeans,-147700.46182502792,6.847637524765233,3.0
pen-based,GaussianMixture,,,,0.04101862499373965,0.04373912498704158,0.10622916436199442,0.20624090247452692,1.7577755597102898,0.292546847309571,2.0,kmeans,-147700.46182502792,6.847637524765233,4.0
pen-based,GaussianMixture,,,,0.04034899998805486,0.04310899999109097,0.10622916436199442,0.20624090247452692,1.7577755597102898,0.292546847309571,2.0,kmeans,-147700.46182502792,6.847637524765233,5.0
pen-based,GaussianMixture,,,,0.03856808302225545,0.04123491601785645,0.10622916436199442,0.20624090247452692,1.7577755597102898,0.292546847309571,2.0,kmeans,-147700.46182502792,6.847637524765233,6.0
pen-based,GaussianMixture,,,,0.039558791992021725,0.042167625011643395,0.10622916436199442,0.20624090247452692,1.7577755597102898,0.292546847309571,2.0,kmeans,-147700.46182502792,6.847637524765233,7.0
pen-based,GaussianMixture,,,,0.03950800001621246,0.04226287500932813,0.10622916436199442,0.20624090247452692,1.7577755597102898,0.292546847309571,2.0,kmeans,-147700.46182502792,6.847637524765233,8.0
pen-based,GaussianMixture,,,,0.03965874999994412,0.0421755829884205,0.10622916436199442,0.20624090247452692,1.7577755597102898,0.292546847309571,2.0,kmeans,-147700.46182502792,6.847637524765233,9.0
pen-based,GaussianMixture,,,,0.03674712500651367,0.0404541669995524,0.19151770987778408,0.3067685589519651,1.4312813484451141,0.3890092728595802,3.0,kmeans,-186777.21149743928,8.689904759737216,0.0
pen-based,GaussianMixture,,,,0.036573707999195904,0.04005258300458081,0.19151770987778408,0.3067685589519651,1.4312813484451141,0.3890092728595802,3.0,kmeans,-186777.21149743928,8.689904759737216,1.0
pen-based,GaussianMixture,,,,0.035231249989010394,0.03878462500870228,0.19151770987778408,0.3067685589519651,1.4312813484451141,0.3890092728595802,3.0,kmeans,-186777.21149743928,8.689904759737216,2.0
pen-based,GaussianMixture,,,,0.035703583009308204,0.03927912499057129,0.19151770987778408,0.3067685589519651,1.4312813484451141,0.3890092728595802,3.0,kmeans,-186777.21149743928,8.689904759737216,3.0
pen-based,GaussianMixture,,,,0.03519150000647642,0.03876349999336526,0.19151770987778408,0.3067685589519651,1.4312813484451141,0.3890092728595802,3.0,kmeans,-186777.21149743928,8.689904759737216,4.0
pen-based,GaussianMixture,,,,0.0348909170133993,0.03869116702117026,0.19151770987778408,0.3067685589519651,1.4312813484451141,0.3890092728595802,3.0,kmeans,-186777.21149743928,8.689904759737216,5.0
pen-based,GaussianMixture,,,,0.03503695799736306,0.03855900000780821,0.19151770987778408,0.3067685589519651,1.4312813484451141,0.3890092728595802,3.0,kmeans,-186777.21149743928,8.689904759737216,6.0
pen-based,GaussianMixture,,,,0.035218415985582396,0.038806374999694526,0.19151770987778408,0.3067685589519651,1.4312813484451141,0.3890092728595802,3.0,kmeans,-186777.21149743928,8.689904759737216,7.0
pen-based,GaussianMixture,,,,0.03543724998598918,0.039065291988663375,0.19151770987778408,0.3067685589519651,1.4312813484451141,0.3890092728595802,3.0,kmeans,-186777.21149743928,8.689904759737216,8.0
pen-based,GaussianMixture,,,,0.0353020420006942,0.03868754202267155,0.19151770987778408,0.3067685589519651,1.4312813484451141,0.3890092728595802,3.0,kmeans,-186777.21149743928,8.689904759737216,9.0
pen-based,GaussianMixture,,,,0.10576825001044199,0.11002570801065303,0.29293877887288056,0.3872816593886463,1.6680274975318405,0.47868291798563556,4.0,kmeans,-237135.28098241737,11.045332466532649,0.0
pen-based,GaussianMixture,,,,0.10354133299551904,0.10788387499633245,0.29293877887288056,0.3872816593886463,1.6680274975318405,0.47868291798563556,4.0,kmeans,-237135.28098241737,11.045332466532649,1.0
pen-based,GaussianMixture,,,,0.10245162501814775,0.10646162502234802,0.29293877887288056,0.3872816593886463,1.6680274975318405,0.47868291798563556,4.0,kmeans,-237135.28098241737,11.045332466532649,2.0
pen-based,GaussianMixture,,,,0.10456875001545995,0.10873187499237247,0.29293877887288056,0.3872816593886463,1.6680274975318405,0.47868291798563556,4.0,kmeans,-237135.28098241737,11.045332466532649,3.0
pen-based,GaussianMixture,,,,0.10158350001438521,0.10575920902192593,0.29293877887288056,0.3872816593886463,1.6680274975318405,0.47868291798563556,4.0,kmeans,-237135.28098241737,11.045332466532649,4.0
pen-based,GaussianMixture,,,,0.10649016697425395,0.11060774998622946,0.29293877887288056,0.3872816593886463,1.6680274975318405,0.47868291798563556,4.0,kmeans,-237135.28098241737,11.045332466532649,5.0
pen-based,GaussianMixture,,,,0.10423649998847395,0.10877774999244139,0.29293877887288056,0.3872816593886463,1.6680274975318405,0.47868291798563556,4.0,kmeans,-237135.28098241737,11.045332466532649,6.0
pen-based,GaussianMixture,,,,0.10500016697915271,0.10930045798886567,0.29293877887288056,0.3872816593886463,1.6680274975318405,0.47868291798563556,4.0,kmeans,-237135.28098241737,11.045332466532649,7.0
pen-based,GaussianMixture,,,,0.10451987499254756,0.10943449998740107,0.29293877887288056,0.3872816593886463,1.6680274975318405,0.47868291798563556,4.0,kmeans,-237135.28098241737,11.045332466532649,8.0
pen-based,GaussianMixture,,,,0.10674849999486469,0.11072020899155177,0.29293877887288056,0.3872816593886463,1.6680274975318405,0.47868291798563556,4.0,kmeans,-237135.28098241737,11.045332466532649,9.0
pen-based,GaussianMixture,,,,0.1410134169855155,0.14591191601357423,0.3523537712581145,0.4704330422125182,1.5782864042455802,0.5693929622305713,5.0,kmeans,-257786.32667564153,12.049458144954995,0.0
pen-based,GaussianMixture,,,,0.14170725000440143,0.14686387500842102,0.3523537712581145,0.4704330422125182,1.5782864042455802,0.5693929622305713,5.0,kmeans,-257786.32667564153,12.049458144954995,1.0
pen-based,GaussianMixture,,,,0.14240187499672174,0.1474225830170326,0.3523537712581145,0.4704330422125182,1.5782864042455802,0.5693929622305713,5.0,kmeans,-257786.32667564153,12.049458144954995,2.0
pen-based,GaussianMixture,,,,0.14402325000264682,0.14932587501243688,0.3523537712581145,0.4704330422125182,1.5782864042455802,0.5693929622305713,5.0,kmeans,-257786.32667564153,12.049458144954995,3.0
pen-based,GaussianMixture,,,,0.1582523339893669,0.16335133399115875,0.3523537712581145,0.4704330422125182,1.5782864042455802,0.5693929622305713,5.0,kmeans,-257786.32667564153,12.049458144954995,4.0
pen-based,GaussianMixture,,,,0.14444304202334024,0.14967833398259245,0.3523537712581145,0.4704330422125182,1.5782864042455802,0.5693929622305713,5.0,kmeans,-257786.32667564153,12.049458144954995,5.0
pen-based,GaussianMixture,,,,0.14435766599490307,0.14949108299333602,0.3523537712581145,0.4704330422125182,1.5782864042455802,0.5693929622305713,5.0,kmeans,-257786.32667564153,12.049458144954995,6.0
