dataset,algorithm,n_components,init_params,runtime_sec,bic,avg_log_likelihood,run_id,runtime,ari,purity,davies_bouldin,f_measure
mushroom,GaussianMixture,2,kmeans,0.10185583401471376,-599780.7786855297,43.92592333193634,0,0.10190804116427898,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,GaussianMixture,2,kmeans,0.07901958283036947,-599780.7786855297,43.92592333193634,1,0.07934599975124002,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,GaussianMixture,2,kmeans,0.07895045820623636,-599780.7786855297,43.92592333193634,2,0.07904099998995662,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,GaussianMixture,2,kmeans,0.08194391708821058,-599780.7786855297,43.92592333193634,3,0.08240362489596009,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,GaussianMixture,2,kmeans,0.0809456673450768,-599780.7786855297,43.92592333193634,4,0.08098649978637695,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,GaussianMixture,2,kmeans,0.07973762508481741,-599780.7786855297,43.92592333193634,5,0.08025045925751328,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,GaussianMixture,2,kmeans,0.07666958309710026,-599780.7786855297,43.92592333193634,6,0.0767485830001533,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,GaussianMixture,2,kmeans,0.08184291701763868,-599780.7786855297,43.92592333193634,7,0.08195220772176981,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,GaussianMixture,2,kmeans,0.082460374571383,-599780.7786855297,43.92592333193634,8,0.08256637491285801,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,GaussianMixture,2,kmeans,0.0790730002336204,-599780.7786855297,43.92592333193634,9,0.07959770783782005,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,GaussianMixture,2,random,0.1513691251166165,-593150.2043149252,43.51783776013646,0,0.15141070913523436,0.058400959230764105,0.4239290989660266,2.962898449715686,0.41321525869309744
mushroom,GaussianMixture,2,random,0.1397318746894598,-593150.2043149252,43.51783776013646,1,0.13990870816633105,0.058400959230764105,0.4239290989660266,2.962898449715686,0.41321525869309744
mushroom,GaussianMixture,2,random,0.14657254191115499,-593150.2043149252,43.51783776013646,2,0.14675470907241106,0.058400959230764105,0.4239290989660266,2.962898449715686,0.41321525869309744
mushroom,GaussianMixture,2,random,0.14165274985134602,-593150.2043149252,43.51783776013646,3,0.14185658330097795,0.058400959230764105,0.4239290989660266,2.962898449715686,0.41321525869309744
mushroom,GaussianMixture,2,random,0.14356608409434557,-593150.2043149252,43.51783776013646,4,0.14368783310055733,0.058400959230764105,0.4239290989660266,2.962898449715686,0.41321525869309744
mushroom,GaussianMixture,2,random,0.14418441615998745,-593150.2043149252,43.51783776013646,5,0.14425633382052183,0.058400959230764105,0.4239290989660266,2.962898449715686,0.41321525869309744
mushroom,GaussianMixture,2,random,0.1384910000488162,-593150.2043149252,43.51783776013646,6,0.13866554107517004,0.058400959230764105,0.4239290989660266,2.962898449715686,0.41321525869309744
mushroom,GaussianMixture,2,random,0.14145654207095504,-593150.2043149252,43.51783776013646,7,0.14152416680008173,0.058400959230764105,0.4239290989660266,2.962898449715686,0.41321525869309744
mushroom,GaussianMixture,2,random,0.1389113748446107,-593150.2043149252,43.51783776013646,8,0.1389850419946015,0.058400959230764105,0.4239290989660266,2.962898449715686,0.41321525869309744
mushroom,GaussianMixture,2,random,0.14226329186931252,-593150.2043149252,43.51783776013646,9,0.14232874987646937,0.058400959230764105,0.4239290989660266,2.962898449715686,0.41321525869309744
mushroom,GaussianMixture,2,k-means++,0.1418752083554864,-596413.8271320176,43.71870080894815,0,0.1419177921488881,0.046442276125180024,0.38749384539635645,2.2707009296371066,0.39641160272023196
mushroom,GaussianMixture,2,k-means++,0.14092283369973302,-596413.8271320176,43.71870080894815,1,0.14102820865809917,0.046442276125180024,0.38749384539635645,2.2707009296371066,0.39641160272023196
mushroom,GaussianMixture,2,k-means++,0.14220175007358193,-596413.8271320176,43.71870080894815,2,0.14235645765438676,0.046442276125180024,0.38749384539635645,2.2707009296371066,0.39641160272023196
mushroom,GaussianMixture,2,k-means++,0.14179683290421963,-596413.8271320176,43.71870080894815,3,0.14187745796516538,0.046442276125180024,0.38749384539635645,2.2707009296371066,0.39641160272023196
mushroom,GaussianMixture,2,k-means++,0.14058745838701725,-596413.8271320176,43.71870080894815,4,0.1406585001386702,0.046442276125180024,0.38749384539635645,2.2707009296371066,0.39641160272023196
