dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure
pen-based,Agglomerative,2,euclidean,complete,1.844836541917175,1.8448837497271597,0.053219709911650516,0.1874090247452693,1.5145366911401457,0.2829457755859137
pen-based,Agglomerative,2,manhattan,complete,1.8413659171201289,1.8414856251329184,0.06529118709249955,0.1930494905385735,2.2280328242265015,0.26868786012313317
pen-based,Agglomerative,2,cosine,complete,1.9622102500870824,1.9623742923140526,0.04587922109373314,0.1661208151382824,1.9705552786129534,0.26538809058301105
pen-based,Agglomerative,2,euclidean,average,1.7957302504219115,1.7958584581501782,0.06478281523771841,0.19859898107714702,1.5148243683668408,0.2887444679671893
pen-based,Agglomerative,2,manhattan,average,1.7295328327454627,1.729584916960448,0.06204227657375464,0.1976892285298399,1.5190543985030234,0.2863885069917077
pen-based,Agglomerative,2,cosine,average,2.0483698341995478,2.0484161251224577,0.0705740343928398,0.20542212518195052,1.5277137910085214,0.2900969789824907
pen-based,Agglomerative,2,euclidean,single,0.41139783384278417,0.4114608340896666,-1.546883878111324e-06,0.10416666666666667,0.7646132469389235,0.18205691534613846
pen-based,Agglomerative,2,manhattan,single,0.3591360840946436,0.3592328750528395,1.6912462270240213e-06,0.10416666666666667,0.687441508868777,0.18205811934563831
pen-based,Agglomerative,2,cosine,single,0.8815827080979943,0.8816742077469826,-1.546883878111324e-06,0.10416666666666667,0.7646132469389235,0.18205691534613846
pen-based,Agglomerative,3,euclidean,complete,1.7082335827872157,1.708266207948327,0.1687493724863054,0.2884825327510917,1.9802066917155265,0.36904210823794753
pen-based,Agglomerative,3,manhattan,complete,1.8233290831558406,1.8233790840022266,0.17630129501425415,0.2891193595342067,2.027883414675405,0.3603240443573854
pen-based,Agglomerative,3,cosine,complete,1.9420419172383845,1.942082665860653,0.05690378138909858,0.22771106259097526,1.5068088712536276,0.33556561337229734
pen-based,Agglomerative,3,euclidean,average,1.8479184173047543,1.8480274169705808,0.06488897113956857,0.19878093158660845,1.3725155024875724,0.28877260133507976
pen-based,Agglomerative,3,manhattan,average,1.736194834113121,1.7362439590506256,0.061557144703523074,0.19796215429403202,1.4638345501326107,0.28685037168656163
pen-based,Agglomerative,3,cosine,average,1.9983444581739604,1.9984426251612604,0.07069082302514647,0.20560407569141192,1.3798234978451023,0.2901254836534356
pen-based,Agglomerative,3,euclidean,single,0.3946380000561476,0.3948399997316301,1.407025265037946e-07,0.10425764192139737,0.7388804214284003,0.18205603411477397
pen-based,Agglomerative,3,manhattan,single,0.34007337503135204,0.340204750187695,1.407025265037946e-07,0.10425764192139737,0.7616892375125502,0.18205603411477397
pen-based,Agglomerative,3,cosine,single,0.8151309997774661,0.8151910421438515,1.407025265037946e-07,0.10425764192139737,0.7388804214284003,0.18205603411477397
pen-based,Agglomerative,4,euclidean,complete,1.6986547498963773,1.6987307923845947,0.21014323162933626,0.3260553129548763,2.0139698499021774,0.39361106031761395
pen-based,Agglomerative,4,manhattan,complete,1.7736305841244757,1.7737232921645045,0.20073012969816417,0.3569868995633188,1.8411689318765196,0.41550363640110743
pen-based,Agglomerative,4,cosine,complete,1.9947824999690056,1.9948811251670122,0.16608789558613082,0.2925764192139738,1.745473856057891,0.39463640457283733
pen-based,Agglomerative,4,euclidean,average,1.8015983751975,1.8016852922737598,0.06517636821654012,0.20087336244541484,1.2475084002990848,0.28969459235831113
pen-based,Agglomerative,4,manhattan,average,1.9587872922420502,1.9588718749582767,0.06155575825662683,0.19814410480349345,1.2732056569534227,0.28685037168656163
pen-based,Agglomerative,4,cosine,average,2.2610232499428093,2.2611174159683287,0.06934484319276069,0.20560407569141192,1.3438874014958657,0.29016286407857367
pen-based,Agglomerative,4,euclidean,single,0.41195341711863875,0.41204191697761416,-1.4140266163760097e-06,0.10434861717612809,0.7624072201385287,0.18205394854851847
pen-based,Agglomerative,4,manhattan,single,0.343152416869998,0.34327624971047044,-1.377217777893402e-06,0.10434861717612809,0.7580118300492239,0.18205394854851847
pen-based,Agglomerative,4,cosine,single,0.9075444997288287,0.9076409577392042,1.7883423316108607e-06,0.10434861717612809,0.8623771363654009,0.18205513894462017
pen-based,Agglomerative,5,euclidean,complete,1.9052742500789464,1.9054263746365905,0.20921929320235808,0.3260553129548763,1.8458688312177791,0.3931522406241967
pen-based,Agglomerative,5,manhattan,complete,1.8696942091919482,1.8697766670957208,0.19030090665903204,0.3569868995633188,1.8051326418084102,0.4188102925482036
pen-based,Agglomerative,5,cosine,complete,2.003058624919504,2.003133707679808,0.25372845086890655,0.3785480349344978,1.6207737593164346,0.43994760385662596
pen-based,Agglomerative,5,euclidean,average,1.85662095900625,1.856734124943614,0.1918601943856886,0.30458515283842796,1.282984546610852,0.38299696163410196
pen-based,Agglomerative,5,manhattan,average,1.8628735831007361,1.8629622091539204,0.06155356595158367,0.19914483260553129,1.152455410903978,0.28685037168656163
pen-based,Agglomerative,5,cosine,average,2.184188417159021,2.1842651669867337,0.19992081295944508,0.30940684133915575,1.355593667106507,0.383180746223937
pen-based,Agglomerative,5,euclidean,single,0.440501875244081,0.4405924160964787,-2.9361283711561825e-06,0.1044395924308588,0.7593239995872711,0.18205186264679096
pen-based,Agglomerative,5,manhattan,single,0.38931179186329246,0.3894037501886487,-1.409150770729942e-05,0.10534934497816593,0.9200177220962903,0.18203098516074642
pen-based,Agglomerative,5,cosine,single,0.9201974580064416,0.9203976672142744,2.299438521156028e-07,0.1044395924308588,0.8496491376819598,0.18205305313152242
pen-based,Agglomerative,6,euclidean,complete,2.031096374616027,2.0311442501842976,0.23617399372433506,0.3765465793304221,1.7836410679703067,0.43606462083957537
pen-based,Agglomerative,6,manhattan,complete,2.051975500304252,2.0520484587177634,0.19202879229546743,0.36444687045123725,1.6799146940167307,0.42069403291259105
pen-based,Agglomerative,6,cosine,complete,2.2858482082374394,2.285937000066042,0.24017087747384633,0.3785480349344978,1.738203803624916,0.41109061911511463
pen-based,Agglomerative,6,euclidean,average,2.201157874893397,2.2012522909790277,0.20893812249691374,0.36153566229985445,1.2077436665360632,0.4485538086248987
pen-based,Agglomerative,6,manhattan,average,2.3728878339752555,2.3729712083004415,0.18974876357944287,0.30303857350800584,1.192827715206086,0.3784790263982047
pen-based,Agglomerative,6,cosine,average,2.647297624964267,2.647348000202328,0.19986652977905675,0.30940684133915575,1.2457056353374583,0.38315864961929463
pen-based,Agglomerative,6,euclidean,single,0.8140222090296447,0.8140612910501659,-1.2221816273607628e-06,0.10453056768558952,0.7931778139297405,0.18205098076764104
pen-based,Agglomerative,6,manhattan,single,0.5638402081094682,0.5639359997585416,-1.5695853056370098e-05,0.10544032023289665,0.9270378943894869,0.18202889556348245
pen-based,Agglomerative,6,cosine,single,1.5983597501181066,1.5984778748825192,-1.2958231263405993e-06,0.10453056768558952,0.8325530128859181,0.1820509669828848
pen-based,Agglomerative,7,euclidean,complete,2.296622999943793,2.2967699160799384,0.3019464300276007,0.4139374090247453,2.020427419230207,0.4663109831035625
pen-based,Agglomerative,7,manhattan,complete,2.406699458602816,2.4067586669698358,0.2070682432083496,0.42139737991266374,1.53915059123998,0.4562099440076146
pen-based,Agglomerative,7,cosine,complete,2.1966077918186784,2.196675958111882,0.26968962186786527,0.42549126637554585,1.669016198514583,0.45540857491404313
pen-based,Agglomerative,7,euclidean,average,1.8896172079257667,1.8898009159602225,0.20819524643152887,0.36153566229985445,1.1784080757261397,0.44804659969768945
pen-based,Agglomerative,7,manhattan,average,1.7858553328551352,1.7859307080507278,0.1899581279208774,0.3077692867540029,1.2079507478926204,0.37983083837493836
pen-based,Agglomerative,7,cosine,average,2.098478041123599,2.0985780409537256,0.21801347099615523,0.3662663755458515,1.1862101627658272,0.44933158792510725
pen-based,Agglomerative,7,euclidean,single,0.4061711672693491,0.40621887473389506,-4.142587035011112e-06,0.10471251819505095,0.7998232833506321,0.18204680746549218
pen-based,Agglomerative,7,manhattan,single,0.3741213330067694,0.3743296661414206,-1.4058412281471532e-05,0.10553129548762737,0.9230585673538355,0.18202801097522794
pen-based,Agglomerative,7,cosine,single,0.8628747500479221,0.8629802078939974,-1.4095298610705288e-05,0.10553129548762737,0.9090213615157401,0.18202799717908055
pen-based,Agglomerative,8,euclidean,complete,1.8573689172044396,1.857578624971211,0.326458550880527,0.4705240174672489,1.851054996610055,0.5122304858759381
pen-based,Agglomerative,8,manhattan,complete,1.8261190420016646,1.8263118327595294,0.330114558926961,0.5168304221251819,1.4926947328790667,0.5144634476626199
pen-based,Agglomerative,8,cosine,complete,2.01200854126364,2.0121512920595706,0.2688884936652516,0.42549126637554585,1.6489938691953938,0.45482922759825195
pen-based,Agglomerative,8,euclidean,average,1.7904454581439495,1.7905699582770467,0.36576144310218783,0.4554221251819505,1.20926315188046,0.5436196587158889
pen-based,Agglomerative,8,manhattan,average,1.7562275831587613,1.7562846671789885,0.3339577226392665,0.40165574963609896,1.241883103852361,0.4760368289247401
pen-based,Agglomerative,8,cosine,average,2.035164082888514,2.0352081670425832,0.3100402915998834,0.4606986899563319,1.1513797656846627,0.5357262146547765
pen-based,Agglomerative,8,euclidean,single,0.4161279168911278,0.4163465001620352,-2.512740780824607e-06,0.10480349344978165,0.8394024613338321,0.1820459111501654
pen-based,Agglomerative,8,manhattan,single,0.35171758383512497,0.35185458278283477,0.00017280009415605302,0.11044395924308588,1.0841415160531087,0.18198000918690074
pen-based,Agglomerative,8,cosine,single,0.854508541058749,0.8546313340775669,0.0001727628840865517,0.11044395924308588,1.0721069878031573,0.18197999533456244
pen-based,Agglomerative,9,euclidean,complete,1.8284977921284735,1.8286715419963002,0.333638531023993,0.4995451237263464,1.6706113659719335,0.5259956624751375
pen-based,Agglomerative,9,manhattan,complete,1.8158375825732946,1.8159763747826219,0.3831447760082007,0.5426673944687045,1.6020900790318207,0.5334254482339714
pen-based,Agglomerative,9,cosine,complete,2.0524245421402156,2.0524912090040743,0.30153821110354895,0.4799854439592431,1.707611500187545,0.48777529602448033
pen-based,Agglomerative,9,euclidean,average,1.8403440830297768,1.8404543329961598,0.3676298300334944,0.4602438136826783,1.2072546448983965,0.5450565828659196
pen-based,Agglomerative,9,manhattan,average,1.8733152919448912,1.8733726246282458,0.35878371560223854,0.4585152838427948,1.1626617914911608,0.5283813755876281
pen-based,Agglomerative,9,cosine,average,2.057004667352885,2.0570934591814876,0.311173914574161,0.4656113537117904,1.158944976490738,0.537155966601174
pen-based,Agglomerative,9,euclidean,single,0.4040039172396064,0.40410612476989627,-4.054688816396443e-06,0.10489446870451237,0.8530191653858982,0.18204382374828915
pen-based,Agglomerative,9,manhattan,single,0.34692462533712387,0.347035292070359,0.0001742779771918651,0.1105349344978166,1.059666810655277,0.18197911590961757
pen-based,Agglomerative,9,cosine,single,0.8572032921947539,0.8573604593984783,0.000176287647549751,0.1105349344978166,1.050786518718593,0.1819791020562344
