dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure,n_components,init_params,bic,avg_log_likelihood,run_id
pen-based,GaussianMixture,,,,0.05578320799395442,0.055814791994635016,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466,2.0,kmeans,-146335.59110207454,6.7855527939176445,0.0
pen-based,GaussianMixture,,,,0.02909237498533912,0.029116000019712374,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466,2.0,kmeans,-146335.59110207454,6.7855527939176445,1.0
pen-based,GaussianMixture,,,,0.028776084014680237,0.028797208971809596,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466,2.0,kmeans,-146335.59110207454,6.7855527939176445,2.0
pen-based,GaussianMixture,,,,0.02994224999565631,0.02996400001575239,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466,2.0,kmeans,-146335.59110207454,6.7855527939176445,3.0
pen-based,GaussianMixture,,,,0.028789374977350235,0.028827959002228454,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466,2.0,kmeans,-146335.59110207454,6.7855527939176445,4.0
pen-based,GaussianMixture,,,,0.031321459013270214,0.031352374993730336,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466,2.0,kmeans,-146335.59110207454,6.7855527939176445,5.0
pen-based,GaussianMixture,,,,0.03023295901948586,0.030257000005804002,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466,2.0,kmeans,-146335.59110207454,6.7855527939176445,6.0
pen-based,GaussianMixture,,,,0.0294847920013126,0.02952158299740404,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466,2.0,kmeans,-146335.59110207454,6.7855527939176445,7.0
pen-based,GaussianMixture,,,,0.029458457982400432,0.029479417018592358,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466,2.0,kmeans,-146335.59110207454,6.7855527939176445,8.0
pen-based,GaussianMixture,,,,0.028780291992006823,0.02880175001337193,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466,2.0,kmeans,-146335.59110207454,6.7855527939176445,9.0
pen-based,GaussianMixture,,,,0.05948883297969587,0.059508916980121285,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,0.0
pen-based,GaussianMixture,,,,0.060491541982628405,0.06052133400226012,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,1.0
pen-based,GaussianMixture,,,,0.05947491599363275,0.05950237499200739,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,2.0
pen-based,GaussianMixture,,,,0.055004750000080094,0.055033333017490804,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,3.0
pen-based,GaussianMixture,,,,0.05477245801012032,0.05479550000745803,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,4.0
pen-based,GaussianMixture,,,,0.056156499980716035,0.05618191699613817,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,5.0
