dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,0,4.305449916981160,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,1,4.70341887511313,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,2,4.3207983339671000,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,3,4.33374929218553,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,4,4.318238083040340,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,5,4.771348458016290,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,6,4.761492041870950,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,7,4.331356874899940,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,8,4.323967417003590,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,9,5.2261332499329,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,0,3.853268750011920,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,1,4.316488666925580,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,2,4.3439900409430300,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,3,4.315027333097530,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,4,3.8495726669207200,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,5,4.279591334052380,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,6,4.27321737492457,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,7,3.908118207938970,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,8,3.825277457945050,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,9,4.713913917075840,0.17983932287028900,0.716473526882601,2.040635549854110,0.7357322466020070
adult,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,0,3.607420540880410,0.17987171198509600,0.7164940010646570,2.0405890001882000,0.735750424426908
adult,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,1,3.883284084033220,0.17987171198509600,0.7164940010646570,2.0405890001882000,0.735750424426908
adult,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,2,3.8716842078138100,0.17987171198509600,0.7164940010646570,2.0405890001882000,0.735750424426908
adult,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,3,3.8720660409890100,0.17987171198509600,0.7164940010646570,2.0405890001882000,0.735750424426908
