dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
pen-based,FCM_Standard,2,euclidean,1.5,1.0,0,5.149166624993090,0.10399253107330200,0.8617176128093160,1.8188759132420600,0.2844704025196170
pen-based,FCM_Standard,2,euclidean,1.5,1.0,1,4.6229316249955400,0.10399253107330200,0.8617176128093160,1.8188759132420600,0.2844704025196170
pen-based,FCM_Standard,2,euclidean,1.5,1.0,2,5.4007940830197200,0.10399253107330200,0.8617176128093160,1.8188759132420600,0.2844704025196170
pen-based,FCM_Standard,2,euclidean,1.5,1.0,3,4.330653083976360,0.10399253107330200,0.8617176128093160,1.8188759132420600,0.2844704025196170
pen-based,FCM_Standard,2,euclidean,1.5,1.0,4,4.9996910421177700,0.10399253107330200,0.8617176128093160,1.8188759132420600,0.2844704025196170
pen-based,FCM_Standard,2,euclidean,1.5,1.0,5,5.623184791998940,0.10399253107330200,0.8617176128093160,1.8188759132420600,0.2844704025196170
pen-based,FCM_Standard,2,euclidean,1.5,1.0,6,4.728965833084660,0.10399253107330200,0.8617176128093160,1.8188759132420600,0.2844704025196170
pen-based,FCM_Standard,2,euclidean,1.5,1.0,7,5.802490875124930,0.13439912451953500,0.9008369723435230,1.888855195269870,0.3022168088041560
pen-based,FCM_Standard,2,euclidean,1.5,1.0,8,3.9670583340339400,0.10399253107330200,0.8617176128093160,1.8188759132420600,0.2844704025196170
pen-based,FCM_Standard,2,euclidean,1.5,1.0,9,5.201938041020190,0.13439912451953500,0.9008369723435230,1.888855195269870,0.3022168088041560
pen-based,FCM_Standard,2,euclidean,2.0,1.0,0,8.086937624961140,0.10225922146663600,0.8529839883551670,1.8608401516639800,0.28149445988018100
pen-based,FCM_Standard,2,euclidean,2.0,1.0,1,7.988517707912250,0.10237555188368300,0.853438864628821,1.8588975850442800,0.28164918028564400
pen-based,FCM_Standard,2,euclidean,2.0,1.0,2,8.916350292041900,0.10237555188368300,0.853438864628821,1.8588975850442800,0.28164918028564400
pen-based,FCM_Standard,2,euclidean,2.0,1.0,3,7.308351374929770,0.10237555188368300,0.853438864628821,1.8588975850442800,0.28164918028564400
pen-based,FCM_Standard,2,euclidean,2.0,1.0,4,8.337562125176190,0.10237555188368300,0.853438864628821,1.8588975850442800,0.28164918028564400
pen-based,FCM_Standard,2,euclidean,2.0,1.0,5,8.517627957975490,0.10225922146663600,0.8529839883551670,1.8608401516639800,0.28149445988018100
pen-based,FCM_Standard,2,euclidean,2.0,1.0,6,7.963768833084030,0.10237555188368300,0.853438864628821,1.8588975850442800,0.28164918028564400
pen-based,FCM_Standard,2,euclidean,2.0,1.0,7,12.661634417017900,0.10225922146663600,0.8529839883551670,1.8608401516639800,0.28149445988018100
pen-based,FCM_Standard,2,euclidean,2.0,1.0,8,7.2009384168777600,0.10225922146663600,0.8529839883551670,1.8608401516639800,0.28149445988018100
pen-based,FCM_Standard,2,euclidean,2.0,1.0,9,11.696085707983000,0.10237555188368300,0.853438864628821,1.8588975850442800,0.28164918028564400
pen-based,FCM_Standard,2,euclidean,2.5,1.0,0,1.829437250038610,0.09834474624131700,0.8327874818049490,1.9353309422402800,0.27490262368604100
pen-based,FCM_Standard,2,euclidean,2.5,1.0,1,2.262885541887950,0.10435325695776500,0.8568959243085880,1.831886849937540,0.2828623672757900
pen-based,FCM_Standard,2,euclidean,2.5,1.0,2,1.9366628751158700,0.10755264355346800,0.8501637554585150,1.8631100623215100,0.2867356681667490
pen-based,FCM_Standard,2,euclidean,2.5,1.0,3,2.289864500053230,0.10363061085586100,0.8563500727802040,1.8371673723318800,0.28266466296433800
pen-based,FCM_Standard,2,euclidean,2.5,1.0,4,1.6407775001134700,0.10560792972051200,0.8485262008733620,1.839533867476740,0.2841198739107230
