dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
pen-based,FCM_Standard,2,euclidean,1.5,1.0,0,5.149166624993086,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,1,4.6229316249955446,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,2,5.4007940830197185,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,3,4.330653083976358,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,4,4.9996910421177745,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,5,5.623184791998938,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,6,4.728965833084658,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,7,5.802490875124931,0.13439912451953476,0.9008369723435226,1.888855195269867,0.3022168088041564
pen-based,FCM_Standard,2,euclidean,1.5,1.0,8,3.9670583340339363,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,9,5.201938041020185,0.13439912451953476,0.9008369723435226,1.888855195269867,0.3022168088041564
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,0,8.611876040929928,0.13704838831099364,0.9065684133915575,1.8820193895305837,0.30454917107637225
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,1,2.7379987919703126,0.10257138341667164,0.863264192139738,1.774947313625962,0.2851668810984513
