dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
mushroom,FCM_Standard,2,euclidean,1.5,1.0,0,1.8506389160174876,0.08341312470449604,0.7612013786312162,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,1,1.9621060420759022,0.08341312470449604,0.7612013786312162,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,2,1.6892754579894245,0.08341312470449604,0.7612013786312162,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,3,1.9933198750950396,0.08341312470449604,0.7612013786312162,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,4,2.070665542036295,0.08341312470449604,0.7612013786312162,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,5,1.8416963340714574,0.08341312470449604,0.7612013786312162,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,6,2.4149589580483735,0.08341312470449604,0.7612013786312162,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,7,1.980876540997997,0.08341312470449604,0.7612013786312162,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,8,2.281216957839206,0.08341312470449604,0.7612013786312162,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,9,2.1075269589200616,0.08341312470449604,0.7612013786312162,2.0405463461121593,0.4297415289621615
mushroom,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,0,0.7972712088376284,0.08538606299616085,0.7695716395864106,2.006778590825393,0.43365482914425696
mushroom,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,1,0.8828301671892405,0.08538606299616085,0.7695716395864106,2.006778590825393,0.43365482914425696
mushroom,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,2,0.8177433330565691,0.08538606299616085,0.7695716395864106,2.006778590825393,0.43365482914425696
mushroom,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,3,0.9663353329524398,0.08538606299616085,0.7695716395864106,2.006778590825393,0.43365482914425696
mushroom,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,4,0.807888625189662,0.08538606299616085,0.7695716395864106,2.006778590825393,0.43365482914425696
mushroom,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,5,0.8083524578250945,0.08538606299616085,0.7695716395864106,2.006778590825393,0.43365482914425696
mushroom,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,6,1.38682366698049,0.08538606299616085,0.7695716395864106,2.006778590825393,0.43365482914425696
mushroom,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,7,0.8683580830693245,0.08538606299616085,0.7695716395864106,2.006778590825393,0.43365482914425696
mushroom,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,8,1.5162327089346945,0.08538606299616085,0.7695716395864106,2.006778590825393,0.43365482914425696
