dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,0,0.2908175829797983,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,1,0.3441503751091659,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,2,0.3219625831115991,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,3,0.3023883330170065,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,4,0.3115359591320157,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,5,0.3430398339405656,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,6,0.3383749579079449,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,7,0.34512887499295175,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,8,0.32903683418408036,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,9,0.3379407909233123,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,0,0.27256583399139345,0.17977455333677683,0.7607182343065395,2.058597511534178,0.7356958904955362
adult,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,1,0.27031612512655556,0.17977455333677683,0.7607182343065395,2.058597511534178,0.7356958904955362
adult,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,2,0.2712119580246508,0.17977455333677683,0.7607182343065395,2.058597511534178,0.7356958904955362
adult,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,3,0.2701893749181181,0.17977455333677683,0.7607182343065395,2.058597511534178,0.7356958904955362
adult,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,4,0.27952699991874397,0.17977455333677683,0.7607182343065395,2.058597511534178,0.7356958904955362
adult,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,5,0.321833583060652,0.17977455333677683,0.7607182343065395,2.058597511534178,0.7356958904955362
adult,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,6,0.3240017909556627,0.17977455333677683,0.7607182343065395,2.058597511534178,0.7356958904955362
adult,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,7,0.2964969160966575,0.17977455333677683,0.7607182343065395,2.058597511534178,0.7356958904955362
