dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
pen-based,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,0,0.08909529191441834,0.13585139791300113,0.20642285298398835,1.8801328097792178,0.3042844212532237
pen-based,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,1,0.03185429098084569,0.1018322726032216,0.2060589519650655,1.756030598250992,0.28568046820991777
pen-based,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,2,0.02924404083751142,0.13604232003495748,0.20642285298398835,1.8803495341608336,0.30432878087937015
pen-based,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,3,0.030452749924734235,0.1018322726032216,0.2060589519650655,1.756030598250992,0.28568046820991777
pen-based,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,4,0.037260458106175065,0.1018322726032216,0.2060589519650655,1.756030598250992,0.28568046820991777
pen-based,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,5,0.04344954085536301,0.13585139791300113,0.20642285298398835,1.8801328097792178,0.3042844212532237
pen-based,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,6,0.0285652088932693,0.1018322726032216,0.2060589519650655,1.756030598250992,0.28568046820991777
pen-based,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,7,0.036975417053326964,0.13571289800430894,0.20642285298398835,1.880050346318254,0.3042305828081067
pen-based,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,8,0.03132279100827873,0.1018322726032216,0.2060589519650655,1.756030598250992,0.28568046820991777
pen-based,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,9,0.022934417007490993,0.13604232003495748,0.20642285298398835,1.8803495341608336,0.30432878087937015
pen-based,FCM_Suppressed_0.5,2,euclidean,2.0,0.5,0,0.0863723331131041,0.1370987800602996,0.20642285298398835,1.8811087502656767,0.3047218016920277
pen-based,FCM_Suppressed_0.5,2,euclidean,2.0,0.5,1,0.020316874841228127,0.10104879953066528,0.20614992721979622,1.745981033973518,0.2854752172145479
pen-based,FCM_Suppressed_0.5,2,euclidean,2.0,0.5,2,0.023268125019967556,0.1370987800602996,0.20642285298398835,1.8811087502656767,0.3047218016920277
pen-based,FCM_Suppressed_0.5,2,euclidean,2.0,0.5,3,0.01575100002810359,0.10104879953066528,0.20614992721979622,1.745981033973518,0.2854752172145479
pen-based,FCM_Suppressed_0.5,2,euclidean,2.0,0.5,4,0.02219233289361,0.10104879953066528,0.20614992721979622,1.745981033973518,0.2854752172145479
pen-based,FCM_Suppressed_0.5,2,euclidean,2.0,0.5,5,0.03506124997511506,0.1370987800602996,0.20642285298398835,1.8811087502656767,0.3047218016920277
pen-based,FCM_Suppressed_0.5,2,euclidean,2.0,0.5,6,0.016024000011384487,0.10097986735718115,0.20614992721979622,1.7463608669249242,0.2854083888980007
pen-based,FCM_Suppressed_0.5,2,euclidean,2.0,0.5,7,0.02437195903621614,0.1367501210482133,0.20642285298398835,1.8808965807410585,0.30458801378941014
pen-based,FCM_Suppressed_0.5,2,euclidean,2.0,0.5,8,0.022827249951660633,0.1011930799227083,0.20614992721979622,1.7500109509502202,0.2854432348744836
pen-based,FCM_Suppressed_0.5,2,euclidean,2.0,0.5,9,0.018774500116705894,0.1367501210482133,0.20642285298398835,1.8808965807410585,0.30458801378941014
pen-based,FCM_Suppressed_0.5,2,euclidean,2.5,0.5,0,0.1406269168946892,0.13641402239643474,0.20642285298398835,1.8800048623677492,0.30457368217873837
pen-based,FCM_Suppressed_0.5,2,euclidean,2.5,0.5,1,0.023520292015746236,0.10104996822578459,0.20624090247452692,1.7399835090845885,0.2857498471987681
pen-based,FCM_Suppressed_0.5,2,euclidean,2.5,0.5,2,0.023806000128388405,0.13641402239643474,0.20642285298398835,1.8800048623677492,0.30457368217873837
pen-based,FCM_Suppressed_0.5,2,euclidean,2.5,0.5,3,0.02058354113250971,0.10104996822578459,0.20624090247452692,1.7399835090845885,0.2857498471987681
pen-based,FCM_Suppressed_0.5,2,euclidean,2.5,0.5,4,0.029291542014107108,0.10104996822578459,0.20624090247452692,1.7399835090845885,0.2857498471987681
pen-based,FCM_Suppressed_0.5,2,euclidean,2.5,0.5,5,0.038822291884571314,0.13641402239643474,0.20642285298398835,1.8800048623677492,0.30457368217873837
pen-based,FCM_Suppressed_0.5,2,euclidean,2.5,0.5,6,0.01802874985150993,0.10109961861042878,0.20624090247452692,1.7402025219207602,0.2857793924843381
pen-based,FCM_Suppressed_0.5,2,euclidean,2.5,0.5,7,0.043582500191405416,0.13641402239643474,0.20642285298398835,1.8800048623677492,0.30457368217873837
pen-based,FCM_Suppressed_0.5,2,euclidean,2.5,0.5,8,0.026654375018551946,0.10111784605761244,0.20624090247452692,1.7405566531898296,0.28577613109147293
pen-based,FCM_Suppressed_0.5,2,euclidean,2.5,0.5,9,0.03073841705918312,0.13641402239643474,0.20642285298398835,1.8800048623677492,0.30457368217873837
pen-based,FCM_Suppressed_0.5,3,euclidean,1.5,0.5,0,0.04880979098379612,0.20129349661562945,0.3057678311499272,1.4370662539797294,0.385031519204937
pen-based,FCM_Suppressed_0.5,3,euclidean,1.5,0.5,1,0.03481200011447072,0.23244742178245495,0.30049126637554585,1.5356798979657096,0.38061529372214
pen-based,FCM_Suppressed_0.5,3,euclidean,1.5,0.5,2,0.07450183387845755,0.23235443851178855,0.30049126637554585,1.5357234248320388,0.3805881261162291
pen-based,FCM_Suppressed_0.5,3,euclidean,1.5,0.5,3,0.07171579194255173,0.23235443851178855,0.30049126637554585,1.5357234248320388,0.3805881261162291
pen-based,FCM_Suppressed_0.5,3,euclidean,1.5,0.5,4,0.04592141602188349,0.20167761258848582,0.30594978165938863,1.4361485550768016,0.38542026281125097
pen-based,FCM_Suppressed_0.5,3,euclidean,1.5,0.5,5,0.0722779999487102,0.23235443851178855,0.30049126637554585,1.5357234248320388,0.3805881261162291
pen-based,FCM_Suppressed_0.5,3,euclidean,1.5,0.5,6,0.035771625116467476,0.23244742178245495,0.30049126637554585,1.5356798979657096,0.38061529372214
pen-based,FCM_Suppressed_0.5,3,euclidean,1.5,0.5,7,0.035318541107699275,0.23244742178245495,0.30049126637554585,1.5356798979657096,0.38061529372214
pen-based,FCM_Suppressed_0.5,3,euclidean,1.5,0.5,8,0.0389931658282876,0.23236042233470233,0.30049126637554585,1.535609394919037,0.3805749240388828
pen-based,FCM_Suppressed_0.5,3,euclidean,1.5,0.5,9,0.03308312478475273,0.20167761258848582,0.30594978165938863,1.4361485550768016,0.38542026281125097
pen-based,FCM_Suppressed_0.5,3,euclidean,2.0,0.5,0,0.03042458393611014,0.20179790012515028,0.30604075691411936,1.434566605297891,0.38589484209104324
pen-based,FCM_Suppressed_0.5,3,euclidean,2.0,0.5,1,0.029144665924832225,0.23317227495094103,0.30049126637554585,1.5362577322164952,0.3810043144295624
