dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
pen-based,FCM_Standard,2,euclidean,1.5,1.0,0,0.11339212488383055,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,1,0.10076795797795057,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,2,0.12523670913651586,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,3,0.0976969578769058,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,4,0.11506016715429723,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,5,0.12570695811882615,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,6,0.10292704100720584,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,7,0.11462312494404614,0.13439912451953476,0.20687772925764192,1.888855195269867,0.3022168088041564
pen-based,FCM_Standard,2,euclidean,1.5,1.0,8,0.1161132080014795,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,9,0.12101733312010765,0.13439912451953476,0.20687772925764192,1.888855195269867,0.3022168088041564
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,0,0.13757700007408857,0.10250671545904674,0.20514919941775836,1.7793124319998197,0.2849221116053057
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,1,0.042976458091288805,0.10246836152258157,0.20514919941775836,1.779495965812843,0.2848907020103464
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,2,0.04190762504003942,0.13739791321617037,0.20660480349344978,1.8825755641357773,0.304628569507079
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,3,0.0383820419665426,0.10246836152258157,0.20514919941775836,1.779495965812843,0.2848907020103464
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,4,0.04801791696809232,0.10246836152258157,0.20514919941775836,1.779495965812843,0.2848907020103464
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,5,0.0637104578781873,0.13721055780679134,0.20660480349344978,1.882549675879312,0.30453890455157234
