dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
mushroom,FCM_Standard,2,euclidean,1.5,1.0,0,0.24288616701960564,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,1,0.25958254211582243,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,2,0.22439062502235174,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,3,0.25686587509699166,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,4,0.26380579196847975,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,5,0.24722229083999991,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,6,0.3143526669591665,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,7,0.2585017078090459,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,8,0.2914690829347819,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,9,0.28150145802646875,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,0,0.07735825004056096,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,1,0.08347487496212125,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,2,0.07211562502197921,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,3,0.07749000005424023,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,4,0.07663820893503726,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,5,0.07109858398325741,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,6,0.11697420896962285,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,7,0.0812558748293668,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,8,0.13138949987478554,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,9,0.09783320897258818,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,0,0.05970399989746511,0.08413149823012986,0.38749384539635645,2.003812827143705,0.4327853594365807
mushroom,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,1,0.06633554096333683,0.08413149823012986,0.38749384539635645,2.003812827143705,0.4327853594365807
mushroom,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,2,0.053652375005185604,0.08413149823012986,0.38749384539635645,2.003812827143705,0.4327853594365807
mushroom,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,3,0.06832679198123515,0.08413149823012986,0.38749384539635645,2.003812827143705,0.4327853594365807
mushroom,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,4,0.06262041605077684,0.08413149823012986,0.38749384539635645,2.003812827143705,0.4327853594365807
mushroom,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,5,0.0552433340344578,0.08413149823012986,0.38749384539635645,2.003812827143705,0.4327853594365807
mushroom,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,6,0.11700916686095297,0.08890041158606721,0.38749384539635645,1.7937569473164159,0.4520219891566071
mushroom,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,7,0.06618495797738433,0.08413149823012986,0.38749384539635645,2.003812827143705,0.4327853594365807
mushroom,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,8,0.1388104590587318,0.08890041158606721,0.38749384539635645,1.7937569473164159,0.4520219891566071
mushroom,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,9,0.08035283419303596,0.08413149823012986,0.38749384539635645,2.003812827143705,0.4327853594365807
mushroom,FCM_Standard,2,euclidean,2.0,1.0,0,0.14617920806631446,0.0814155814900078,0.38749384539635645,2.057592383692767,0.4265128086192143
mushroom,FCM_Standard,2,euclidean,2.0,1.0,1,0.1346528329886496,0.0814155814900078,0.38749384539635645,2.057592383692767,0.4265128086192143
mushroom,FCM_Standard,2,euclidean,2.0,1.0,2,0.17336845793761313,0.0814155814900078,0.38749384539635645,2.057592383692767,0.4265128086192143
mushroom,FCM_Standard,2,euclidean,2.0,1.0,3,0.1333857919089496,0.0814155814900078,0.38749384539635645,2.057592383692767,0.4265128086192143
mushroom,FCM_Standard,2,euclidean,2.0,1.0,4,0.12317383289337158,0.0814155814900078,0.38749384539635645,2.057592383692767,0.4265128086192143
mushroom,FCM_Standard,2,euclidean,2.0,1.0,5,0.15272999997250736,0.0814155814900078,0.38749384539635645,2.057592383692767,0.4265128086192143
mushroom,FCM_Standard,2,euclidean,2.0,1.0,6,0.0809962498024106,0.08142106199117918,0.38749384539635645,2.0576984619144203,0.42641173792341197
mushroom,FCM_Standard,2,euclidean,2.0,1.0,7,0.13823720812797546,0.0814155814900078,0.38749384539635645,2.057592383692767,0.4265128086192143
mushroom,FCM_Standard,2,euclidean,2.0,1.0,8,0.0934197090100497,0.08145746408788838,0.38749384539635645,2.0572679712130997,0.42658731263027955
mushroom,FCM_Standard,2,euclidean,2.0,1.0,9,0.11855566618032753,0.0814155814900078,0.38749384539635645,2.057592383692767,0.4265128086192143
mushroom,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,0,0.06394737493246794,0.08623706045597383,0.38749384539635645,2.008909016451923,0.434234220621567
mushroom,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,1,0.06974470801651478,0.08623706045597383,0.38749384539635645,2.008909016451923,0.434234220621567
mushroom,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,2,0.062811000039801,0.08623706045597383,0.38749384539635645,2.008909016451923,0.434234220621567
mushroom,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,3,0.07058795797638595,0.08623706045597383,0.38749384539635645,2.008909016451923,0.434234220621567
mushroom,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,4,0.06892987480387092,0.08623706045597383,0.38749384539635645,2.008909016451923,0.434234220621567
mushroom,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,5,0.06920625013299286,0.08623706045597383,0.38749384539635645,2.008909016451923,0.434234220621567
