dataset,algorithm,n_clusters,metric,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
pen-based,KMeans_PP,2,euclidean,0,12850.144679626317,0.015601749997586012,0.1377050483973761,0.20642285298398835,1.8807006560736164,0.3050856260389679
pen-based,KMeans_PP,2,euclidean,1,12850.36344887509,0.007778916973620653,0.13392925054038848,0.20642285298398835,1.8774575820090669,0.3037448837901962
pen-based,KMeans_PP,2,euclidean,2,12811.88368989477,0.0056792080868035555,0.08525644124129807,0.20514919941775836,1.591043921194934,0.2977099790099912
pen-based,KMeans_PP,2,euclidean,3,12861.690094263116,0.007903875084593892,0.10018882620082294,0.20651382823871905,1.7293923788179177,0.28577674959566746
pen-based,KMeans_PP,2,euclidean,4,12861.825720223316,0.015524792019277811,0.10062828134809185,0.20651382823871905,1.7332929326110946,0.28598754046902675
pen-based,KMeans_PP,2,euclidean,5,12861.8793129949,0.016252540983259678,0.10062828134809185,0.20651382823871905,1.7332929326110946,0.28598754046902675
pen-based,KMeans_PP,2,euclidean,6,12811.913906553096,0.008303749840706587,0.08532573190218738,0.20514919941775836,1.5913423648169343,0.29774293078694564
pen-based,KMeans_PP,2,euclidean,7,12861.651127706687,0.007451540790498257,0.10038728335771602,0.20651382823871905,1.7303906566422034,0.2859238943244882
pen-based,KMeans_PP,2,euclidean,8,12850.07458692521,0.0093534579500556,0.13628671483358415,0.20633187772925765,1.879713329067646,0.30456167024432224
pen-based,KMeans_PP,2,euclidean,9,12850.014522039604,0.009161042049527168,0.13651601918949544,0.20642285298398835,1.8798538458644631,0.3046434776696628
pen-based,KMeans_PP,2,manhattan,0,38469.17222553272,0.014365416020154953,0.11048442307607417,0.2059679767103348,1.868304865331147,0.2934512828256557
pen-based,KMeans_PP,2,manhattan,1,38474.70011974314,0.00836287485435605,0.1078215657745181,0.2058770014556041,1.864280064183563,0.29225806994134645
pen-based,KMeans_PP,2,manhattan,2,38270.16802871052,0.007823250023648143,0.07629524300396465,0.20414847161572053,1.5855312708954423,0.2910051465692451
pen-based,KMeans_PP,2,manhattan,3,38089.223158372806,0.011161540867760777,0.09672712583018882,0.20642285298398835,1.7705536723015713,0.2813860873746996
pen-based,KMeans_PP,2,manhattan,4,38086.54427108339,0.015957416035234928,0.09663146672501043,0.20633187772925765,1.7718187355910124,0.2814451798308453
pen-based,KMeans_PP,2,manhattan,5,38484.014771382645,0.014590416103601456,0.10417589876897403,0.2058770014556041,1.8594732662610947,0.29013613336711486
pen-based,KMeans_PP,2,manhattan,6,38282.3222984263,0.0068359579890966415,0.07640879081017829,0.20423944687045123,1.5942685987321994,0.29032731609956003
pen-based,KMeans_PP,2,manhattan,7,38061.94551110138,0.0054867088329046965,0.09768070543209646,0.20651382823871905,1.7545292293292343,0.28315468421671286
pen-based,KMeans_PP,2,manhattan,8,38469.21196055328,0.012864625081419945,0.11046167327287924,0.2059679767103348,1.8679804180242483,0.2934781043814144
pen-based,KMeans_PP,2,manhattan,9,38470.34488188479,0.01235250011086464,0.10977050392871995,0.2059679767103348,1.86745445920979,0.29312004642015554
pen-based,KMeans_PP,3,euclidean,0,10225.414012989335,0.017100750003010035,0.23726711263297526,0.30030931586608445,1.5400195461099448,0.38378256852475107
pen-based,KMeans_PP,3,euclidean,1,10225.677122191757,0.046944875037297606,0.2367470839501869,0.30030931586608445,1.5401439213964876,0.3831510499809709
pen-based,KMeans_PP,3,euclidean,2,10159.686716118458,0.01364770787768066,0.20247008653624535,0.3070414847161572,1.4292834115577593,0.38742672603101724
pen-based,KMeans_PP,3,euclidean,3,10225.429215435328,0.010080208070576191,0.23730916871463079,0.30030931586608445,1.5400997501097315,0.38382632538470984
pen-based,KMeans_PP,3,euclidean,4,10225.424469614125,0.023555834079161286,0.23734985300401895,0.30030931586608445,1.5400395487708227,0.38386258719343636
pen-based,KMeans_PP,3,euclidean,5,10225.512899732432,0.015777959022670984,0.23709408326316764,0.30030931586608445,1.5403454334868913,0.3835496113226143
pen-based,KMeans_PP,3,euclidean,6,10159.568556182534,0.010953417047858238,0.20234733040998468,0.3070414847161572,1.4295301985170148,0.38728518386260447
pen-based,KMeans_PP,3,euclidean,7,10159.610153454336,0.015334957977756858,0.20237527004112807,0.3070414847161572,1.4294139756677933,0.3873296194174854
pen-based,KMeans_PP,3,euclidean,8,10225.611141131141,0.033239124808460474,0.23701412477282932,0.30030931586608445,1.540175507427515,0.38335144205082394
pen-based,KMeans_PP,3,euclidean,9,10159.663895683683,0.021518874913454056,0.20244173180328995,0.3070414847161572,1.4293976593725024,0.38738229398164065
pen-based,KMeans_PP,3,manhattan,0,33518.90934273794,0.02476029098033905,0.21169856659705247,0.2943959243085881,1.6656749198204988,0.3839087724412384
pen-based,KMeans_PP,3,manhattan,1,33516.25374302179,0.06154629192315042,0.21096813817387233,0.2943959243085881,1.6641908126597167,0.38363193609698726
pen-based,KMeans_PP,3,manhattan,2,34268.97709170231,0.010525000048801303,0.24149549202437487,0.3029475982532751,1.7357525792780573,0.40370706630526076
pen-based,KMeans_PP,3,manhattan,3,33506.90605760306,0.04872912494465709,0.21070846655974312,0.2945778748180495,1.6613462366783913,0.3837804033151124
pen-based,KMeans_PP,3,manhattan,4,34286.83376168669,0.041251958115026355,0.2451666441834833,0.3021288209606987,1.740939205113231,0.40731995942702615
pen-based,KMeans_PP,3,manhattan,5,33481.0466182893,0.03930187504738569,0.21009491743450934,0.2948508005822416,1.6538604372392072,0.3836132231521265
pen-based,KMeans_PP,3,manhattan,6,33173.910641700386,0.03022058284841478,0.19665267865139208,0.3035844250363901,1.4917449068094708,0.3777707058469774
pen-based,KMeans_PP,3,manhattan,7,33508.12565809221,0.056647917022928596,0.21085849636201265,0.2945778748180495,1.6620553556864912,0.3837730537858542
pen-based,KMeans_PP,3,manhattan,8,33510.96161856924,0.017961750039830804,0.2110630627195364,0.2945778748180495,1.6629860449884404,0.383867746015642
pen-based,KMeans_PP,3,manhattan,9,34277.01142745583,0.015373208094388247,0.24470685939110148,0.3027656477438137,1.737294214086619,0.4064733538680482
pen-based,KMeans_PP,4,euclidean,0,8905.682626338086,0.025024374946951866,0.31009691223449803,0.36089883551673946,1.4633963267319525,0.4765821128810388
pen-based,KMeans_PP,4,euclidean,1,8905.483153825187,0.03983966680243611,0.31141442663432023,0.3620815138282387,1.4660070191515944,0.47754478981129134
pen-based,KMeans_PP,4,euclidean,2,8909.81744522509,0.013527041068300605,0.2956658893876877,0.388646288209607,1.5708512163227717,0.45695326343704645
pen-based,KMeans_PP,4,euclidean,3,8525.527142667012,0.023577542044222355,0.3199370759788927,0.39019286754002913,1.4540728061469557,0.4710950389214673
pen-based,KMeans_PP,4,euclidean,4,8905.437631137798,0.057422042125836015,0.31156524900913407,0.361990538573508,1.465802733526847,0.4774909895961941
pen-based,KMeans_PP,4,euclidean,5,8525.754444572296,0.02650833409279585,0.31846666105635846,0.389919941775837,1.451884395426803,0.4706230239285548
pen-based,KMeans_PP,4,euclidean,6,8525.665708694634,0.018214333103969693,0.3188721259855578,0.389919941775837,1.452204870445668,0.47090758268845295
pen-based,KMeans_PP,4,euclidean,7,8905.509289908685,0.019047625130042434,0.31100452441785525,0.3618085880640466,1.4656380431255887,0.4772896797761614
pen-based,KMeans_PP,4,euclidean,8,8525.596432341876,0.017067041946575046,0.31909525958167,0.389919941775837,1.4527615725225105,0.470967271308595
pen-based,KMeans_PP,4,euclidean,9,8525.734739083497,0.037152583012357354,0.31871973425574374,0.389919941775837,1.451850397282695,0.47089928600029596
pen-based,KMeans_PP,4,manhattan,0,29852.234508548798,0.029387625167146325,0.31614795355113345,0.38300582241630277,1.465274190551996,0.4718409648167586
pen-based,KMeans_PP,4,manhattan,1,29855.77379326061,0.04769212496466935,0.31607455296624587,0.38291484716157204,1.46548996466756,0.4718169372679462
pen-based,KMeans_PP,4,manhattan,2,29854.345972848678,0.034748208010569215,0.31626660593386624,0.38300582241630277,1.465639150583947,0.4719162595765179
pen-based,KMeans_PP,4,manhattan,3,29866.910073292885,0.023294166894629598,0.31555532699914607,0.38282387190684136,1.4661807729882304,0.4714877208500119
pen-based,KMeans_PP,4,manhattan,4,29853.816020751176,0.04762658290565014,0.3159987764211122,0.3832787481804949,1.4648233156728052,0.47161470761161517
pen-based,KMeans_PP,4,manhattan,5,30579.68383029997,0.026418083114549518,0.29798055163454523,0.3872816593886463,1.6223869964626643,0.4527240389445638
pen-based,KMeans_PP,4,manhattan,6,29851.491756413612,0.018354249885305762,0.3162284898951383,0.3830967976710335,1.4655871109567264,0.47189215047034333
pen-based,KMeans_PP,4,manhattan,7,29853.153315416268,0.03675112500786781,0.316082893250366,0.38291484716157204,1.4657103513668241,0.4718062607184809
pen-based,KMeans_PP,4,manhattan,8,29853.965274719812,0.02927666692994535,0.31611561660676507,0.38291484716157204,1.465375443281121,0.47181320466313875
pen-based,KMeans_PP,4,manhattan,9,29853.48990195556,0.04527666699141264,0.31620106799679903,0.38300582241630277,1.4660114563809379,0.4719023965722691
pen-based,KMeans_PP,5,euclidean,0,7567.181071489548,0.02580250008031726,0.361872456974101,0.4506914119359534,1.2974034948302482,0.532580276217301
pen-based,KMeans_PP,5,euclidean,1,7566.893902742656,0.026851790957152843,0.36241866455044436,0.4510553129548763,1.2971298527514783,0.5330027737465957
pen-based,KMeans_PP,5,euclidean,2,7913.592477919169,0.024556624935939908,0.32928886205408237,0.44204876273653565,1.4838027875889548,0.5167731791015411
pen-based,KMeans_PP,5,euclidean,3,7618.938413505825,0.015945125138387084,0.3720654314957582,0.4868085880640466,1.260512715670407,0.5312278532885042
pen-based,KMeans_PP,5,euclidean,4,7530.681165204616,0.02424329100176692,0.35531692292464184,0.44596069868995636,1.3564184870494678,0.5334249232542211
pen-based,KMeans_PP,5,euclidean,5,7618.918012163749,0.024843625025823712,0.37285282083540605,0.4870815138282387,1.2598259862270544,0.5315830714023394
pen-based,KMeans_PP,5,euclidean,6,7530.706335902046,0.021422875113785267,0.3553428540182126,0.44596069868995636,1.3563207008818554,0.5334201205997827
pen-based,KMeans_PP,5,euclidean,7,7567.445352939845,0.04696499998681247,0.36404920214852,0.4510553129548763,1.2946100199840065,0.534496012207986
pen-based,KMeans_PP,5,euclidean,8,7618.886311428328,0.06721404078416526,0.372351375957664,0.4868085880640466,1.2605872846328552,0.531460227529782
pen-based,KMeans_PP,5,euclidean,9,7618.952174529502,0.02282858290709555,0.372026092397946,0.4868085880640466,1.2604905147572683,0.5311817560046651
pen-based,KMeans_PP,5,manhattan,0,28249.59646018824,0.03319808398373425,0.3376853549803845,0.4398653566229985,1.3101235440567485,0.5113575006347966
pen-based,KMeans_PP,5,manhattan,1,28254.8749906351,0.060688499826937914,0.337269179793911,0.43950145560407566,1.3122348146948473,0.5109779211488322
pen-based,KMeans_PP,5,manhattan,2,27785.635577333655,0.0420462500769645,0.354157904025568,0.4595160116448326,1.433075958932028,0.5040453324305388
pen-based,KMeans_PP,5,manhattan,3,27786.981454339817,0.034464041935279965,0.3629388076141022,0.48034934497816595,1.3449115295858938,0.5184048892232632
pen-based,KMeans_PP,5,manhattan,4,28102.84067863173,0.028412749990820885,0.3440842375372854,0.43859170305676853,1.3502771940622633,0.52724588837328
pen-based,KMeans_PP,5,manhattan,5,27789.490260867824,0.0373494999948889,0.3537540081081471,0.4580604075691412,1.434674325111564,0.5037485951156029
