dataset,algorithm,n_clusters,metric,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
mushroom,KMeans_Standard,2,euclidean,0,71904.50782823094,0.03802799992263317,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,KMeans_Standard,2,euclidean,1,71904.50782823094,0.0371547918766737,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,KMeans_Standard,2,euclidean,2,71904.50782823094,0.02257124986499548,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,KMeans_Standard,2,euclidean,3,71904.50782823094,0.03689495800063014,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,KMeans_Standard,2,euclidean,4,75412.8332780984,0.03844929183833301,0.08670558259576755,0.38749384539635645,1.753691508701524,0.4512576142952539
mushroom,KMeans_Standard,2,euclidean,5,71904.50782823094,0.026599290780723095,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,KMeans_Standard,2,euclidean,6,71904.50782823094,0.028829915914684534,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,KMeans_Standard,2,euclidean,7,75743.12829525484,0.049622332910075784,0.002677993639370229,0.38749384539635645,1.535796200162925,0.39307228594426485
mushroom,KMeans_Standard,2,euclidean,8,71904.50782823094,0.058739084051921964,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,KMeans_Standard,2,euclidean,9,71904.50782823094,0.02794970804825425,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087
mushroom,KMeans_Standard,2,manhattan,0,143875.17178581795,0.057397790951654315,0.08688298871217755,0.38749384539635645,2.0106043674103606,0.4346686363374465
mushroom,KMeans_Standard,2,manhattan,1,143875.17178581795,0.05447508301585913,0.08688298871217755,0.38749384539635645,2.0106043674103606,0.4346686363374465
mushroom,KMeans_Standard,2,manhattan,2,143863.08354587806,0.04146466706879437,0.08645163828276882,0.38749384539635645,2.0094698237035766,0.4343790378220486
mushroom,KMeans_Standard,2,manhattan,3,143863.08354587806,0.059180958895012736,0.08645163828276882,0.38749384539635645,2.0094698237035766,0.4343790378220486
mushroom,KMeans_Standard,2,manhattan,4,143875.17178581795,0.06491741701029241,0.08688298871217755,0.38749384539635645,2.0106043674103606,0.4346686363374465
mushroom,KMeans_Standard,2,manhattan,5,143875.17178581795,0.04107237490825355,0.08688298871217755,0.38749384539635645,2.0106043674103606,0.4346686363374465
mushroom,KMeans_Standard,2,manhattan,6,143875.17178581795,0.04744033305905759,0.08688298871217755,0.38749384539635645,2.0106043674103606,0.4346686363374465
mushroom,KMeans_Standard,2,manhattan,7,143863.08354587806,0.06551041593775153,0.08645163828276882,0.38749384539635645,2.0094698237035766,0.4343790378220486
mushroom,KMeans_Standard,2,manhattan,8,143863.08354587806,0.07970633311197162,0.08645163828276882,0.38749384539635645,2.0094698237035766,0.4343790378220486
mushroom,KMeans_Standard,2,manhattan,9,143875.42623012458,0.03499091695994139,0.08645163828276882,0.38749384539635645,2.0094698237035766,0.4343790378220486
mushroom,KMeans_Standard,3,euclidean,0,68011.46522934959,0.09210441610775888,0.18919922729029887,0.517232890201871,2.445509347415694,0.5188592294506073
