dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
pen-based,FCM_Standard,2,euclidean,1.5,1.0,0,0.12024033395573497,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,1,0.1117472080513835,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,2,0.12176091596484184,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,3,0.09756537526845932,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,4,0.11638337466865778,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,5,0.13351000007241964,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,6,0.11220120918005705,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,7,0.11393762519583106,0.13439912451953476,0.20687772925764192,1.888855195269867,0.3022168088041564
pen-based,FCM_Standard,2,euclidean,1.5,1.0,8,0.09254562482237816,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,9,0.12128041684627533,0.13439912451953476,0.20687772925764192,1.888855195269867,0.3022168088041564
pen-based,FCM_Standard,2,euclidean,2.0,1.0,0,0.14365608431398869,0.10225922146663587,0.20178311499272197,1.8608401516639848,0.28149445988018057
pen-based,FCM_Standard,2,euclidean,2.0,1.0,1,0.14165862509980798,0.10237555188368319,0.20178311499272197,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,2,0.158395292237401,0.10237555188368319,0.20178311499272197,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,3,0.13109049992635846,0.10237555188368319,0.20178311499272197,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,4,0.1444729999639094,0.10237555188368319,0.20178311499272197,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,5,0.15262391557917,0.10225922146663587,0.20178311499272197,1.8608401516639848,0.28149445988018057
pen-based,FCM_Standard,2,euclidean,2.0,1.0,6,0.14159454219043255,0.10237555188368319,0.20178311499272197,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,7,0.21612354088574648,0.10225922146663587,0.20178311499272197,1.8608401516639848,0.28149445988018057
pen-based,FCM_Standard,2,euclidean,2.0,1.0,8,0.125645583961159,0.10225922146663587,0.20178311499272197,1.8608401516639848,0.28149445988018057
pen-based,FCM_Standard,2,euclidean,2.0,1.0,9,0.2052720827050507,0.10237555188368319,0.20178311499272197,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.5,1.0,0,0.0414470830000937,0.09834474624131695,0.19923580786026202,1.9353309422402822,0.27490262368604074
pen-based,FCM_Standard,2,euclidean,2.5,1.0,1,0.05285554099828005,0.10435325695776514,0.20278384279475983,1.831886849937544,0.2828623672757895
pen-based,FCM_Standard,2,euclidean,2.5,1.0,2,0.04482620907947421,0.10755264355346773,0.2046033478893741,1.8631100623215129,0.2867356681667491
pen-based,FCM_Standard,2,euclidean,2.5,1.0,3,0.0516690406948328,0.10363061085586128,0.20241994177583697,1.8371673723318764,0.28266466296433834
pen-based,FCM_Standard,2,euclidean,2.5,1.0,4,0.03699500020593405,0.10560792972051176,0.2039665211062591,1.839533867476744,0.2841198739107225
pen-based,FCM_Standard,2,euclidean,2.5,1.0,5,0.043519041035324335,0.09651975155767528,0.1985080058224163,1.993682276142443,0.2724619322938688
pen-based,FCM_Standard,2,euclidean,2.5,1.0,6,0.05022899992763996,0.10424075702122848,0.20287481804949054,1.8317946843257658,0.2827455669082661
pen-based,FCM_Standard,2,euclidean,2.5,1.0,7,0.02561258291825652,0.13786522879791066,0.2066957787481805,1.9109917123840525,0.30124489659433584
pen-based,FCM_Standard,2,euclidean,2.5,1.0,8,0.04211479239165783,0.10133585810819876,0.20141921397379914,1.8788806267614078,0.28011272280093324
pen-based,FCM_Standard,2,euclidean,2.5,1.0,9,0.042988207656890154,0.1388640018312061,0.2066957787481805,2.0605875932532833,0.2959261607265999
pen-based,FCM_Standard,3,euclidean,1.5,1.0,0,0.11490037478506565,0.19853926661481414,0.30112809315866085,1.5156791649957058,0.3576793913962971
pen-based,FCM_Standard,3,euclidean,1.5,1.0,1,0.12646599998697639,0.19853926661481414,0.30112809315866085,1.5156791649957058,0.3576793913962971
pen-based,FCM_Standard,3,euclidean,1.5,1.0,2,0.11855900008231401,0.19853926661481414,0.30112809315866085,1.5156791649957058,0.3576793913962971
