dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,0,0.15233637485653162,0.10250671545904674,0.20514919941775836,1.7793124319998197,0.2849221116053057
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,1,0.04660775000229478,0.10246836152258157,0.20514919941775836,1.779495965812843,0.2848907020103464
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,2,0.051067791879177094,0.13739791321617037,0.20660480349344978,1.8825755641357773,0.304628569507079
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,3,0.04176374990493059,0.10246836152258157,0.20514919941775836,1.779495965812843,0.2848907020103464
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,4,0.047044167295098305,0.10246836152258157,0.20514919941775836,1.779495965812843,0.2848907020103464
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,5,0.06532283313572407,0.13721055780679134,0.20660480349344978,1.882549675879312,0.30453890455157234
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,6,0.043018334079533815,0.10246836152258157,0.20514919941775836,1.779495965812843,0.2848907020103464
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,7,0.03591716708615422,0.13732827451039378,0.20660480349344978,1.8825325546103384,0.30460261665564364
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,8,0.0427289167419076,0.10250671545904674,0.20514919941775836,1.7793124319998197,0.2849221116053057
pen-based,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,9,0.04153924994170666,0.13739791321617037,0.20660480349344978,1.8825755641357773,0.304628569507079
pen-based,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,0,0.03469795919954777,0.10025947476612301,0.19341339155749637,1.982233379406548,0.2769725688575341
pen-based,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,1,0.036661291029304266,0.10257428304637632,0.20514919941775836,1.7835205285465714,0.2844718100011193
pen-based,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,2,0.041594916023314,0.1399945810454227,0.2066957787481805,1.8858636474016144,0.30535100625173806
pen-based,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,3,0.03447033325210214,0.10257428304637632,0.20514919941775836,1.7835205285465714,0.2844718100011193
pen-based,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,4,0.04097016667947173,0.10257428304637632,0.20514919941775836,1.7835205285465714,0.2844718100011193
pen-based,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,5,0.05918300012126565,0.13999275650724896,0.2066957787481805,1.8858803026470694,0.30534877260283133
pen-based,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,6,0.030616250354796648,0.10257428304637632,0.20514919941775836,1.7835205285465714,0.2844718100011193
pen-based,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,7,0.026370584033429623,0.1399945810454227,0.2066957787481805,1.8858636474016144,0.30535100625173806
pen-based,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,8,0.031482916325330734,0.10257428304637632,0.20514919941775836,1.7835205285465714,0.2844718100011193
pen-based,FCM_Suppressed_0.75,2,euclidean,2.0,0.75,9,0.03186112502589822,0.1399945810454227,0.2066957787481805,1.8858636474016144,0.30535100625173806
pen-based,FCM_Suppressed_0.75,2,euclidean,2.5,0.75,0,0.14746608398854733,0.1402943749606804,0.20660480349344978,1.8857989863429558,0.30550878261225767
pen-based,FCM_Suppressed_0.75,2,euclidean,2.5,0.75,1,0.034635333344340324,0.10208861910576005,0.2052401746724891,1.775778697413185,0.2844493287036895
pen-based,FCM_Suppressed_0.75,2,euclidean,2.5,0.75,2,0.042817334178835154,0.14038834808745757,0.20660480349344978,1.88568145851585,0.3055790012178678
pen-based,FCM_Suppressed_0.75,2,euclidean,2.5,0.75,3,0.032725750003010035,0.10208861910576005,0.2052401746724891,1.775778697413185,0.2844493287036895
pen-based,FCM_Suppressed_0.75,2,euclidean,2.5,0.75,4,0.040807333774864674,0.10208861910576005,0.2052401746724891,1.775778697413185,0.2844493287036895
pen-based,FCM_Suppressed_0.75,2,euclidean,2.5,0.75,5,0.05788087472319603,0.1402943749606804,0.20660480349344978,1.8857989863429558,0.30550878261225767
pen-based,FCM_Suppressed_0.75,2,euclidean,2.5,0.75,6,0.030945874750614166,0.10208861910576005,0.2052401746724891,1.775778697413185,0.2844493287036895
pen-based,FCM_Suppressed_0.75,2,euclidean,2.5,0.75,7,0.03121270891278982,0.14038834808745757,0.20660480349344978,1.88568145851585,0.3055790012178678
pen-based,FCM_Suppressed_0.75,2,euclidean,2.5,0.75,8,0.0382517920807004,0.1023332685033892,0.2052401746724891,1.777496018532155,0.2845607723206882
pen-based,FCM_Suppressed_0.75,2,euclidean,2.5,0.75,9,0.03682220773771405,0.14038834808745757,0.20660480349344978,1.88568145851585,0.3055790012178678
pen-based,FCM_Suppressed_0.75,3,euclidean,1.5,0.75,0,0.14867895795032382,0.21715743902410242,0.3008551673944687,1.526322975163145,0.36914111216250584
pen-based,FCM_Suppressed_0.75,3,euclidean,1.5,0.75,1,0.08880545943975449,0.21723128863672014,0.3008551673944687,1.5263472069752353,0.36917863852229893
pen-based,FCM_Suppressed_0.75,3,euclidean,1.5,0.75,2,0.11351270833984017,0.21715743902410242,0.3008551673944687,1.5263229751631446,0.36914111216250584
pen-based,FCM_Suppressed_0.75,3,euclidean,1.5,0.75,3,0.13271420821547508,0.21715743902410242,0.3008551673944687,1.526322975163145,0.36914111216250584
pen-based,FCM_Suppressed_0.75,3,euclidean,1.5,0.75,4,0.10725950030609965,0.19662330945710685,0.30131004366812225,1.4523058529299047,0.3782530195856836
pen-based,FCM_Suppressed_0.75,3,euclidean,1.5,0.75,5,0.13388950005173683,0.21715743902410242,0.3008551673944687,1.526322975163145,0.36914111216250584
pen-based,FCM_Suppressed_0.75,3,euclidean,1.5,0.75,6,0.09366162540391088,0.21723128863672014,0.3008551673944687,1.5263472069752353,0.36917863852229893
pen-based,FCM_Suppressed_0.75,3,euclidean,1.5,0.75,7,0.08667045785114169,0.21723128863672014,0.3008551673944687,1.5263472069752353,0.36917863852229893
pen-based,FCM_Suppressed_0.75,3,euclidean,1.5,0.75,8,0.0854167090728879,0.21723128863672014,0.3008551673944687,1.5263472069752353,0.36917863852229893
pen-based,FCM_Suppressed_0.75,3,euclidean,1.5,0.75,9,0.08186204172670841,0.19662330945710685,0.30131004366812225,1.4523058529299047,0.3782530195856836
pen-based,FCM_Suppressed_0.75,3,euclidean,2.0,0.75,0,0.04138558264821768,0.19220146533575627,0.30112809315866085,1.4663056653734479,0.37133666038201635
pen-based,FCM_Suppressed_0.75,3,euclidean,2.0,0.75,1,0.05766825005412102,0.2187452916665306,0.3010371179039301,1.5266110598095104,0.37000403740811694
pen-based,FCM_Suppressed_0.75,3,euclidean,2.0,0.75,2,0.07408487517386675,0.2159422868178867,0.3012190684133916,1.5232686796631094,0.3676336726254482
pen-based,FCM_Suppressed_0.75,3,euclidean,2.0,0.75,3,0.07894833292812109,0.2159422868178867,0.3012190684133916,1.5232686796631094,0.3676336726254482
pen-based,FCM_Suppressed_0.75,3,euclidean,2.0,0.75,4,0.06088095810264349,0.19460829424963913,0.30112809315866085,1.4570831364208299,0.3752478480541242
pen-based,FCM_Suppressed_0.75,3,euclidean,2.0,0.75,5,0.08419229183346033,0.2159422868178867,0.3012190684133916,1.5232686796631094,0.3676336726254482
pen-based,FCM_Suppressed_0.75,3,euclidean,2.0,0.75,6,0.062095499597489834,0.2187452916665306,0.3010371179039301,1.5266110598095113,0.37000403740811694
pen-based,FCM_Suppressed_0.75,3,euclidean,2.0,0.75,7,0.061449417378753424,0.2187452916665306,0.3010371179039301,1.5266110598095104,0.37000403740811694
pen-based,FCM_Suppressed_0.75,3,euclidean,2.0,0.75,8,0.10415591672062874,0.2159422868178867,0.3012190684133916,1.5232686796631094,0.3676336726254482
pen-based,FCM_Suppressed_0.75,3,euclidean,2.0,0.75,9,0.044545458164066076,0.19460829424963913,0.30112809315866085,1.4570831364208299,0.3752478480541242
pen-based,FCM_Suppressed_0.75,3,euclidean,2.5,0.75,0,0.12892008293420076,0.22250096932774888,0.3010371179039301,1.527928013285636,0.37245462391176914
pen-based,FCM_Suppressed_0.75,3,euclidean,2.5,0.75,1,0.09135220805183053,0.2254627481020801,0.30094614264919944,1.5299526999309068,0.3751337670937971
pen-based,FCM_Suppressed_0.75,3,euclidean,2.5,0.75,2,0.11925079114735126,0.22250096932774888,0.3010371179039301,1.527928013285636,0.37245462391176914
pen-based,FCM_Suppressed_0.75,3,euclidean,2.5,0.75,3,0.12517150025814772,0.22250096932774888,0.3010371179039301,1.527928013285636,0.37245462391176914
pen-based,FCM_Suppressed_0.75,3,euclidean,2.5,0.75,4,0.08375150011852384,0.19846196373631148,0.3015829694323144,1.4460747884456027,0.3811601836322298
pen-based,FCM_Suppressed_0.75,3,euclidean,2.5,0.75,5,0.12217258336022496,0.22250096932774888,0.3010371179039301,1.527928013285636,0.37245462391176914
pen-based,FCM_Suppressed_0.75,3,euclidean,2.5,0.75,6,0.09424762474372983,0.2254627481020801,0.30094614264919944,1.5299526999309068,0.3751337670937971
pen-based,FCM_Suppressed_0.75,3,euclidean,2.5,0.75,7,0.09693508362397552,0.2254627481020801,0.30094614264919944,1.5299526999309068,0.3751337670937971
pen-based,FCM_Suppressed_0.75,3,euclidean,2.5,0.75,8,0.14233608404174447,0.22250096932774888,0.3010371179039301,1.527928013285636,0.37245462391176914
pen-based,FCM_Suppressed_0.75,3,euclidean,2.5,0.75,9,0.055074541829526424,0.19846196373631148,0.3015829694323144,1.4460747884456027,0.3811601836322298
pen-based,FCM_Suppressed_0.75,4,euclidean,1.5,0.75,0,0.13416483299806714,0.31346331998987315,0.39055676855895194,1.4492785063941143,0.4686950644377827
pen-based,FCM_Suppressed_0.75,4,euclidean,1.5,0.75,1,0.0766126667149365,0.31352424080463326,0.39055676855895194,1.449289075813782,0.46874418173098575
pen-based,FCM_Suppressed_0.75,4,euclidean,1.5,0.75,2,0.06650879187509418,0.31346331998987315,0.39055676855895194,1.4492785063941143,0.4686950644377827
pen-based,FCM_Suppressed_0.75,4,euclidean,1.5,0.75,3,0.059523291420191526,0.31346331998987315,0.39055676855895194,1.449278506394114,0.4686950644377827
pen-based,FCM_Suppressed_0.75,4,euclidean,1.5,0.75,4,0.08833537483587861,0.31352424080463326,0.39055676855895194,1.449289075813782,0.46874418173098575
pen-based,FCM_Suppressed_0.75,4,euclidean,1.5,0.75,5,0.1330892499536276,0.31346331998987315,0.39055676855895194,1.4492785063941143,0.4686950644377827
pen-based,FCM_Suppressed_0.75,4,euclidean,1.5,0.75,6,0.0917922081425786,0.31352424080463326,0.39055676855895194,1.449289075813782,0.46874418173098575
pen-based,FCM_Suppressed_0.75,4,euclidean,1.5,0.75,7,0.09822287503629923,0.31352424080463326,0.39055676855895194,1.449289075813782,0.46874418173098575
pen-based,FCM_Suppressed_0.75,4,euclidean,1.5,0.75,8,0.08609383413568139,0.31352424080463326,0.39055676855895194,1.449289075813782,0.46874418173098575
pen-based,FCM_Suppressed_0.75,4,euclidean,1.5,0.75,9,0.10483108321204782,0.31346331998987315,0.39055676855895194,1.449278506394114,0.4686950644377827
pen-based,FCM_Suppressed_0.75,4,euclidean,2.0,0.75,0,0.17240379191935062,0.31882668514201956,0.39173944687045126,1.454747089490949,0.4712541360575496
pen-based,FCM_Suppressed_0.75,4,euclidean,2.0,0.75,1,0.05674379179254174,0.31859537708685653,0.3915574963609898,1.4544228322107133,0.4711514472136326
pen-based,FCM_Suppressed_0.75,4,euclidean,2.0,0.75,2,0.0538677079603076,0.31882668514201956,0.39173944687045126,1.454747089490949,0.4712541360575496
pen-based,FCM_Suppressed_0.75,4,euclidean,2.0,0.75,3,0.0466902912594378,0.31859537708685653,0.3915574963609898,1.4544228322107133,0.4711514472136326
pen-based,FCM_Suppressed_0.75,4,euclidean,2.0,0.75,4,0.0875423327088356,0.31859537708685653,0.3915574963609898,1.4544228322107133,0.4711514472136326
pen-based,FCM_Suppressed_0.75,4,euclidean,2.0,0.75,5,0.19059691578149796,0.31882668514201956,0.39173944687045126,1.4547470894909493,0.4712541360575496
pen-based,FCM_Suppressed_0.75,4,euclidean,2.0,0.75,6,0.06924233306199312,0.31859537708685653,0.3915574963609898,1.4544228322107133,0.4711514472136326
pen-based,FCM_Suppressed_0.75,4,euclidean,2.0,0.75,7,0.05803837487474084,0.31859537708685653,0.3915574963609898,1.4544228322107133,0.4711514472136326
pen-based,FCM_Suppressed_0.75,4,euclidean,2.0,0.75,8,0.06580949993804097,0.31859537708685653,0.3915574963609898,1.4544228322107133,0.4711514472136326
pen-based,FCM_Suppressed_0.75,4,euclidean,2.0,0.75,9,0.07741879113018513,0.31882668514201956,0.39173944687045126,1.454747089490949,0.4712541360575496
pen-based,FCM_Suppressed_0.75,4,euclidean,2.5,0.75,0,0.07662450009956956,0.3144346435679811,0.3659934497816594,1.467207568992804,0.4779505515728264
pen-based,FCM_Suppressed_0.75,4,euclidean,2.5,0.75,1,0.0726878335699439,0.31998068100222943,0.3915574963609898,1.455077739348178,0.47223926819035394
pen-based,FCM_Suppressed_0.75,4,euclidean,2.5,0.75,2,0.07597783301025629,0.3202287520504909,0.3915574963609898,1.455657608950169,0.47211865297885774
pen-based,FCM_Suppressed_0.75,4,euclidean,2.5,0.75,3,0.07017645798623562,0.31998068100222943,0.3915574963609898,1.455077739348178,0.47223926819035394
pen-based,FCM_Suppressed_0.75,4,euclidean,2.5,0.75,4,0.07746145781129599,0.3201841147686428,0.39164847161572053,1.4558948223521788,0.4719734675991083
pen-based,FCM_Suppressed_0.75,4,euclidean,2.5,0.75,5,0.080592832993716,0.3144346435679811,0.3659934497816594,1.4672075689928037,0.4779505515728264
pen-based,FCM_Suppressed_0.75,4,euclidean,2.5,0.75,6,0.091367291752249,0.31998068100222943,0.3915574963609898,1.455077739348178,0.47223926819035394
pen-based,FCM_Suppressed_0.75,4,euclidean,2.5,0.75,7,0.07995145861059427,0.31998068100222943,0.3915574963609898,1.455077739348178,0.47223926819035394
pen-based,FCM_Suppressed_0.75,4,euclidean,2.5,0.75,8,0.08710850030183792,0.31998068100222943,0.3915574963609898,1.455077739348178,0.47223926819035394
pen-based,FCM_Suppressed_0.75,4,euclidean,2.5,0.75,9,0.09692870918661356,0.3204299936280025,0.3915574963609898,1.4560828645775044,0.4721278635393699
pen-based,FCM_Suppressed_0.75,5,euclidean,1.5,0.75,0,0.0973321245983243,0.36945019698477616,0.48453420669577874,1.280275369947724,0.5276947007385184
pen-based,FCM_Suppressed_0.75,5,euclidean,1.5,0.75,1,0.19518508296459913,0.3437970111497628,0.44668850072780203,1.352183641428653,0.5275532865991479
pen-based,FCM_Suppressed_0.75,5,euclidean,1.5,0.75,2,0.15254291705787182,0.3696079692330562,0.48453420669577874,1.2799908820440056,0.5278464404896832
pen-based,FCM_Suppressed_0.75,5,euclidean,1.5,0.75,3,0.17998775001615286,0.369561140237039,0.48453420669577874,1.279976127286186,0.5278001365457603
pen-based,FCM_Suppressed_0.75,5,euclidean,1.5,0.75,4,0.10119154211133718,0.36945019698477616,0.48453420669577874,1.2802753699477238,0.5276947007385184
pen-based,FCM_Suppressed_0.75,5,euclidean,1.5,0.75,5,0.16699475003406405,0.3437970111497628,0.44668850072780203,1.352183641428653,0.5275532865991479
pen-based,FCM_Suppressed_0.75,5,euclidean,1.5,0.75,6,0.1765612498857081,0.369561140237039,0.48453420669577874,1.279976127286186,0.5278001365457603
pen-based,FCM_Suppressed_0.75,5,euclidean,1.5,0.75,7,0.10090104164555669,0.369561140237039,0.48453420669577874,1.279976127286186,0.5278001365457603
pen-based,FCM_Suppressed_0.75,5,euclidean,1.5,0.75,8,0.11032529221847653,0.369561140237039,0.48453420669577874,1.279976127286186,0.5278001365457603
pen-based,FCM_Suppressed_0.75,5,euclidean,1.5,0.75,9,0.11632025009021163,0.3696079692330562,0.48453420669577874,1.2799908820440058,0.5278464404896832
pen-based,FCM_Suppressed_0.75,5,euclidean,2.0,0.75,0,0.11074283299967647,0.350188392186616,0.4471433770014556,1.357192902200984,0.530247842471498
pen-based,FCM_Suppressed_0.75,5,euclidean,2.0,0.75,1,0.11014408385381103,0.3710132566537297,0.48526200873362446,1.2808246590687178,0.5288962496420835
pen-based,FCM_Suppressed_0.75,5,euclidean,2.0,0.75,2,0.137041708920151,0.3710132566537297,0.48526200873362446,1.2808246590687178,0.5288962496420835
