dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
adult,FCM_Standard,2,euclidean,1.5,1.0,0,1.2199244163930416,0.17734077911844706,0.7607182343065395,2.066442771356848,0.7342704600344448
adult,FCM_Standard,2,euclidean,1.5,1.0,1,1.409280292224139,0.17734077911844706,0.7607182343065395,2.066442771356848,0.7342704600344448
adult,FCM_Standard,2,euclidean,1.5,1.0,2,1.3124214592389762,0.17734077911844706,0.7607182343065395,2.066442771356848,0.7342704600344448
adult,FCM_Standard,2,euclidean,1.5,1.0,3,1.2643870408646762,0.17734077911844706,0.7607182343065395,2.066442771356848,0.7342704600344448
adult,FCM_Standard,2,euclidean,1.5,1.0,4,1.2040891661308706,0.17734077911844706,0.7607182343065395,2.066442771356848,0.7342704600344448
adult,FCM_Standard,2,euclidean,1.5,1.0,5,1.4097198750823736,0.17734077911844706,0.7607182343065395,2.066442771356848,0.7342704600344448
adult,FCM_Standard,2,euclidean,1.5,1.0,6,1.471067416947335,0.17734077911844706,0.7607182343065395,2.066442771356848,0.7342704600344448
adult,FCM_Standard,2,euclidean,1.5,1.0,7,1.3821733752265573,0.17734077911844706,0.7607182343065395,2.066442771356848,0.7342704600344448
adult,FCM_Standard,2,euclidean,1.5,1.0,8,1.1373116672039032,0.17734077911844706,0.7607182343065395,2.066442771356848,0.7342704600344448
adult,FCM_Standard,2,euclidean,1.5,1.0,9,1.316622749902308,0.17734077911844706,0.7607182343065395,2.066442771356848,0.7342704600344448
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,0,0.35518270870670676,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,1,0.38515250012278557,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,2,0.3582214587368071,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,3,0.34829958295449615,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,4,0.34972074953839183,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,5,0.3867915840819478,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,6,0.38815420772880316,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,7,0.34428016701713204,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,8,0.3504706248641014,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,9,0.4078967501409352,0.17958031429602844,0.7607182343065395,2.0589032249418504,0.7355868185195461
adult,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,0,0.2998663750477135,0.17993649891144048,0.7607182343065395,2.0583579060043875,0.7357867796202627
adult,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,1,0.3535088747739792,0.17993649891144048,0.7607182343065395,2.0583579060043875,0.7357867796202627
adult,FCM_Suppressed_0.5,2,euclidean,1.5,0.5,2,0.2949252501130104,0.17993649891144048,0.7607182343065395,2.0583579060043875,0.7357867796202627
