dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
mushroom,FCM_Standard,2,euclidean,1.5,1.0,0,0.25970054185017943,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,1,0.28620366705581546,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,2,0.23470129119232297,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,3,0.2928282921202481,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,4,0.35435637505725026,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,5,0.2920342078432441,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,6,0.4477321249432862,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,7,0.3342102076858282,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,8,0.31100229220464826,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Standard,2,euclidean,1.5,1.0,9,0.3890418750233948,0.08341312470449604,0.38749384539635645,2.0405463461121593,0.4297415289621615
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,0,0.07384725008159876,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,1,0.10663720779120922,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,2,0.0854490827769041,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,3,0.07290691696107388,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,4,0.07139604166150093,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,5,0.06451379228383303,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
mushroom,FCM_Suppressed_0.75,2,euclidean,1.5,0.75,6,0.11406875029206276,0.08613004585107877,0.38749384539635645,2.0086332949621575,0.4341618074783733
