dataset,algorithm,n_clusters,run_id,inertia,metric,runtime,ari,purity,davies_bouldin,f_measure,kernel
pen-based,KMeans_FEKM,2,0,12861.97310206245,euclidean,0.5101744579151273,0.10060436691951799,0.20642285298398835,1.7338542055712844,0.2859491464111042,
pen-based,KMeans_FEKM,2,0,38085.47355766571,manhattan,0.4876166661269963,0.09665156821458178,0.20633187772925765,1.7713700111820327,0.28151068918381006,
pen-based,KMeans_FEKM,3,0,10159.615215538324,euclidean,0.5007672081701458,0.20159502372195362,0.30685953420669576,1.4329647670278927,0.38583133369359085,
pen-based,KMeans_FEKM,3,0,33503.68088903831,manhattan,0.6158885839395225,0.21057332122969985,0.2945778748180495,1.6605168624704056,0.38369549468019953,
pen-based,KMeans_FEKM,4,0,8905.647908727273,euclidean,0.4995356253348291,0.31093970739130744,0.36171761280931586,1.4657990862245123,0.4772851394077793,
pen-based,KMeans_FEKM,4,0,31051.96551405907,manhattan,0.535137957893312,0.28611235512910027,0.3539847161572052,1.44185620512925,0.4592129970373391,
pen-based,KMeans_FEKM,5,0,7530.492012369539,euclidean,0.7345371250994503,0.3564976147140642,0.44605167394468703,1.359745474372549,0.5326276053990306,
pen-based,KMeans_FEKM,5,0,28112.623677732285,manhattan,0.5450292909517884,0.34349448230472596,0.43913755458515286,1.3503291952641363,0.52695150311197,
pen-based,KMeans_FEKM,6,0,6629.03989094817,euclidean,0.602427416946739,0.41879063275669787,0.5430312954876274,1.2426837750874524,0.5941180347574097,
pen-based,KMeans_FEKM,6,0,26032.482534213166,manhattan,0.5620499579235911,0.3895494343209943,0.5166484716157205,1.3554930347670435,0.5594845988312369,
pen-based,KMeans_FEKM,7,0,5999.467230865371,euclidean,0.5486669577658176,0.47277755977385655,0.5966157205240175,1.2345921740117538,0.6405862287682633,
pen-based,KMeans_FEKM,7,0,25261.99530224501,manhattan,0.7549743326380849,0.3764967365106442,0.5239264919941776,1.382209439177218,0.5433416135008415,
pen-based,KMeans_FEKM,8,0,5650.507789241137,euclidean,0.61168924998492,0.4643535572996615,0.6068049490538574,1.282485385587281,0.6352961474800991,
pen-based,KMeans_FEKM,8,0,23349.786983056958,manhattan,0.6031599580310285,0.44309491280868674,0.6004366812227074,1.275053047951861,0.6143322680904286,
pen-based,KMeans_FEKM,9,0,5379.334010146017,euclidean,0.9415687499567866,0.5197303631628486,0.6819505094614265,1.3942021009629708,0.6880825332236177,
pen-based,KMeans_FEKM,9,0,22590.89311326111,manhattan,0.5782011663541198,0.4619576167736071,0.6481986899563319,1.4396510786786387,0.6422124133149058,
pen-based,KMeans_FEKM,10,0,5062.650298496802,euclidean,0.9217052082531154,0.5118775089438066,0.7004184861717613,1.262705991669002,0.6818924054083106,
pen-based,KMeans_FEKM,10,0,22314.108715591134,manhattan,0.7194038326852024,0.46662990478732796,0.6555676855895196,1.3187013316801437,0.6390959272586381,
