dataset,algorithm,n_clusters,run_id,inertia,metric,runtime,ari,purity,davies_bouldin,f_measure,kernel,param_m,param_alpha
pen-based,FCM_Standard,2,0,,euclidean,0.08121654199203476,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173,,1.5,1.0
pen-based,FCM_Standard,2,1,,euclidean,0.07323179100058042,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173,,1.5,1.0
pen-based,FCM_Standard,2,2,,euclidean,0.0925467920023948,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173,,1.5,1.0
pen-based,FCM_Standard,2,3,,euclidean,0.07140529100433923,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173,,1.5,1.0
pen-based,FCM_Standard,2,4,,euclidean,0.08059004199458286,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173,,1.5,1.0
pen-based,FCM_Standard,2,5,,euclidean,0.08907499999622814,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173,,1.5,1.0
pen-based,FCM_Standard,2,6,,euclidean,0.07468654098920524,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173,,1.5,1.0
pen-based,FCM_Standard,2,7,,euclidean,0.08319124998524785,0.13439912451953476,0.20687772925764192,1.8888551952698667,0.3022168088041564,,1.5,1.0
pen-based,FCM_Standard,2,8,,euclidean,0.06458341699908487,0.10399253107330209,0.20360262008733623,1.8188759132420607,0.2844704025196173,,1.5,1.0
pen-based,FCM_Standard,2,9,,euclidean,0.08023937500547618,0.13439912451953476,0.20687772925764192,1.8888551952698667,0.3022168088041564,,1.5,1.0
pen-based,FCM_Standard,2,0,,euclidean,0.0987523749936372,0.10225922146663587,0.20178311499272197,1.8608401516639848,0.28149445988018057,,2.0,1.0
pen-based,FCM_Standard,2,1,,euclidean,0.09078983301878907,0.10237555188368319,0.20178311499272197,1.8588975850442848,0.28164918028564423,,2.0,1.0
pen-based,FCM_Standard,2,2,,euclidean,0.10517175000859424,0.10237555188368319,0.20178311499272197,1.8588975850442848,0.28164918028564423,,2.0,1.0
