dataset,algorithm,n_clusters,run_id,inertia,metric,runtime,ari,purity,davies_bouldin,f_measure,kernel,param_m,param_alpha
pen-based,FCM_Suppressed_0.75,2,0,,euclidean,0.09609279097639956,0.10250671545904674,0.20514919941775836,1.7793124319998201,0.2849221116053057,,1.5,0.75
pen-based,FCM_Suppressed_0.75,2,1,,euclidean,0.030731665989151224,0.10246836152258157,0.20514919941775836,1.779495965812843,0.2848907020103464,,1.5,0.75
pen-based,FCM_Suppressed_0.75,2,2,,euclidean,0.03285437499289401,0.13739791321617037,0.20660480349344978,1.8825755641357773,0.304628569507079,,1.5,0.75
pen-based,FCM_Suppressed_0.75,2,3,,euclidean,0.029000749986153096,0.10246836152258157,0.20514919941775836,1.779495965812843,0.2848907020103464,,1.5,0.75
pen-based,FCM_Suppressed_0.75,2,4,,euclidean,0.032103292003739625,0.10246836152258157,0.20514919941775836,1.779495965812843,0.2848907020103464,,1.5,0.75
pen-based,FCM_Suppressed_0.75,2,5,,euclidean,0.04495220800163224,0.13721055780679134,0.20660480349344978,1.882549675879312,0.30453890455157234,,1.5,0.75
pen-based,FCM_Suppressed_0.75,2,6,,euclidean,0.027672916010487825,0.10246836152258157,0.20514919941775836,1.779495965812843,0.2848907020103464,,1.5,0.75
pen-based,FCM_Suppressed_0.75,2,7,,euclidean,0.02296583299175836,0.13732827451039378,0.20660480349344978,1.8825325546103384,0.30460261665564364,,1.5,0.75
pen-based,FCM_Suppressed_0.75,2,8,,euclidean,0.028371249994961545,0.10250671545904674,0.20514919941775836,1.7793124319998201,0.2849221116053057,,1.5,0.75
pen-based,FCM_Suppressed_0.75,2,9,,euclidean,0.0293295840092469,0.13739791321617037,0.20660480349344978,1.8825755641357773,0.304628569507079,,1.5,0.75
pen-based,FCM_Suppressed_0.75,2,0,,euclidean,0.022024875011993572,0.10025947476612301,0.19341339155749637,1.982233379406548,0.2769725688575341,,2.0,0.75
pen-based,FCM_Suppressed_0.75,2,1,,euclidean,0.02364049997413531,0.10257428304637632,0.20514919941775836,1.7835205285465714,0.2844718100011193,,2.0,0.75
pen-based,FCM_Suppressed_0.75,2,2,,euclidean,0.025231833016732708,0.1399945810454227,0.2066957787481805,1.8858636474016142,0.30535100625173806,,2.0,0.75
pen-based,FCM_Suppressed_0.75,2,3,,euclidean,0.020182082982501015,0.10257428304637632,0.20514919941775836,1.7835205285465714,0.2844718100011193,,2.0,0.75
