dataset,algorithm,n_clusters,run_id,inertia,metric,runtime,ari,purity,davies_bouldin,f_measure,kernel,param_m,param_alpha
pen-based,Kernel_KMeans,2,0,1466.2601997125212,,8.671012082981179,0.1412566909513054,0.20660480349344978,1.8829071789766514,0.3065197575415167,rbf,,
pen-based,Kernel_KMeans,3,0,1181.6883830850154,,10.574749999999767,0.23904272778872437,0.30030931586608445,1.543668068890909,0.3843709944293835,rbf,,
pen-based,Kernel_KMeans,4,0,1065.3572622294644,,5.554627042001812,0.27317787408793254,0.3851892285298399,1.5360695705469485,0.45129990910910245,rbf,,
pen-based,Kernel_KMeans,5,0,886.4236467783039,,5.253110874997219,0.35815710215503455,0.44632459970887917,1.3609790358146505,0.533976730729458,rbf,,
pen-based,Kernel_KMeans,6,0,785.3431589834466,,4.0984212910116185,0.4204525521206447,0.5438500727802038,1.2438608007971383,0.5954544173072704,rbf,,
pen-based,Kernel_KMeans,7,0,713.6345606748575,,8.704643416014733,0.4747418967893119,0.5974344978165939,1.2360068409425515,0.6419434268738946,rbf,,
pen-based,Kernel_KMeans,8,0,673.9673883853442,,9.125724875018932,0.4644529207123592,0.6065320232896652,1.2819314257831993,0.6350498714494117,rbf,,
pen-based,Kernel_KMeans,9,0,636.5978603056925,,15.318295208009658,0.5325201258982621,0.6939592430858806,1.3228940837285001,0.7077136730081282,rbf,,
pen-based,Kernel_KMeans,10,0,615.6453245736582,,9.18019225000171,0.5157703893958586,0.6911390101892285,1.331046365456223,0.698982143775347,rbf,,
adult,Kernel_KMeans,2,0,3438.8057802690046,,223.91737295899657,-0.03185883765724345,0.7607182343065395,2.3133055119151003,0.6025084687610192,rbf,,
adult,Kernel_KMeans,3,0,3084.384960765046,,293.8032250420074,0.06535923265452571,0.7607182343065395,2.5567191934339393,0.605093181575649,rbf,,
adult,Kernel_KMeans,4,0,2992.38805073019,,287.74118566699326,0.07065555805679355,0.7607182343065395,2.4356676867809837,0.6051551162116605,rbf,,
adult,Kernel_KMeans,5,0,2821.239727875637,,295.64276366701233,0.012527920276765572,0.7607182343065395,2.4026250110224727,0.4911908970855028,rbf,,
adult,Kernel_KMeans,6,0,2780.0941013213233,,252.99307441699784,0.0031578549447265286,0.7607182343065395,2.5752739821133317,0.48078653919739,rbf,,
adult,Kernel_KMeans,7,0,2696.915287746167,,259.33659612500924,-0.012677420165850623,0.7607182343065395,2.61881433803143,0.4283756528195446,rbf,,
adult,Kernel_KMeans,8,0,2635.42954403158,,283.46701300001587,-0.023526470201238145,0.7607182343065395,2.42340009300654,0.428392911948779,rbf,,
adult,Kernel_KMeans,9,0,2605.233446595845,,368.28463054198073,-0.03081953167254321,0.7607182343065395,2.5190125760643496,0.42808793597608613,rbf,,
adult,Kernel_KMeans,10,0,2582.524840045944,,293.9900289590005,-0.03280219825505607,0.7607182343065395,2.491154547563506,0.4281052038573513,rbf,,
mushroom,Kernel_KMeans,2,0,1240.0506971602965,,1.3969299999880604,0.002677993639370229,0.38749384539635645,1.535796200162925,0.39307228594426485,rbf,,
mushroom,Kernel_KMeans,3,0,1184.0259301017356,,2.2870494999806397,0.07033717994219262,0.4219596258000985,2.390657834541267,0.415906933304136,rbf,,
mushroom,Kernel_KMeans,4,0,925.465546766131,,2.9937627499748487,0.25646149066395413,0.551944854751354,1.9582854337205187,0.5552633697672273,rbf,,
mushroom,Kernel_KMeans,5,0,869.593997264018,,2.970896167011233,0.17684313376518185,0.4854751354012802,2.04405345366947,0.48732966998907157,rbf,,
mushroom,Kernel_KMeans,6,0,864.0220222391806,,1.0775665410037618,0.21487529530736113,0.5205563761693747,1.7641606129473615,0.5069099672748348,rbf,,
mushroom,Kernel_KMeans,7,0,833.176417241912,,1.0945641669968609,0.21988056817362406,0.5445593303791236,1.597939127889061,0.5091428676127331,rbf,,
mushroom,Kernel_KMeans,8,0,820.008007521928,,1.0508729169960134,0.21354211651871038,0.5445593303791236,1.5840191098885037,0.507238993394484,rbf,,
mushroom,Kernel_KMeans,9,0,799.1800081537399,,1.0859017909970134,0.21640276435214822,0.5637616937469226,1.5420323015077977,0.513620086452091,rbf,,
mushroom,Kernel_KMeans,10,0,713.2574537444395,,2.24222162499791,0.28215800565560883,0.605120630231413,1.5507419436094776,0.5606249136695753,rbf,,
