dataset,algorithm,n_clusters,run_id,inertia,metric,runtime,ari,purity,davies_bouldin,f_measure,kernel,param_m,param_alpha
adult,KMeans_Standard,2,0,180836.2130993737,euclidean,0.08187470800476149,0.1800012974342615,0.7607182343065395,2.0582879121084248,0.73582313420532,,,
adult,KMeans_Standard,2,1,180836.2130993737,euclidean,0.10273445898201317,0.1800012974342615,0.7607182343065395,2.0582879121084248,0.73582313420532,,,
adult,KMeans_Standard,2,2,180836.2130993737,euclidean,0.10157816699938849,0.1800012974342615,0.7607182343065395,2.0582879121084248,0.73582313420532,,,
adult,KMeans_Standard,2,3,180836.2130993737,euclidean,0.09907766699325293,0.1800012974342615,0.7607182343065395,2.0582879121084248,0.73582313420532,,,
adult,KMeans_Standard,2,4,187936.77524707263,euclidean,0.09452166699338704,-0.03185883765724345,0.7607182343065395,2.3133055119151003,0.6025084687610192,,,
adult,KMeans_Standard,2,5,180836.2130993737,euclidean,0.11828625001362525,0.1800012974342615,0.7607182343065395,2.0582879121084248,0.73582313420532,,,
adult,KMeans_Standard,2,6,180836.21356725908,euclidean,0.0719981669972185,0.1800012974342615,0.7607182343065395,2.0582879121084248,0.73582313420532,,,
adult,KMeans_Standard,2,7,180836.2130993737,euclidean,0.14119404199300334,0.1800012974342615,0.7607182343065395,2.0582879121084248,0.73582313420532,,,
adult,KMeans_Standard,2,8,180836.2130993737,euclidean,0.12281829200219363,0.1800012974342615,0.7607182343065395,2.0582879121084248,0.73582313420532,,,
adult,KMeans_Standard,2,9,206154.2802237579,euclidean,0.12636449999990873,0.06281303145231139,0.7607182343065395,3.521044102843732,0.6806579518108773,,,
adult,KMeans_Standard,2,0,380167.35472763877,manhattan,0.13316787499934435,0.15857745355212918,0.7607182343065395,2.2242903691843177,0.72142958806214,,,
adult,KMeans_Standard,2,1,389397.8810306148,manhattan,0.16301525000017136,-0.03186654830750037,0.7607182343065395,2.313276934785685,0.6025207518935639,,,
adult,KMeans_Standard,2,2,389397.8810306148,manhattan,0.2305578340019565,-0.03186654830750037,0.7607182343065395,2.313276934785685,0.6025207518935639,,,
adult,KMeans_Standard,2,3,380205.3961786214,manhattan,0.20153424999443814,0.1582922750431663,0.7607182343065395,2.2248290816541405,0.7212589139593989,,,
adult,KMeans_Standard,2,4,389397.8810306148,manhattan,0.11742562500876375,-0.03186654830750037,0.7607182343065395,2.313276934785685,0.6025207518935639,,,
adult,KMeans_Standard,2,5,380190.939460451,manhattan,0.16468262497801334,0.15838784289759492,0.7607182343065395,2.2246662069809777,0.7213158130105299,,,
adult,KMeans_Standard,2,6,380246.6274285444,manhattan,0.15376937499968335,0.15813619072083743,0.7607182343065395,2.2252763547470544,0.721164092330833,,,
adult,KMeans_Standard,2,7,380246.8626899767,manhattan,0.21809141599806026,0.1580725126110862,0.7607182343065395,2.2253849005791886,0.7211261537999561,,,
adult,KMeans_Standard,2,8,380254.7775235749,manhattan,0.21823820800636895,0.15800884508672783,0.7607182343065395,2.2254846076442774,0.7210882142545638,,,
adult,KMeans_Standard,2,9,380201.38700844743,manhattan,0.2429832920024637,0.15832412834727227,0.7607182343065395,2.2247758946406813,0.7212778805629524,,,
adult,KMeans_Standard,3,0,168328.33119334345,euclidean,0.16650091702467762,0.05589444102396573,0.7607182343065395,2.6711521787567456,0.5760943596243817,,,
adult,KMeans_Standard,3,1,164796.8837096195,euclidean,0.23813470898312517,0.04282723368046293,0.7607182343065395,2.3950625654921986,0.5457986649231297,,,
adult,KMeans_Standard,3,2,168382.56521829992,euclidean,0.14960733297630213,0.054394704940869884,0.7607182343065395,2.660048436699029,0.5736131845200112,,,
adult,KMeans_Standard,3,3,176731.09166863293,euclidean,0.1950704580231104,0.2144321480639492,0.7607182343065395,2.887702243214195,0.7025315871727833,,,
adult,KMeans_Standard,3,4,164796.8837096195,euclidean,0.14696916702087037,0.04282723368046293,0.7607182343065395,2.3950625654921986,0.5457986649231297,,,
adult,KMeans_Standard,3,5,168328.02030016412,euclidean,0.2877012919925619,0.055864477416618354,0.7607182343065395,2.6713956813708912,0.576001502628668,,,
adult,KMeans_Standard,3,6,170400.50279872486,euclidean,0.169318791013211,0.045240123371890234,0.7607182343065395,2.8490414192003803,0.5561287773854403,,,
adult,KMeans_Standard,3,7,168327.9939722424,euclidean,0.4527372090087738,0.05587266756960423,0.7607182343065395,2.6713948273212273,0.5760217299536216,,,
adult,KMeans_Standard,3,8,170400.50279872486,euclidean,0.269563832989661,0.045240123371890234,0.7607182343065395,2.8490414192003803,0.5561287773854403,,,
adult,KMeans_Standard,3,9,175284.96789385943,euclidean,0.1901620420103427,0.21792306129402023,0.7607182343065395,2.514423662865577,0.710458245964553,,,
adult,KMeans_Standard,3,0,355774.7640619518,manhattan,0.19810533299460076,0.0446562987770035,0.7607182343065395,2.550223469226077,0.592840607875715,,,
adult,KMeans_Standard,3,1,343153.6375437927,manhattan,0.34200145897921175,0.042264741317644273,0.7607182343065395,2.392118528317583,0.5458301219420605,,,
adult,KMeans_Standard,3,2,355868.70803048287,manhattan,0.22187412501079962,0.04479263405765525,0.7607182343065395,2.54559403764314,0.5935826585330697,,,
adult,KMeans_Standard,3,3,371671.1621562264,manhattan,0.19877591700060293,0.1427411689825606,0.7607182343065395,2.862165377124557,0.6524228275365571,,,
adult,KMeans_Standard,3,4,343152.80099744373,manhattan,0.2814117920061108,0.042264741317644273,0.7607182343065395,2.392118528317583,0.5458301219420605,,,
adult,KMeans_Standard,3,5,355743.4681098844,manhattan,0.35476787498919293,0.044653332887737096,0.7607182343065395,2.5514403968849417,0.5926929963864651,,,
adult,KMeans_Standard,3,6,359031.1744847178,manhattan,0.28603479199227877,0.028501043264444893,0.7607182343065395,2.7655508849667587,0.5318963003036405,,,
adult,KMeans_Standard,3,7,355820.7764481718,manhattan,0.31635820897645317,0.04480539393794178,0.7607182343065395,2.547811598023929,0.5933457229392269,,,
adult,KMeans_Standard,3,8,358995.929282566,manhattan,0.28535712501616217,0.028512549637434284,0.7607182343065395,2.765519189058718,0.531892581315822,,,
adult,KMeans_Standard,3,9,343154.46794484457,manhattan,0.6392281249864027,0.042264741317644273,0.7607182343065395,2.392118528317583,0.5458301219420605,,,
adult,KMeans_Standard,4,0,162833.33516676567,euclidean,0.27904570900136605,0.09007665954407391,0.7663895827361696,2.7780932151772157,0.5722642263046511,,,
adult,KMeans_Standard,4,1,159540.22977987592,euclidean,0.3216107500193175,0.001347343861812595,0.7607182343065395,2.4417256762368975,0.4282202988430542,,,
adult,KMeans_Standard,4,2,159946.6047359038,euclidean,0.46274716599145904,0.008817114865423576,0.7607182343065395,2.4398217792162624,0.4820682310119503,,,
adult,KMeans_Standard,4,3,164022.34651255404,euclidean,0.25392591700074263,0.10013511239548532,0.7607182343065395,3.109817264066516,0.5700444634968294,,,
adult,KMeans_Standard,4,4,159257.93378236896,euclidean,0.2189465000119526,0.07554077567066377,0.7607182343065395,2.6671883202404416,0.520864333759334,,,
adult,KMeans_Standard,4,5,159540.2280636311,euclidean,0.31507733298349194,0.0013395756637510088,0.7607182343065395,2.4416736266005716,0.42823756233513344,,,
adult,KMeans_Standard,4,6,164852.257931863,euclidean,0.30970529199112207,0.07789384711623865,0.7607182343065395,3.0094430335423095,0.5305114832600295,,,
adult,KMeans_Standard,4,7,162202.65605475885,euclidean,0.25486600000294857,0.06268226866492195,0.7607182343065395,2.438882775164894,0.5762364899772627,,,
adult,KMeans_Standard,4,8,159540.92647243178,euclidean,0.2603381249937229,0.001376164362237022,0.7607182343065395,2.4411034528052187,0.42823756233513344,,,
adult,KMeans_Standard,4,9,159257.93378236896,euclidean,0.19084129101247527,0.07554077567066377,0.7607182343065395,2.6671883202404416,0.520864333759334,,,
adult,KMeans_Standard,4,0,346592.7895653428,manhattan,0.5533606660028454,0.09486971057712132,0.7948282216125466,2.9223477745014192,0.5904498646603884,,,
adult,KMeans_Standard,4,1,335061.0635289715,manhattan,0.6377187079924624,0.005440359811240393,0.7607182343065395,2.387650674489189,0.4787448110467268,,,
adult,KMeans_Standard,4,2,337208.10588585545,manhattan,0.4225748750031926,0.03385796522907911,0.7607182343065395,2.502439440553639,0.5617285834039125,,,
adult,KMeans_Standard,4,3,342994.89823381795,manhattan,0.32455920899519697,0.06538095711301523,0.7607182343065395,2.7836152665016316,0.5440056811325011,,,
adult,KMeans_Standard,4,4,337465.26771217724,manhattan,0.2753264580096584,0.07300384932385205,0.7607182343065395,2.766759084275553,0.5070153945275178,,,
adult,KMeans_Standard,4,5,345462.3455077757,manhattan,0.6492650839791168,0.023367736117609846,0.7607182343065395,2.4846573030001817,0.5642991401952965,,,
adult,KMeans_Standard,4,6,347576.00092009007,manhattan,0.47999525000341237,0.06259417090115832,0.7607182343065395,3.0394247802020855,0.4916546659013634,,,
adult,KMeans_Standard,4,7,353145.843242881,manhattan,0.8337822920002509,0.03778901511038451,0.7607182343065395,2.5759630764141885,0.5846387414235483,,,
adult,KMeans_Standard,4,8,335173.58849159983,manhattan,0.8743549170030747,0.005661620620662108,0.7607182343065395,2.3891157754577788,0.47873250209586543,,,
adult,KMeans_Standard,4,9,336189.6886934362,manhattan,0.8153278329991736,0.09965249183025071,0.8181687891568732,2.789948991546099,0.531445636691065,,,
adult,KMeans_Standard,5,0,153809.35454918188,euclidean,0.40958250002586283,0.04051351529188916,0.7665124278285083,2.626018352522946,0.46049388767690463,,,
adult,KMeans_Standard,5,1,153981.35696317695,euclidean,0.37059520799084567,0.03422328694938645,0.7607182343065395,2.685967216642621,0.39835878545147774,,,
adult,KMeans_Standard,5,2,154828.1956882424,euclidean,0.4736652910069097,-0.012661278248389453,0.7607182343065395,2.4360931104419423,0.42851941438483065,,,
adult,KMeans_Standard,5,3,159977.74343800233,euclidean,0.47007112501887605,0.10652019772858023,0.7607182343065395,2.676289905052948,0.5688305503336868,,,
adult,KMeans_Standard,5,4,154485.14246133954,euclidean,0.3088688339921646,0.05693815225055157,0.7607182343065395,2.645288730538385,0.5208730007621947,,,
adult,KMeans_Standard,5,5,154029.8076527269,euclidean,0.4245251670072321,0.03596869545683989,0.7665124278285083,2.6084722296165266,0.4192082117926154,,,
adult,KMeans_Standard,5,6,159284.41177463933,euclidean,0.4365878749813419,0.04170780498739965,0.7802710781704271,3.1505691269433465,0.3992823286828108,,,
adult,KMeans_Standard,5,7,156657.5675944264,euclidean,0.32927308400394395,0.09442355559533425,0.7607182343065395,2.6774692822821726,0.5512462534441466,,,
adult,KMeans_Standard,5,8,154329.94864277393,euclidean,0.8305850000178907,0.007142427279411268,0.7607182343065395,2.37452012561553,0.42827783454939294,,,
adult,KMeans_Standard,5,9,152657.6596283703,euclidean,0.2651135000050999,0.0412723773228262,0.7607182343065395,2.7458130666451943,0.4663371549151092,,,
adult,KMeans_Standard,5,0,324924.57924927643,manhattan,1.188449415989453,0.057105360598437876,0.8179026247901396,2.8543948294810373,0.43135302117943397,,,
adult,KMeans_Standard,5,1,328151.03840326535,manhattan,0.41075879099662416,0.035049135848765865,0.7607182343065395,2.6954846518785205,0.4604072278090786,,,
adult,KMeans_Standard,5,2,327011.12815610244,manhattan,0.47993891598889604,0.035579118205206615,0.7607182343065395,2.3502354902701894,0.5584830292082007,,,
adult,KMeans_Standard,5,3,330932.46788859833,manhattan,0.45242858401616104,0.06614952865714047,0.7834650505712297,2.6179634942202012,0.5545786370799678,,,
adult,KMeans_Standard,5,4,331519.1392585897,manhattan,0.5271408749977127,0.06580856195124243,0.7607182343065395,2.6762822296502966,0.5428760710602016,,,
adult,KMeans_Standard,5,5,335277.88369295764,manhattan,0.9214503330003936,0.07913629834974754,0.8072355759387413,2.854402316060516,0.5467771052118408,,,
adult,KMeans_Standard,5,6,328302.60442219034,manhattan,1.4740703330026008,0.0341834747838557,0.7944392121534745,2.736182513004312,0.41180430519844874,,,
adult,KMeans_Standard,5,7,345400.6797877855,manhattan,0.7345937499776483,0.07973556900860537,0.7607182343065395,3.1797070620674837,0.546492470844277,,,
adult,KMeans_Standard,5,8,322972.4988554704,manhattan,0.7038669580069836,0.004356623685128226,0.7607182343065395,2.3629225832906613,0.43444679362224703,,,
adult,KMeans_Standard,5,9,325050.93948931043,manhattan,0.6326805409917142,0.03233165763569564,0.7821137545555055,2.80679977846127,0.46987292970771527,,,
adult,KMeans_Standard,6,0,151005.48446105953,euclidean,0.6050214169954415,0.02784268898886676,0.7666557471029032,2.5953554943061072,0.42197243817403285,,,
adult,KMeans_Standard,6,1,151231.59932173847,euclidean,0.35978604198317043,0.0449873634895513,0.7607182343065395,2.612332953986461,0.38721162861399955,,,
adult,KMeans_Standard,6,2,148887.00090082348,euclidean,0.5197343330073636,-0.00834052925022883,0.7607182343065395,2.3059742493972197,0.42850216015070386,,,
adult,KMeans_Standard,6,3,151700.71952411352,euclidean,0.33430462499381974,0.04782716810473757,0.7607182343065395,2.7943449423653974,0.3903019056180259,,,
adult,KMeans_Standard,6,4,149645.42351489683,euclidean,0.893935958010843,0.025467818661307616,0.7607182343065395,2.9790285376453913,0.3897634404639759,,,
adult,KMeans_Standard,6,5,153936.24116960051,euclidean,0.4920528750226367,0.0601869905740238,0.7699316162319315,2.741013733700312,0.4397840863070583,,,
adult,KMeans_Standard,6,6,154572.31668295423,euclidean,0.5687600410019513,0.02478607519426632,0.7803734490807093,3.0069800783982905,0.3856436736466608,,,
adult,KMeans_Standard,6,7,151234.87098737483,euclidean,0.6887563749914989,0.040044927489656115,0.7607182343065395,2.604300294107077,0.4541904973230856,,,
