dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
adult,FCM_Standard,2,euclidean,1.5,1.0,0,6.55751487496309,0.00012142157692110528,0.5157446460013922,1.7109240598274802,0.5463726585338216
adult,FCM_Standard,2,euclidean,1.5,1.0,1,8.107642624992877,0.00012142157692110528,0.5157446460013922,1.7109240598274802,0.5463726585338216
adult,FCM_Standard,2,euclidean,1.5,1.0,2,5.990495833102614,0.00012142157692110528,0.5157446460013922,1.7109240598274802,0.5463726585338216
adult,FCM_Standard,2,euclidean,1.5,1.0,3,6.939347249921411,0.00012142157692110528,0.5157446460013922,1.7109240598274802,0.5463726585338216
adult,FCM_Standard,2,euclidean,1.5,1.0,4,6.82761941710487,0.00012142157692110528,0.5157446460013922,1.7109240598274802,0.5463726585338216
adult,FCM_Standard,2,euclidean,1.5,1.0,5,7.352927667088807,0.00012142157692110528,0.5157446460013922,1.7109240598274802,0.5463726585338216
adult,FCM_Standard,2,euclidean,1.5,1.0,6,7.238881499972194,0.00012142157692110528,0.5157446460013922,1.7109240598274802,0.5463726585338216
adult,FCM_Standard,2,euclidean,1.5,1.0,7,6.87533066701144,0.00012142157692110528,0.5157446460013922,1.7109240598274802,0.5463726585338216
adult,FCM_Standard,2,euclidean,1.5,1.0,8,7.093484042212367,0.00012142157692110528,0.5157446460013922,1.7109240598274802,0.5463726585338216
adult,FCM_Standard,2,euclidean,1.5,1.0,9,6.828534834086895,0.00012142157692110528,0.5157446460013922,1.7109240598274802,0.5463726585338216
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,0,9.86052337498404,0.0004505338775604181,0.5238524220957372,1.6972958263001434,0.5519261670386968
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,1,9.039491916075349,-0.01562732888564196,0.9375332705458417,0.7185526826496329,0.7284879605198513
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,2,7.391555458074436,0.0009052506279080326,0.5321035174644773,1.7065345976600803,0.557540318884435
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,3,10.664534500101581,0.0004505338775604181,0.5238524220957372,1.6972958263001434,0.5519261670386968
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,4,8.226066250121221,0.0004505338775604181,0.5238524220957372,1.6972958263001434,0.5519261670386968
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,5,9.848322833888233,0.0009052506279080326,0.5321035174644773,1.7065345976600803,0.557540318884435
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,6,13.307201167102903,0.0004505338775604181,0.5238524220957372,1.6972958263001434,0.5519261670386968
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,7,10.14121645805426,0.0004505338775604181,0.5238524220957372,1.6972958263001434,0.5519261670386968
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,8,11.33939337497577,0.0004505338775604181,0.5238524220957372,1.6972958263001434,0.5519261670386968
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,9,8.236506708199158,0.0009052506279080326,0.5321035174644773,1.7065345976600803,0.557540318884435
adult,FCM_Standard,2,euclidean,2.0,1.0,0,6.443216999992728,0.00014845381726761076,0.5158879652757873,1.708233510510405,0.5465446627593614
adult,FCM_Standard,2,euclidean,2.0,1.0,1,7.361156458035111,0.00014845381726761076,0.5158879652757873,1.708233510510405,0.5465446627593614
adult,FCM_Standard,2,euclidean,2.0,1.0,2,6.327123874798417,0.00014845381726761076,0.5158879652757873,1.708233510510405,0.5465446627593614
adult,FCM_Standard,2,euclidean,2.0,1.0,3,6.298573791980743,0.00014845381726761076,0.5158879652757873,1.708233510510405,0.5465446627593614
adult,FCM_Standard,2,euclidean,2.0,1.0,4,6.945401750039309,0.00014845381726761076,0.5158879652757873,1.708233510510405,0.5465446627593614
adult,FCM_Standard,2,euclidean,2.0,1.0,5,7.079664958175272,0.00014845381726761076,0.5158879652757873,1.708233510510405,0.5465446627593614
