dataset,algorithm,n_clusters,metric,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
adult,KMeans_PP,2,euclidean,0,2979137.963090499,0.047729166923090816,0.000596593568620785,0.5201875435076369,1.6976710314924182,0.5517224072555847
adult,KMeans_PP,2,euclidean,1,2142053.0870206454,0.029459916055202484,-0.01624027140204961,0.9368371483559231,0.722789841213954,0.7281896528355181
adult,KMeans_PP,2,euclidean,2,2142053.0870206454,0.01744016702286899,-0.01624027140204961,0.9368371483559231,0.722789841213954,0.7281896528355181
adult,KMeans_PP,2,euclidean,3,2979137.963090499,0.03417920786887407,0.000596593568620785,0.5201875435076369,1.6976710314924182,0.5517224072555847
adult,KMeans_PP,2,euclidean,4,2142053.0870206454,0.018118167063221335,-0.01624027140204961,0.9368371483559231,0.722789841213954,0.7281896528355181
adult,KMeans_PP,2,euclidean,5,2994683.223447264,0.05260491603985429,-0.00013262252121253135,0.5290938127021826,1.6658311413388498,0.5533428406375063
adult,KMeans_PP,2,euclidean,6,2979137.963090499,0.03374524996615946,0.000596593568620785,0.5201875435076369,1.6976710314924182,0.5517224072555847
adult,KMeans_PP,2,euclidean,7,2142053.0870206454,0.0179451669100672,-0.01624027140204961,0.9368371483559231,0.722789841213954,0.7281896528355181
adult,KMeans_PP,2,euclidean,8,2979137.963090499,0.03613966703414917,0.000596593568620785,0.5201875435076369,1.6976710314924182,0.5517224072555847
adult,KMeans_PP,2,euclidean,9,2994683.217682168,0.036991500062868,-0.00013262252121253135,0.5290938127021826,1.6658311413388498,0.5533428406375063
adult,KMeans_PP,2,manhattan,0,588612.7162586928,0.04268112499266863,-3.970353727105244e-05,0.505609925883461,1.7137421324725015,0.5394502631754526
adult,KMeans_PP,2,manhattan,1,633262.8469278144,0.044947750167921185,-0.0717402646562341,0.8850988902993325,1.482400073345016,0.7021428072992126
adult,KMeans_PP,2,manhattan,2,580912.3468328682,0.023718916112557054,-0.015793431168133688,0.9373694770893902,0.7196380113109312,0.7284154340017742
adult,KMeans_PP,2,manhattan,3,588588.0689299593,0.05153912492096424,-3.964948993966976e-05,0.5057327709757995,1.713701094560398,0.539540208136943
adult,KMeans_PP,2,manhattan,4,580912.3468328682,0.023997541051357985,-0.015793431168133688,0.9373694770893902,0.7196380113109312,0.7284154340017742
adult,KMeans_PP,2,manhattan,5,588612.0816531515,0.04451433406211436,-3.920795572185225e-05,0.5055485033372916,1.7139999904399288,0.539416729872069
adult,KMeans_PP,2,manhattan,6,588588.0689299593,0.043001624988391995,-3.964948993966976e-05,0.5057327709757995,1.713701094560398,0.539540208136943
adult,KMeans_PP,2,manhattan,7,580912.3468328682,0.028960291063413024,-0.015793431168133688,0.9373694770893902,0.7196380113109312,0.7284154340017742
adult,KMeans_PP,2,manhattan,8,588588.0689299593,0.04358675004914403,-3.964948993966976e-05,0.5057327709757995,1.713701094560398,0.539540208136943
adult,KMeans_PP,2,manhattan,9,588602.8587557562,0.043955999892205,-3.920795572185225e-05,0.5055485033372916,1.7139999904399288,0.539416729872069
adult,KMeans_PP,3,euclidean,0,1568413.7055074954,0.05782645917497575,-0.0028237421743717386,0.5221325908029975,1.0844428929409367,0.5534335227382571
adult,KMeans_PP,3,euclidean,1,1568912.276169719,0.059292040998116136,-0.003198185278307213,0.523504361000778,1.0844426602237907,0.5526680380996496
adult,KMeans_PP,3,euclidean,2,1568919.5071774726,0.04799804207868874,-0.003630695812421489,0.5059579869784202,1.089616828289419,0.5452126003098143
adult,KMeans_PP,3,euclidean,3,1569022.8754737363,0.07672541588544846,-0.004525785140839257,0.49860775562016296,1.0909093065587951,0.5386311467555598
adult,KMeans_PP,3,euclidean,4,1899495.8689365408,0.041001333156600595,-0.01743362744493267,0.925412554768437,0.8845205873169381,0.7243034307352604
adult,KMeans_PP,3,euclidean,5,1568919.5565756015,0.07957362500019372,-0.0036401652935017237,0.505896564432251,1.0896334716079543,0.5451542379233761
adult,KMeans_PP,3,euclidean,6,1569024.873997807,0.0604634580668062,-0.004525785140839257,0.49860775562016296,1.0909093065587951,0.5386311467555598
adult,KMeans_PP,3,euclidean,7,1568919.5565756015,0.051008500158786774,-0.0036401652935017237,0.505896564432251,1.0896334716079543,0.5451542379233761
adult,KMeans_PP,3,euclidean,8,1595296.017969218,0.035267333034425974,0.0013061089583278568,0.49316162319315343,1.0987846862330315,0.5373097071586718
adult,KMeans_PP,3,euclidean,9,1569024.8060981506,0.057234458858147264,-0.004525785140839257,0.49860775562016296,1.0909093065587951,0.5386311467555598
adult,KMeans_PP,3,manhattan,0,493431.29847766657,0.13306829193606973,-0.0034817002950576076,0.48869825150485235,1.0933896225851976,0.5313704236933328
adult,KMeans_PP,3,manhattan,1,542706.6901408206,0.04851333308033645,-0.02249835883315863,0.4485893288563122,1.380699334503574,0.4994154504683005
adult,KMeans_PP,3,manhattan,2,493431.29847766657,0.0532774580642581,-0.0034817002950576076,0.48869825150485235,1.0933896225851976,0.5313704236933328
adult,KMeans_PP,3,manhattan,3,493431.2984776667,0.07820999994874,-0.0034817002950576076,0.48869825150485235,1.0933896225851976,0.5313704236933328
adult,KMeans_PP,3,manhattan,4,555981.1919325094,0.0360708748921752,-0.017084457398003197,0.9264772122353712,0.8775596908976876,0.7246998487072863
adult,KMeans_PP,3,manhattan,5,493431.29847766657,0.1395590000320226,-0.0034817002950576076,0.48869825150485235,1.0933896225851976,0.5313704236933328
adult,KMeans_PP,3,manhattan,6,493431.2984776667,0.08425116678699851,-0.0034817002950576076,0.48869825150485235,1.0933896225851976,0.5313704236933328
adult,KMeans_PP,3,manhattan,7,535793.4886289113,0.06396641698665917,-0.03244190333560585,0.6318946808075018,2.5726709595631276,0.5825182705034264
adult,KMeans_PP,3,manhattan,8,493431.2984776667,0.07921691704541445,-0.0034817002950576076,0.48869825150485235,1.0933896225851976,0.5313704236933328
adult,KMeans_PP,3,manhattan,9,542708.7888891258,0.04388441704213619,-0.02249835883315863,0.4485893288563122,1.380699334503574,0.4994154504683005
adult,KMeans_PP,4,euclidean,0,1205205.8876201527,0.11084099998697639,-0.022030136780720428,0.4560419311248516,0.9350065263361,0.5032847877872707
adult,KMeans_PP,4,euclidean,1,1205205.8876201527,0.14344333298504353,-0.022030136780720428,0.4560419311248516,0.9350065263361002,0.5032847877872707
adult,KMeans_PP,4,euclidean,2,1205205.8876201527,0.0817218751180917,-0.022030136780720428,0.4560419311248516,0.9350065263361002,0.5032847877872707
adult,KMeans_PP,4,euclidean,3,1205205.8876201524,0.07919779210351408,-0.022030136780720428,0.4560419311248516,0.9350065263361,0.5032847877872707
adult,KMeans_PP,4,euclidean,4,1495129.025267734,0.05934137501753867,-0.06380706811050835,0.8022808238810859,0.9867544853343451,0.6706497349520215
adult,KMeans_PP,4,euclidean,5,1205205.8876201527,0.12240562494844198,-0.022030136780720428,0.4560419311248516,0.9350065263361,0.5032847877872707
adult,KMeans_PP,4,euclidean,6,1331513.4924368332,0.08204683312214911,-0.0052638426449173985,0.4918512755415421,1.0372225228033911,0.5342819153189573
adult,KMeans_PP,4,euclidean,7,1207110.6802426248,0.09220520802773535,-0.022280943595187234,0.42111297653658736,0.9366490776185754,0.4811476879519874
