dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
mushroom,FCM_Standard,2,euclidean,1.5,1.0,0,1.1666182081680745,0.07597127017607719,0.7567700640078779,1.3101976221835736,0.4305722585197863
mushroom,FCM_Standard,2,euclidean,1.5,1.0,1,1.1639519170857966,0.07597127017607719,0.7567700640078779,1.3101976221835736,0.4305722585197863
mushroom,FCM_Standard,2,euclidean,1.5,1.0,2,1.1279797919560224,0.07597127017607719,0.7567700640078779,1.3101976221835736,0.4305722585197863
mushroom,FCM_Standard,2,euclidean,1.5,1.0,3,1.2467060000635684,0.07597127017607719,0.7567700640078779,1.3101976221835736,0.4305722585197863
mushroom,FCM_Standard,2,euclidean,1.5,1.0,4,1.2071436669211835,0.07597127017607719,0.7567700640078779,1.3101976221835736,0.4305722585197863
mushroom,FCM_Standard,2,euclidean,1.5,1.0,5,1.1733613749966025,0.07597127017607719,0.7567700640078779,1.3101976221835736,0.4305722585197863
mushroom,FCM_Standard,2,euclidean,1.5,1.0,6,1.1277887909673154,0.07597127017607719,0.7567700640078779,1.3101976221835736,0.4305722585197863
mushroom,FCM_Standard,2,euclidean,1.5,1.0,7,1.16402491601184,0.07597127017607719,0.7567700640078779,1.3101976221835736,0.4305722585197863
mushroom,FCM_Standard,2,euclidean,1.5,1.0,8,1.2054859998170286,0.07597127017607719,0.7567700640078779,1.3101976221835736,0.4305722585197863
mushroom,FCM_Standard,2,euclidean,1.5,1.0,9,1.1981409578584135,0.07597127017607719,0.7567700640078779,1.3101976221835736,0.4305722585197863
mushroom,FCM_Standard,2,euclidean,2.0,1.0,0,1.522673083934933,0.06643439117358006,0.7241506646971935,1.4707371917946674,0.4182298775317321
mushroom,FCM_Standard,2,euclidean,2.0,1.0,1,1.6327916248701513,0.06643439117358006,0.7241506646971935,1.4707371917946674,0.4182298775317321
mushroom,FCM_Standard,2,euclidean,2.0,1.0,2,1.448964374838397,0.06643439117358006,0.7241506646971935,1.4707371917946674,0.4182298775317321
mushroom,FCM_Standard,2,euclidean,2.0,1.0,3,1.8747025830671191,0.06643439117358006,0.7241506646971935,1.4707371917946674,0.4182298775317321
mushroom,FCM_Standard,2,euclidean,2.0,1.0,4,1.7018912911880761,0.06643439117358006,0.7241506646971935,1.4707371917946674,0.4182298775317321
mushroom,FCM_Standard,2,euclidean,2.0,1.0,5,1.5750286248512566,0.06643439117358006,0.7241506646971935,1.4707371917946674,0.4182298775317321
mushroom,FCM_Standard,2,euclidean,2.0,1.0,6,1.4844258748926222,0.06643439117358006,0.7241506646971935,1.4707371917946674,0.4182298775317321
