dataset,algorithm,n_clusters,metric,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
mushroom,KMeans_PP,2,euclidean,0,294695.8368744604,0.019395291805267334,0.060017338943872484,0.6826686361398326,1.6935881063470466,0.4079445208082694
mushroom,KMeans_PP,2,euclidean,1,294699.07404545066,0.015849540941417217,0.06001230274751483,0.680822255046775,1.694596323854582,0.40729160497519346
mushroom,KMeans_PP,2,euclidean,2,294699.07404545066,0.01656345813535154,0.06001230274751483,0.680822255046775,1.694596323854582,0.40729160497519346
mushroom,KMeans_PP,2,euclidean,3,279613.9970930433,0.007289000088348985,0.09121385207315429,0.8002215657311669,1.136269855247027,0.4479701653026685
mushroom,KMeans_PP,2,euclidean,4,294699.07404545066,0.016785416984930634,0.06001230274751483,0.680822255046775,1.694596323854582,0.40729160497519346
mushroom,KMeans_PP,2,euclidean,5,294699.07404545066,0.01594270789064467,0.06001230274751483,0.680822255046775,1.694596323854582,0.40729160497519346
mushroom,KMeans_PP,2,euclidean,6,294695.8368744604,0.011249749921262264,0.060017338943872484,0.6826686361398326,1.6935881063470466,0.4079445208082694
mushroom,KMeans_PP,2,euclidean,7,344553.3180545795,0.008137166034430265,-0.013200441214575339,0.8170851797144264,2.0190898791153162,0.37849657644800977
mushroom,KMeans_PP,2,euclidean,8,294699.07404545066,0.014799125026911497,0.06001230274751483,0.680822255046775,1.694596323854582,0.40729160497519346
mushroom,KMeans_PP,2,euclidean,9,279613.9970930433,0.011547292117029428,0.09121385207315429,0.8002215657311669,1.136269855247027,0.4479701653026685
mushroom,KMeans_PP,2,manhattan,0,147297.29675725877,0.012020624941214919,0.0630765783852263,0.6984244214672575,1.7346674236108077,0.41091829510510935
mushroom,KMeans_PP,2,manhattan,1,147294.8005003127,0.01364483404904604,0.06308397019237309,0.6991629739044806,1.7339780862136935,0.4112304509159222
mushroom,KMeans_PP,2,manhattan,2,147292.56968465704,0.013495875056833029,0.0630765783852263,0.6984244214672575,1.7346674236108077,0.41091829510510935
mushroom,KMeans_PP,2,manhattan,3,147294.8005003127,0.01472537498921156,0.06308397019237309,0.6991629739044806,1.7339780862136935,0.4112304509159222
mushroom,KMeans_PP,2,manhattan,4,147292.22872104566,0.01236637495458126,0.0630808062221489,0.6989167897587395,1.73427265786033,0.41112640726354127
mushroom,KMeans_PP,2,manhattan,5,146921.58555463038,0.015249666990712285,0.08426714846175994,0.707287050713934,1.6225137984090048,0.41686897807857426
mushroom,KMeans_PP,2,manhattan,6,147284.45035699103,0.014190166955813766,0.06309766044801438,0.6999015263417036,1.7333651185748569,0.41154253318804457
mushroom,KMeans_PP,2,manhattan,7,155225.49160282986,0.007222792133688927,0.023378425854206138,0.7591088133924175,2.45553412885174,0.3972860691677007
mushroom,KMeans_PP,2,manhattan,8,147290.4749612488,0.011042999802157283,0.06309766044801438,0.6999015263417036,1.7333651185748569,0.41154253318804457
mushroom,KMeans_PP,2,manhattan,9,147284.45035699103,0.019018791848793626,0.06309766044801438,0.6999015263417036,1.7333651185748569,0.41154253318804457
mushroom,KMeans_PP,3,euclidean,0,231041.38706919935,0.024495749967172742,0.1507036789148087,0.6221073362875431,1.6974880578336198,0.4885352691074303
mushroom,KMeans_PP,3,euclidean,1,231041.36439039497,0.02596129197627306,0.1510183021481743,0.6223535204332841,1.6974899637338812,0.4887604849955383
mushroom,KMeans_PP,3,euclidean,2,231041.38706919935,0.017973917070776224,0.1507036789148087,0.6221073362875431,1.6974880578336198,0.4885352691074303
mushroom,KMeans_PP,3,euclidean,3,231521.7986169212,0.018101500114426017,0.11428304585547537,0.5811176760216642,1.6588148986778493,0.446006905626442
mushroom,KMeans_PP,3,euclidean,4,231041.364390395,0.03648154204711318,0.1510183021481743,0.6223535204332841,1.6974899637338812,0.4887604849955383
mushroom,KMeans_PP,3,euclidean,5,231041.36439039497,0.020491624949499965,0.1510183021481743,0.6223535204332841,1.6974899637338812,0.4887604849955383
mushroom,KMeans_PP,3,euclidean,6,231041.38706919935,0.03008595807477832,0.1507036789148087,0.6221073362875431,1.6974880578336202,0.4885352691074303
mushroom,KMeans_PP,3,euclidean,7,231521.79861692124,0.02512441691942513,0.11428304585547537,0.5811176760216642,1.6588148986778493,0.446006905626442
mushroom,KMeans_PP,3,euclidean,8,232325.4773974528,0.019820540910586715,0.1318676172883757,0.6067208271787297,1.6316592218016268,0.4669173077302673
mushroom,KMeans_PP,3,euclidean,9,231521.79861692124,0.029379290994256735,0.11428304585547537,0.5811176760216642,1.6588148986778493,0.446006905626442
mushroom,KMeans_PP,3,manhattan,0,125890.57999068507,0.033631457947194576,0.08531289289340276,0.6325701624815362,1.6009294853370288,0.41117061463991667
mushroom,KMeans_PP,3,manhattan,1,125891.2423672531,0.02443445799872279,0.08537825447218225,0.6324470704086657,1.6011149952833188,0.4111254556299177
mushroom,KMeans_PP,3,manhattan,2,125890.57999068507,0.03315654210746288,0.08531289289340276,0.6325701624815362,1.6009294853370288,0.41117061463991667
mushroom,KMeans_PP,3,manhattan,3,125880.8043133333,0.043874042108654976,0.08542953853097199,0.6334318069916297,1.6009834956811557,0.411573977570927
mushroom,KMeans_PP,3,manhattan,4,125894.8724503729,0.04232341586612165,0.08537825447218225,0.6324470704086657,1.6011149952833188,0.4111254556299177
mushroom,KMeans_PP,3,manhattan,5,130791.40952127476,0.021536790998652577,0.13193327300851757,0.6147218119153126,1.6542213761604254,0.4681152366950811
mushroom,KMeans_PP,3,manhattan,6,125880.8043133333,0.03193041612394154,0.08542953853097199,0.6334318069916297,1.6009834956811557,0.411573977570927
