dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
pen-based,FCM_Standard,2,euclidean,1.5,1.0,0,5.189252416836098,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,1,4.705651625059545,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,2,5.56146249989979,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,3,4.405482874950394,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,4,5.047041958896443,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,5,5.672538416925818,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,6,4.764041292015463,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,7,5.158035665983334,0.13439912451953476,0.9008369723435226,1.888855195269867,0.3022168088041564
pen-based,FCM_Standard,2,euclidean,1.5,1.0,8,3.957568874815479,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,9,5.171167958993465,0.13439912451953476,0.9008369723435226,1.888855195269867,0.3022168088041564
pen-based,FCM_Standard,2,euclidean,2.0,1.0,0,8.15930491592735,0.10225922146663587,0.8529839883551674,1.8608401516639848,0.28149445988018057
pen-based,FCM_Standard,2,euclidean,2.0,1.0,1,8.071249541826546,0.10237555188368319,0.853438864628821,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,2,9.039142915979028,0.10237555188368319,0.853438864628821,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,3,7.284771875012666,0.10237555188368319,0.853438864628821,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,4,8.540365417022258,0.10237555188368319,0.853438864628821,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,5,8.576351832831278,0.10225922146663587,0.8529839883551674,1.8608401516639848,0.28149445988018057
pen-based,FCM_Standard,2,euclidean,2.0,1.0,6,7.948741167085245,0.10237555188368319,0.853438864628821,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,7,12.378263208083808,0.10225922146663587,0.8529839883551674,1.8608401516639848,0.28149445988018057
pen-based,FCM_Standard,2,euclidean,2.0,1.0,8,6.972145749954507,0.10225922146663587,0.8529839883551674,1.8608401516639848,0.28149445988018057
pen-based,FCM_Standard,2,euclidean,2.0,1.0,9,10.747842625016347,0.10237555188368319,0.853438864628821,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.5,1.0,0,1.8149875830858946,0.09834474624131695,0.8327874818049491,1.9353309422402822,0.27490262368604074
pen-based,FCM_Standard,2,euclidean,2.5,1.0,1,2.30383091699332,0.10435325695776514,0.8568959243085881,1.831886849937544,0.2828623672757895
pen-based,FCM_Standard,2,euclidean,2.5,1.0,2,1.9225528750102967,0.10755264355346773,0.8501637554585153,1.8631100623215129,0.2867356681667491
pen-based,FCM_Standard,2,euclidean,2.5,1.0,3,2.281395624857396,0.10363061085586128,0.8563500727802038,1.8371673723318764,0.28266466296433834
pen-based,FCM_Standard,2,euclidean,2.5,1.0,4,1.656235541915521,0.10560792972051176,0.8485262008733624,1.839533867476744,0.2841198739107225
pen-based,FCM_Standard,2,euclidean,2.5,1.0,5,1.8830707089509815,0.09651975155767528,0.8156841339155749,1.993682276142443,0.2724619322938688
pen-based,FCM_Standard,2,euclidean,2.5,1.0,6,2.0505807080771774,0.10424075702122848,0.8565320232896652,1.8317946843257658,0.2827455669082661
pen-based,FCM_Standard,2,euclidean,2.5,1.0,7,1.1370517080649734,0.13786522879791066,0.9008369723435226,1.9109917123840525,0.30124489659433584
pen-based,FCM_Standard,2,euclidean,2.5,1.0,8,1.7023354170378298,0.10133585810819876,0.8487991266375546,1.8788806267614078,0.28011272280093324
pen-based,FCM_Standard,2,euclidean,2.5,1.0,9,1.6979827908799052,0.1388640018312061,0.8811863173216885,2.0605875932532833,0.2959261607265999
pen-based,FCM_Standard,3,euclidean,1.5,1.0,0,4.33325762511231,0.19853926661481414,0.7736535662299855,1.5156791649957058,0.3576793913962971
pen-based,FCM_Standard,3,euclidean,1.5,1.0,1,4.727787500014529,0.19853926661481414,0.7736535662299855,1.5156791649957058,0.3576793913962971
pen-based,FCM_Standard,3,euclidean,1.5,1.0,2,4.255370708880946,0.19853926661481414,0.7736535662299855,1.5156791649957058,0.3576793913962971
pen-based,FCM_Standard,3,euclidean,1.5,1.0,3,3.981448292033747,0.19853926661481414,0.7736535662299855,1.5156791649957058,0.3576793913962971
pen-based,FCM_Standard,3,euclidean,1.5,1.0,4,5.557167791994289,0.19853926661481414,0.7736535662299855,1.5156791649957058,0.3576793913962971
pen-based,FCM_Standard,3,euclidean,1.5,1.0,5,3.718369208043441,0.19853926661481414,0.7736535662299855,1.5156791649957058,0.3576793913962971
pen-based,FCM_Standard,3,euclidean,1.5,1.0,6,4.5841635840479285,0.19853926661481414,0.7736535662299855,1.5156791649957058,0.3576793913962971
pen-based,FCM_Standard,3,euclidean,1.5,1.0,7,4.54642479098402,0.19853926661481414,0.7736535662299855,1.5156791649957058,0.3576793913962971
pen-based,FCM_Standard,3,euclidean,1.5,1.0,8,4.841748374979943,0.19853926661481414,0.7736535662299855,1.5156791649957058,0.3576793913962971
pen-based,FCM_Standard,3,euclidean,1.5,1.0,9,3.8741391671355814,0.19853926661481414,0.7736535662299855,1.5156791649957058,0.3576793913962971
pen-based,FCM_Standard,3,euclidean,2.0,1.0,0,8.218295583035797,0.21235645453251842,0.7967612809315866,1.5243864272292822,0.3660487794434214
pen-based,FCM_Standard,3,euclidean,2.0,1.0,1,7.533716042060405,0.21235645453251842,0.7967612809315866,1.5243864272292822,0.3660487794434214
pen-based,FCM_Standard,3,euclidean,2.0,1.0,2,7.018357541877776,0.21235645453251842,0.7967612809315866,1.5243864272292822,0.3660487794434214
pen-based,FCM_Standard,3,euclidean,2.0,1.0,3,6.6134202079847455,0.21235645453251842,0.7967612809315866,1.5243864272292822,0.3660487794434214
pen-based,FCM_Standard,3,euclidean,2.0,1.0,4,7.4555683340877295,0.21235645453251842,0.7967612809315866,1.5243864272292822,0.3660487794434214
pen-based,FCM_Standard,3,euclidean,2.0,1.0,5,6.847995499847457,0.21235645453251842,0.7967612809315866,1.5243864272292822,0.3660487794434214
pen-based,FCM_Standard,3,euclidean,2.0,1.0,6,6.711475291987881,0.21235645453251842,0.7967612809315866,1.5243864272292822,0.3660487794434214
pen-based,FCM_Standard,3,euclidean,2.0,1.0,7,9.303112792083994,0.21235645453251842,0.7967612809315866,1.5243864272292822,0.3660487794434214
pen-based,FCM_Standard,3,euclidean,2.0,1.0,8,6.747382167028263,0.21235645453251842,0.7967612809315866,1.5243864272292822,0.3660487794434214
pen-based,FCM_Standard,3,euclidean,2.0,1.0,9,6.540603625122458,0.21235645453251842,0.7967612809315866,1.5243864272292822,0.3660487794434214
pen-based,FCM_Standard,3,euclidean,2.5,1.0,0,2.0829024580307305,0.09460110342220034,0.8135917030567685,1.874823209955095,0.2716538904783094
pen-based,FCM_Standard,3,euclidean,2.5,1.0,1,2.108799207955599,0.22181207319613405,0.8356986899563319,1.5957069022259105,0.38559902815857405
pen-based,FCM_Standard,3,euclidean,2.5,1.0,2,2.2428387079853565,0.16209547385777348,0.7913027656477438,1.593853541485159,0.3527673518195597
pen-based,FCM_Standard,3,euclidean,2.5,1.0,3,2.839027540991083,0.09744806634897032,0.8129548762736536,1.9922573389079299,0.2739851192672237
pen-based,FCM_Standard,3,euclidean,2.5,1.0,4,2.531571000115946,0.16549210919383275,0.7974890829694323,1.9054380828269084,0.3562686159689855
pen-based,FCM_Standard,3,euclidean,2.5,1.0,5,2.7972745827864856,0.09642580457386406,0.7986717612809315,1.9077733488804114,0.27486305999558563
pen-based,FCM_Standard,3,euclidean,2.5,1.0,6,2.779061457840726,0.1048639783580982,0.8503457059679768,2.001711653882625,0.2828910722933453
