dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
pen-based,FCM_Standard,2,euclidean,1.5,1.0,0,5.189252416836098,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,1,4.705651625059545,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,2,5.56146249989979,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,3,4.405482874950394,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,4,5.047041958896443,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,5,5.672538416925818,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,6,4.764041292015463,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,7,5.158035665983334,0.13439912451953476,0.9008369723435226,1.888855195269867,0.3022168088041564
pen-based,FCM_Standard,2,euclidean,1.5,1.0,8,3.957568874815479,0.10399253107330209,0.8617176128093159,1.8188759132420607,0.2844704025196173
pen-based,FCM_Standard,2,euclidean,1.5,1.0,9,5.171167958993465,0.13439912451953476,0.9008369723435226,1.888855195269867,0.3022168088041564
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,0,8.715491374954581,0.13704838831099364,0.9065684133915575,1.8820193895305837,0.30454917107637225
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,1,2.742051291046664,0.10257138341667164,0.863264192139738,1.774947313625962,0.2851668810984513
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,2,2.552871874999255,0.13700638248184657,0.9065684133915575,1.8818840670485206,0.3045565898355991
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,3,2.55783983389847,0.10257138341667164,0.863264192139738,1.774947313625962,0.2851668810984513
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,4,3.0133374170400202,0.10257138341667164,0.863264192139738,1.774947313625962,0.2851668810984513
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,5,3.664615625049919,0.13704838831099364,0.9065684133915575,1.8820193895305837,0.30454917107637225
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,6,2.5620965829584748,0.10257138341667164,0.863264192139738,1.774947313625962,0.2851668810984513
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,7,2.378826375119388,0.1369590493172918,0.9064774381368268,1.881946289044598,0.3045210218939766
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,8,2.1702724581118673,0.102492288381958,0.8631732168850073,1.7752087129215193,0.28513358495055413
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,9,2.1839077500626445,0.13700638248184657,0.9065684133915575,1.8818840670485206,0.3045565898355991
pen-based,FCM_Standard,2,euclidean,2.0,1.0,0,8.15930491592735,0.10225922146663587,0.8529839883551674,1.8608401516639848,0.28149445988018057
pen-based,FCM_Standard,2,euclidean,2.0,1.0,1,8.071249541826546,0.10237555188368319,0.853438864628821,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,2,9.039142915979028,0.10237555188368319,0.853438864628821,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,3,7.284771875012666,0.10237555188368319,0.853438864628821,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,4,8.540365417022258,0.10237555188368319,0.853438864628821,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,5,8.576351832831278,0.10225922146663587,0.8529839883551674,1.8608401516639848,0.28149445988018057
pen-based,FCM_Standard,2,euclidean,2.0,1.0,6,7.948741167085245,0.10237555188368319,0.853438864628821,1.8588975850442848,0.28164918028564423
pen-based,FCM_Standard,2,euclidean,2.0,1.0,7,12.378263208083808,0.10225922146663587,0.8529839883551674,1.8608401516639848,0.28149445988018057
pen-based,FCM_Standard,2,euclidean,2.0,1.0,8,6.972145749954507,0.10225922146663587,0.8529839883551674,1.8608401516639848,0.28149445988018057
pen-based,FCM_Standard,2,euclidean,2.0,1.0,9,10.747842625016347,0.10237555188368319,0.853438864628821,1.8588975850442848,0.28164918028564423
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,0,7.831076834117994,0.1393421402907495,0.9092976710334789,1.884304975018624,0.30527841763601643
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,1,2.25509462505579,0.10207673237308147,0.8614446870451238,1.7755259742961789,0.28454070975165463
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,2,2.1978984579909593,0.13928153567909052,0.9092066957787481,1.8842451271484753,0.3052523493268813
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,3,2.0011187919881195,0.10207673237308147,0.8614446870451238,1.7755259742961789,0.28454070975165463
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,4,2.445350541966036,0.10207673237308147,0.8614446870451238,1.7755259742961789,0.28454070975165463
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,5,3.6109896251000464,0.1393421402907495,0.9092976710334789,1.884304975018624,0.30527841763601643
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,6,1.992945458041504,0.10207673237308147,0.8614446870451238,1.7755259742961789,0.28454070975165463
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,7,2.0902475418988615,0.1392109585623385,0.9091157205240175,1.8841921912502213,0.3052262582787963
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,8,2.3476014581974596,0.10210460384816405,0.8614446870451238,1.775926730559992,0.28453922621705274
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,9,1.8884795422200114,0.1392109585623385,0.9091157205240175,1.8841921912502213,0.3052262582787963
pen-based,FCM_Standard,2,euclidean,2.5,1.0,0,1.8149875830858946,0.09834474624131695,0.8327874818049491,1.9353309422402822,0.27490262368604074
pen-based,FCM_Standard,2,euclidean,2.5,1.0,1,2.30383091699332,0.10435325695776514,0.8568959243085881,1.831886849937544,0.2828623672757895
pen-based,FCM_Standard,2,euclidean,2.5,1.0,2,1.9225528750102967,0.10755264355346773,0.8501637554585153,1.8631100623215129,0.2867356681667491
pen-based,FCM_Standard,2,euclidean,2.5,1.0,3,2.281395624857396,0.10363061085586128,0.8563500727802038,1.8371673723318764,0.28266466296433834
pen-based,FCM_Standard,2,euclidean,2.5,1.0,4,1.656235541915521,0.10560792972051176,0.8485262008733624,1.839533867476744,0.2841198739107225
pen-based,FCM_Standard,2,euclidean,2.5,1.0,5,1.8830707089509815,0.09651975155767528,0.8156841339155749,1.993682276142443,0.2724619322938688
pen-based,FCM_Standard,2,euclidean,2.5,1.0,6,2.0505807080771774,0.10424075702122848,0.8565320232896652,1.8317946843257658,0.2827455669082661
pen-based,FCM_Standard,2,euclidean,2.5,1.0,7,1.1370517080649734,0.13786522879791066,0.9008369723435226,1.9109917123840525,0.30124489659433584
pen-based,FCM_Standard,2,euclidean,2.5,1.0,8,1.7023354170378298,0.10133585810819876,0.8487991266375546,1.8788806267614078,0.28011272280093324
pen-based,FCM_Standard,2,euclidean,2.5,1.0,9,1.6979827908799052,0.1388640018312061,0.8811863173216885,2.0605875932532833,0.2959261607265999
pen-based,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,0,7.754538124892861,0.13923994344981738,0.9092976710334789,1.8837289645397586,0.30532681611083967
pen-based,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,1,1.9080061248969287,0.10156415904797533,0.861353711790393,1.76691456878011,0.2845554009289709
pen-based,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,2,1.825408459175378,0.13923994344981738,0.9092976710334789,1.8837289645397586,0.30532681611083967
pen-based,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,3,1.6506523750722408,0.10156415904797533,0.861353711790393,1.76691456878011,0.2845554009289709
pen-based,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,4,2.101908667013049,0.10156415904797533,0.861353711790393,1.76691456878011,0.2845554009289709
