dataset,algorithm,n_clusters,metric,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
pen-based,KMeans_PP,2,euclidean,0,12850.144679626317,0.018046541837975383,0.1377050483973761,0.9078420669577875,1.8807006560736164,0.3050856260389679
pen-based,KMeans_PP,2,euclidean,1,12850.36344887509,0.009903499856591225,0.13392925054038848,0.902929403202329,1.8774575820090669,0.3037448837901962
pen-based,KMeans_PP,2,euclidean,2,12811.88368989477,0.007632707944139838,0.08525644124129807,0.9249454148471615,1.591043921194934,0.2977099790099912
pen-based,KMeans_PP,2,euclidean,3,12861.690094263116,0.010050083044916391,0.10018882620082294,0.863901018922853,1.7293923788179177,0.28577674959566746
pen-based,KMeans_PP,2,euclidean,4,12861.825720223316,0.018645124975591898,0.10062828134809185,0.8646288209606987,1.7332929326110946,0.28598754046902675
pen-based,KMeans_PP,2,euclidean,5,12861.8793129949,0.019845000002533197,0.10062828134809185,0.8646288209606987,1.7332929326110946,0.28598754046902675
pen-based,KMeans_PP,2,euclidean,6,12811.913906553096,0.00933825015090406,0.08532573190218738,0.9250363901018923,1.5913423648169343,0.29774293078694564
pen-based,KMeans_PP,2,euclidean,7,12861.651127706687,0.007471917197108269,0.10038728335771602,0.8643558951965066,1.7303906566422034,0.2859238943244882
pen-based,KMeans_PP,2,euclidean,8,12850.07458692521,0.01206258311867714,0.13628671483358415,0.9060225618631732,1.879713329067646,0.30456167024432224
pen-based,KMeans_PP,2,euclidean,9,12850.014522039604,0.011676917085424066,0.13651601918949544,0.9062954876273653,1.8798538458644631,0.3046434776696628
pen-based,KMeans_PP,2,manhattan,0,38469.17222553272,0.018945040879771113,0.11048442307607417,0.8662663755458515,1.868304865331147,0.2934512828256557
pen-based,KMeans_PP,2,manhattan,1,38474.70011974314,0.008950624847784638,0.1078215657745181,0.861353711790393,1.864280064183563,0.29225806994134645
pen-based,KMeans_PP,2,manhattan,2,38270.16802871052,0.010262208059430122,0.07629524300396465,0.9081149927219796,1.5855312708954423,0.2910051465692451
pen-based,KMeans_PP,2,manhattan,3,38089.223158372806,0.011925542028620839,0.09672712583018882,0.8517103347889374,1.7705536723015713,0.2813860873746996
pen-based,KMeans_PP,2,manhattan,4,38086.54427108339,0.0225427090190351,0.09663146672501043,0.8518922852983989,1.7718187355910124,0.2814451798308453
pen-based,KMeans_PP,2,manhattan,5,38484.014771382645,0.021184500074014068,0.10417589876897403,0.8536208151382824,1.8594732662610947,0.29013613336711486
pen-based,KMeans_PP,2,manhattan,6,38282.3222984263,0.011031875154003501,0.07640879081017829,0.9066593886462883,1.5942685987321994,0.29032731609956003
pen-based,KMeans_PP,2,manhattan,7,38061.94551110138,0.0076500410214066505,0.09768070543209646,0.8565320232896652,1.7545292293292343,0.28315468421671286
pen-based,KMeans_PP,2,manhattan,8,38469.21196055328,0.017430124804377556,0.11046167327287924,0.8663573508005823,1.8679804180242483,0.2934781043814144
pen-based,KMeans_PP,2,manhattan,9,38470.34488188479,0.016034166095778346,0.10977050392871995,0.8649927219796215,1.86745445920979,0.29312004642015554
pen-based,KMeans_PP,3,euclidean,0,10225.414012989335,0.02090704208239913,0.23726711263297526,0.8283296943231441,1.5400195461099448,0.38378256852475107
pen-based,KMeans_PP,3,euclidean,1,10225.677122191757,0.0485942920204252,0.2367470839501869,0.8268740902474527,1.5401439213964876,0.3831510499809709
pen-based,KMeans_PP,3,euclidean,2,10159.686716118458,0.012716165976598859,0.20247008653624535,0.8579876273653566,1.4292834115577593,0.38742672603101724
pen-based,KMeans_PP,3,euclidean,3,10225.429215435328,0.01112591684795916,0.23730916871463079,0.8284206695778749,1.5400997501097315,0.38382632538470984
pen-based,KMeans_PP,3,euclidean,4,10225.424469614125,0.024514832999557257,0.23734985300401895,0.8285116448326055,1.5400395487708227,0.38386258719343636
pen-based,KMeans_PP,3,euclidean,5,10225.512899732432,0.01539183291606605,0.23709408326316764,0.8277838427947598,1.5403454334868913,0.3835496113226143
pen-based,KMeans_PP,3,euclidean,6,10159.568556182534,0.013766250107437372,0.20234733040998468,0.8577147016011645,1.4295301985170148,0.38728518386260447
pen-based,KMeans_PP,3,euclidean,7,10159.610153454336,0.014103458961471915,0.20237527004112807,0.8578056768558951,1.4294139756677933,0.3873296194174854
pen-based,KMeans_PP,3,euclidean,8,10225.611141131141,0.03280679089948535,0.23701412477282932,0.8273289665211062,1.540175507427515,0.38335144205082394
pen-based,KMeans_PP,3,euclidean,9,10159.663895683683,0.021951332921162248,0.20244173180328995,0.8578966521106259,1.4293976593725024,0.38738229398164065
pen-based,KMeans_PP,3,manhattan,0,33518.90934273794,0.024401874979957938,0.21169856659705247,0.8297852983988355,1.6656749198204988,0.3839087724412384
pen-based,KMeans_PP,3,manhattan,1,33516.25374302179,0.07838924997486174,0.21096813817387233,0.8290574963609898,1.6641908126597167,0.38363193609698726
pen-based,KMeans_PP,3,manhattan,2,34268.97709170231,0.011341291014105082,0.24149549202437487,0.8749090247452693,1.7357525792780573,0.40370706630526076
pen-based,KMeans_PP,3,manhattan,3,33506.90605760306,0.05051199998706579,0.21070846655974312,0.8294213973799127,1.6613462366783913,0.3837804033151124
pen-based,KMeans_PP,3,manhattan,4,34286.83376168669,0.04514449997805059,0.2451666441834833,0.8850982532751092,1.740939205113231,0.40731995942702615
pen-based,KMeans_PP,3,manhattan,5,33481.0466182893,0.04105033399537206,0.21009491743450934,0.8291484716157205,1.6538604372392072,0.3836132231521265
pen-based,KMeans_PP,3,manhattan,6,33173.910641700386,0.030672583961859345,0.19665267865139208,0.8342430858806404,1.4917449068094708,0.3777707058469774
pen-based,KMeans_PP,3,manhattan,7,33508.12565809221,0.061821750132367015,0.21085849636201265,0.8294213973799127,1.6620553556864912,0.3837730537858542
pen-based,KMeans_PP,3,manhattan,8,33510.96161856924,0.01913066697306931,0.2110630627195364,0.8296033478893741,1.6629860449884404,0.383867746015642
pen-based,KMeans_PP,3,manhattan,9,34277.01142745583,0.018476624973118305,0.24470685939110148,0.8824599708879185,1.737294214086619,0.4064733538680482
pen-based,KMeans_PP,4,euclidean,0,8905.682626338086,0.025635375175625086,0.31009691223449803,0.8469796215429404,1.4633963267319525,0.4765821128810388
pen-based,KMeans_PP,4,euclidean,1,8905.483153825187,0.041780499974265695,0.31141442663432023,0.848344250363901,1.4660070191515944,0.47754478981129134
pen-based,KMeans_PP,4,euclidean,2,8909.81744522509,0.014520416036248207,0.2956658893876877,0.7968522561863173,1.5708512163227717,0.45695326343704645
pen-based,KMeans_PP,4,euclidean,3,8525.527142667012,0.025971792172640562,0.3199370759788927,0.8193231441048034,1.4540728061469557,0.4710950389214673
pen-based,KMeans_PP,4,euclidean,4,8905.437631137798,0.059177250135689974,0.31156524900913407,0.848344250363901,1.465802733526847,0.4774909895961941
pen-based,KMeans_PP,4,euclidean,5,8525.754444572296,0.026960333110764623,0.31846666105635846,0.818504366812227,1.451884395426803,0.4706230239285548
pen-based,KMeans_PP,4,euclidean,6,8525.665708694634,0.019846708048135042,0.3188721259855578,0.8190502183406113,1.452204870445668,0.47090758268845295
pen-based,KMeans_PP,4,euclidean,7,8905.509289908685,0.020811208989471197,0.31100452441785525,0.8479803493449781,1.4656380431255887,0.4772896797761614
pen-based,KMeans_PP,4,euclidean,8,8525.596432341876,0.017183291958644986,0.31909525958167,0.8191411935953421,1.4527615725225105,0.470967271308595
pen-based,KMeans_PP,4,euclidean,9,8525.734739083497,0.03315508319064975,0.31871973425574374,0.8190502183406113,1.451850397282695,0.47089928600029596
pen-based,KMeans_PP,4,manhattan,0,29852.234508548798,0.035082750022411346,0.31614795355113345,0.8202328966521106,1.465274190551996,0.4718409648167586
pen-based,KMeans_PP,4,manhattan,1,29855.77379326061,0.04872204200364649,0.31607455296624587,0.82014192139738,1.46548996466756,0.4718169372679462
pen-based,KMeans_PP,4,manhattan,2,29854.345972848678,0.040948541136458516,0.31626660593386624,0.8203238719068413,1.465639150583947,0.4719162595765179
pen-based,KMeans_PP,4,manhattan,3,29866.910073292885,0.029810332925990224,0.31555532699914607,0.8195050946142649,1.4661807729882304,0.4714877208500119
pen-based,KMeans_PP,4,manhattan,4,29853.816020751176,0.053677459014579654,0.3159987764211122,0.819778020378457,1.4648233156728052,0.47161470761161517
pen-based,KMeans_PP,4,manhattan,5,30579.68383029997,0.025101750157773495,0.29798055163454523,0.7755640465793304,1.6223869964626643,0.4527240389445638
pen-based,KMeans_PP,4,manhattan,6,29851.491756413612,0.020046915858983994,0.3162284898951383,0.8203238719068413,1.4655871109567264,0.47189215047034333
pen-based,KMeans_PP,4,manhattan,7,29853.153315416268,0.038757083006203175,0.316082893250366,0.82014192139738,1.4657103513668241,0.4718062607184809
pen-based,KMeans_PP,4,manhattan,8,29853.965274719812,0.030397667083889246,0.31611561660676507,0.82014192139738,1.465375443281121,0.47181320466313875
pen-based,KMeans_PP,4,manhattan,9,29853.48990195556,0.05135562503710389,0.31620106799679903,0.8203238719068413,1.4660114563809379,0.4719023965722691
pen-based,KMeans_PP,5,euclidean,0,7567.181071489548,0.025149125140160322,0.361872456974101,0.8118631732168851,1.2974034948302482,0.532580276217301
pen-based,KMeans_PP,5,euclidean,1,7566.893902742656,0.02629700000397861,0.36241866455044436,0.8123180494905385,1.2971298527514783,0.5330027737465957
pen-based,KMeans_PP,5,euclidean,2,7913.592477919169,0.025695541873574257,0.32928886205408237,0.7897561863173217,1.4838027875889548,0.5167731791015411
pen-based,KMeans_PP,5,euclidean,3,7618.938413505825,0.015012582996860147,0.3720654314957582,0.8178675400291121,1.260512715670407,0.5312278532885042
pen-based,KMeans_PP,5,euclidean,4,7530.681165204616,0.02596816699951887,0.35531692292464184,0.8164119359534207,1.3564184870494678,0.5334249232542211
pen-based,KMeans_PP,5,euclidean,5,7618.918012163749,0.026120000053197145,0.37285282083540605,0.818504366812227,1.2598259862270544,0.5315830714023394
pen-based,KMeans_PP,5,euclidean,6,7530.706335902046,0.02239749999716878,0.3553428540182126,0.8164119359534207,1.3563207008818554,0.5334201205997827
pen-based,KMeans_PP,5,euclidean,7,7567.445352939845,0.04888858296908438,0.36404920214852,0.8152292576419214,1.2946100199840065,0.534496012207986
pen-based,KMeans_PP,5,euclidean,8,7618.886311428328,0.06832720898091793,0.372351375957664,0.8183224163027657,1.2605872846328552,0.531460227529782
pen-based,KMeans_PP,5,euclidean,9,7618.952174529502,0.021722041070461273,0.372026092397946,0.8177765647743813,1.2604905147572683,0.5311817560046651
pen-based,KMeans_PP,5,manhattan,0,28249.59646018824,0.03511145804077387,0.3376853549803845,0.7829330422125182,1.3101235440567485,0.5113575006347966
pen-based,KMeans_PP,5,manhattan,1,28254.8749906351,0.0649664169177413,0.337269179793911,0.7818413391557496,1.3122348146948473,0.5109779211488322
pen-based,KMeans_PP,5,manhattan,2,27785.635577333655,0.045870832866057754,0.354157904025568,0.7625545851528385,1.433075958932028,0.5040453324305388
pen-based,KMeans_PP,5,manhattan,3,27786.981454339817,0.042338750092312694,0.3629388076141022,0.7964883551673945,1.3449115295858938,0.5184048892232632
pen-based,KMeans_PP,5,manhattan,4,28102.84067863173,0.03145720809698105,0.3440842375372854,0.8128639010189228,1.3502771940622633,0.52724588837328
pen-based,KMeans_PP,5,manhattan,5,27789.490260867824,0.039651041850447655,0.3537540081081471,0.7621906841339156,1.434674325111564,0.5037485951156029
pen-based,KMeans_PP,5,manhattan,6,28102.554890510983,0.03478583297692239,0.3442424968190787,0.8125909752547307,1.3509761964545925,0.5271066126103424
pen-based,KMeans_PP,5,manhattan,7,28248.82234792036,0.06747491704300046,0.33713056244490475,0.7820232896652111,1.3108125263078019,0.5107239428045895
pen-based,KMeans_PP,5,manhattan,8,27791.120633384762,0.05124974995851517,0.35388998172228975,0.762372634643377,1.4344575560768782,0.5038608199307689
pen-based,KMeans_PP,5,manhattan,9,27783.953713446117,0.03902916703373194,0.3630899389748818,0.7972161572052402,1.3436252390044712,0.5188699002228482
pen-based,KMeans_PP,6,euclidean,0,7044.251119805254,0.02673983294516802,0.4113651103252088,0.7806586608442504,1.4776150673450603,0.5767819721009956
pen-based,KMeans_PP,6,euclidean,1,6629.022611959828,0.07135358406230807,0.4188354313668209,0.8158660844250364,1.242698524137894,0.5941140500882471
pen-based,KMeans_PP,6,euclidean,2,6628.986201430074,0.0374507918022573,0.4194731667576914,0.8158660844250364,1.2431476533798058,0.5942314673199693
pen-based,KMeans_PP,6,euclidean,3,6628.990046539408,0.03726512496359646,0.4194731667576914,0.8158660844250364,1.2431476533798058,0.5942314673199693
pen-based,KMeans_PP,6,euclidean,4,6628.96126760668,0.07804358308203518,0.41876984943315754,0.8158660844250364,1.2424949182685927,0.5941226116431596
pen-based,KMeans_PP,6,euclidean,5,6628.96126760668,0.07518270798027515,0.41876984943315754,0.8158660844250364,1.2424949182685927,0.5941226116431596
pen-based,KMeans_PP,6,euclidean,6,6628.992956949844,0.02287595788948238,0.4187303421667016,0.8154112081513828,1.2427275218381097,0.5938542036052079
pen-based,KMeans_PP,6,euclidean,7,7637.22758086324,0.027915084036067128,0.3456987848176505,0.7631004366812227,1.6201004994961485,0.5520931682354178
pen-based,KMeans_PP,6,euclidean,8,7344.281229463687,0.08530562510713935,0.3714468651635597,0.7556404657933042,1.5431215034174544,0.5374003342334119
pen-based,KMeans_PP,6,euclidean,9,6988.641150351497,0.03048091707751155,0.4175987682503776,0.7977620087336245,1.2458119614457077,0.5780351902431391
pen-based,KMeans_PP,6,manhattan,0,26033.235215813977,0.060839499812573195,0.3895218898827554,0.7541848617176128,1.355736185450272,0.5594113745171381
pen-based,KMeans_PP,6,manhattan,1,26031.37967045568,0.03791358391754329,0.38977463113589866,0.7545487627365357,1.3565263304533417,0.5597147733053413
pen-based,KMeans_PP,6,manhattan,2,26028.39359417742,0.0858786660246551,0.3913796661583404,0.7565502183406113,1.3523950030117833,0.561351443107421
pen-based,KMeans_PP,6,manhattan,3,26028.39359417742,0.07616150006651878,0.3913796661583404,0.7565502183406113,1.3523950030117835,0.561351443107421
pen-based,KMeans_PP,6,manhattan,4,26033.25373457651,0.042873207945376635,0.3895472179467189,0.7541848617176128,1.3555780752360038,0.5594082592664134
pen-based,KMeans_PP,6,manhattan,5,26031.190700182902,0.05076925014145672,0.3895597796811211,0.7540029112081513,1.355275270209539,0.5592977319183163
pen-based,KMeans_PP,6,manhattan,6,26027.088449054074,0.03635091707110405,0.39116317243624443,0.7564592430858806,1.3534932982947467,0.5612549981484486
pen-based,KMeans_PP,6,manhattan,7,26029.08593208267,0.06590229109860957,0.3909024889454288,0.7560953420669578,1.3537685699109643,0.5609847435121021
pen-based,KMeans_PP,6,manhattan,8,26032.124378571018,0.10512895788997412,0.38983822422499464,0.7545487627365357,1.3547589896013659,0.5597349426885746
pen-based,KMeans_PP,6,manhattan,9,25870.41612468087,0.025131499860435724,0.41567105616393607,0.7897561863173217,1.276425887690943,0.5743416164301189
pen-based,KMeans_PP,7,euclidean,0,5999.417161958507,0.06447920808568597,0.47302837033923206,0.7959425036390102,1.2362768581209502,0.6407449181998967
pen-based,KMeans_PP,7,euclidean,1,6268.14786496538,0.07085687504149973,0.4091933190662637,0.7725618631732168,1.2894084423700352,0.5863101829571037
pen-based,KMeans_PP,7,euclidean,2,6250.047631238635,0.035564125049859285,0.43462889680054856,0.8025836972343523,1.2316808748107846,0.6129748098993356
pen-based,KMeans_PP,7,euclidean,3,6342.8072438190065,0.02705699997022748,0.4722613689195547,0.8047671033478894,1.4023712605376617,0.6451657502546945
pen-based,KMeans_PP,7,euclidean,4,5999.422488608574,0.02919191704131663,0.472717585063877,0.7959425036390102,1.23457072673095,0.6406665924188077
