dataset,preprocessing,n_features_orig,n_features_reduced,algorithm,n_clusters,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
pen-based,PCA_2D,16,2,KMeans_FEKM,2,0,5232.5809036779865,0.166336250025779,0.1225147014907075,0.20651382823871905,1.1348974111756838,0.29912924460521934
pen-based,PCA_2D,16,2,KMeans_FEKM,3,0,2816.008017792995,0.1627050000242889,0.19906326104088876,0.3010371179039301,0.7527041819180945,0.35836848795771575
pen-based,PCA_2D,16,2,KMeans_FEKM,4,0,1718.518375355204,0.16585112502798438,0.2836700868315898,0.3568959243085881,0.6655988228106728,0.4604711082802526
pen-based,PCA_2D,16,2,KMeans_FEKM,5,0,1094.5586942454943,0.16604545805603266,0.37516737130063343,0.4540574963609898,0.5938925993510015,0.5390297443282719
pen-based,PCA_2D,16,2,KMeans_FEKM,6,0,927.6442879951912,0.16960604209452868,0.4236152101331837,0.5094614264919942,0.6794357093991293,0.584625873444782
pen-based,PCA_2D,16,2,KMeans_FEKM,7,0,804.033945768362,0.18093158397823572,0.4206052654141364,0.5287481804949054,0.7274666205747841,0.5791517811837487
pen-based,PCA_2D,16,2,KMeans_FEKM,8,0,705.4389286835072,0.18438662495464087,0.42379191144415895,0.5572234352256187,0.7557946866760478,0.5978801857977653
pen-based,PCA_2D,16,2,KMeans_FEKM,9,0,585.5522914780043,0.1911739157512784,0.42200304832123614,0.5909752547307132,0.7670681758623211,0.6069449618513851
pen-based,PCA_2D,16,2,KMeans_FEKM,10,0,519.758707414433,0.20394545840099454,0.41409648006582284,0.5900655021834061,0.7711572988214846,0.5879320219518844
pen-based,PCA_3D,16,3,KMeans_FEKM,2,0,7733.104165642346,0.18013883288949728,0.1305790158712732,0.20642285298398835,1.424333715947068,0.3021412488982063
pen-based,PCA_3D,16,3,KMeans_FEKM,3,0,5189.048041165699,0.1880173753015697,0.20315047684067894,0.3048580786026201,0.9913342745378183,0.38599708952713147
pen-based,PCA_3D,16,3,KMeans_FEKM,4,0,3707.150957571276,0.1930841668508947,0.28834583039640066,0.39128457059679767,0.8804482396515708,0.4485243640337514
pen-based,PCA_3D,16,3,KMeans_FEKM,5,0,2789.676345420712,0.1971897496841848,0.3203555255032903,0.44677947598253276,0.8148506082314653,0.5047843098125325
pen-based,PCA_3D,16,3,KMeans_FEKM,6,0,2278.0291150839976,0.19051687512546778,0.3780872975980816,0.4985443959243086,0.8391958836427892,0.549042495783691
pen-based,PCA_3D,16,3,KMeans_FEKM,7,0,1881.9725241231938,0.24146837508305907,0.4582983037095057,0.5791484716157205,0.7729610933937857,0.6337912004992178
pen-based,PCA_3D,16,3,KMeans_FEKM,8,0,1767.1737991536727,0.1988730002194643,0.4826437678252784,0.6267285298398836,0.8804037860070335,0.654805775191755
pen-based,PCA_3D,16,3,KMeans_FEKM,9,0,1543.1292218372066,0.22401108406484127,0.4703571286636359,0.6394650655021834,0.8529680890943583,0.6480908127416302
pen-based,PCA_3D,16,3,KMeans_FEKM,10,0,1472.7732158942501,0.2332301251590252,0.46735919053746233,0.6568413391557496,0.8607997233729057,0.6482859079666294
pen-based,PCA_5D,16,5,KMeans_FEKM,2,0,10139.571329733391,0.21988029219210148,0.13657034604763132,0.20642285298398835,1.666340749967714,0.3046211238781176
pen-based,PCA_5D,16,5,KMeans_FEKM,3,0,7566.242298730487,0.22445075027644634,0.23433176228506866,0.300127365356623,1.3224559701399785,0.3819673040590169
pen-based,PCA_5D,16,5,KMeans_FEKM,4,0,6270.221922858881,0.22423329204320908,0.2933307557442679,0.38837336244541487,1.3162809691294155,0.45619249484327073
pen-based,PCA_5D,16,5,KMeans_FEKM,5,0,5357.147820820629,0.22999799996614456,0.3280061703565415,0.4434133915574964,1.2318065054958507,0.5143797843464453
pen-based,PCA_5D,16,5,KMeans_FEKM,6,0,4102.972897191547,0.23220791574567556,0.41373079149809344,0.5410298398835517,0.99468014717537,0.5856213559617184
pen-based,PCA_5D,16,5,KMeans_FEKM,7,0,3539.845203539902,0.24233220797032118,0.46491458063136676,0.5924308588064047,0.9585238837934383,0.6335687413051251
pen-based,PCA_5D,16,5,KMeans_FEKM,8,0,3253.1677762709137,0.2483860836364329,0.454186495314292,0.6011644832605532,0.9932415318507031,0.629641949730829
pen-based,PCA_5D,16,5,KMeans_FEKM,9,0,2969.1113839877353,0.26321983290836215,0.4703500336649483,0.6383733624454149,0.9438509764117966,0.6555691369057015
