dataset,preprocessing,n_features_orig,n_features_reduced,algorithm,n_clusters,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
adult,PCA_2D,105,2,KMeans_FEKM,2,0,22347.734174584555,8.914035874884576,0.1799041039987715,0.7607182343065395,0.5471796178423866,0.7357686020996449
adult,PCA_2D,105,2,KMeans_FEKM,3,0,8530.808418690149,6.495964458212256,0.04271223114898592,0.7607182343065395,0.537605113480368,0.5489388062948077
adult,PCA_2D,105,2,KMeans_FEKM,4,0,4497.099797813581,3.261699666734785,0.008003991141173086,0.7607182343065395,0.47297392386861925,0.4891174861046299
adult,PCA_2D,105,2,KMeans_FEKM,5,0,2804.647622881621,3.2000418747775257,-0.010036251984539809,0.7607182343065395,0.46459486527684113,0.4271315759315695
adult,PCA_2D,105,2,KMeans_FEKM,6,0,1802.6518606397904,6.4720702092163265,-0.006050446879598261,0.7607182343065395,0.44030402746255043,0.4271315759315695
adult,PCA_2D,105,2,KMeans_FEKM,7,0,1545.6950453945942,3.2891744589433074,-0.01640084466006331,0.7607182343065395,0.5166887344656745,0.4271315759315695
adult,PCA_2D,105,2,KMeans_FEKM,8,0,1388.882005912565,3.25722191715613,-0.02818150159940755,0.7607182343065395,0.6145345182625096,0.4271315759315695
adult,PCA_2D,105,2,KMeans_FEKM,9,0,1328.189759717102,3.282807749696076,-0.027958474367171148,0.7607182343065395,0.6517895680929962,0.4254967206148851
adult,PCA_2D,105,2,KMeans_FEKM,10,0,1288.303513370382,4.676630000118166,-0.027521501831051128,0.7628884976045207,0.6817794687602285,0.42547937066967245
adult,PCA_3D,105,3,KMeans_FEKM,2,0,37321.272709717174,3.538787166122347,0.1799041039987715,0.7607182343065395,0.8527623039721022,0.7357686020996449
adult,PCA_3D,105,3,KMeans_FEKM,3,0,23504.087938586337,3.5492222919128835,0.04271912389393261,0.7607182343065395,0.9095583198229541,0.5489580372614801
adult,PCA_3D,105,3,KMeans_FEKM,4,0,19187.39059301943,6.583689999766648,0.007933736555517544,0.7607182343065395,0.9710223607806512,0.4886398393288064
adult,PCA_3D,105,3,KMeans_FEKM,5,0,14319.877182505825,3.709610417019576,0.045848214131752094,0.7781827116006715,0.8467972510435076,0.4826571723750205
adult,PCA_3D,105,3,KMeans_FEKM,6,0,11450.209946266066,3.624853165820241,0.03656449403187284,0.7783669792391794,0.7466295311965975,0.47838442443430845
adult,PCA_3D,105,3,KMeans_FEKM,7,0,8501.079638323066,3.665364374872297,0.013985072687653095,0.7782441341468408,0.7641504169558536,0.3738619982228917
adult,PCA_3D,105,3,KMeans_FEKM,8,0,8750.52923772358,3.579338790848851,0.01317807920963868,0.7787969370623644,0.8768843733658942,0.399583661307807
adult,PCA_3D,105,3,KMeans_FEKM,9,0,6339.841574969237,3.7239574999548495,0.0032105925244066144,0.779022153064985,0.7228979324239586,0.3292671581701003
adult,PCA_3D,105,3,KMeans_FEKM,10,0,5973.028891317205,3.98543475009501,0.0026940986458581498,0.779022153064985,0.7296833810316729,0.32914422697238166
adult,PCA_5D,105,5,KMeans_FEKM,2,0,60404.660937009816,6.609654707834125,0.17996889672322866,0.7607182343065395,1.122151735205989,0.7358049569888062
adult,PCA_5D,105,5,KMeans_FEKM,3,0,45475.28708996046,4.069853000342846,0.042751048298843256,0.7607182343065395,1.304124798562939,0.5465316562277536
adult,PCA_5D,105,5,KMeans_FEKM,4,0,39717.341975290576,4.0857110833749175,0.0027758646462645266,0.7607182343065395,1.197893164847077,0.47864497024089836
adult,PCA_5D,105,5,KMeans_FEKM,5,0,35397.51518812477,4.110201625153422,0.04454569435559905,0.77916547233938,1.2517529393751832,0.45527770775469667
adult,PCA_5D,105,5,KMeans_FEKM,6,0,31200.408275642352,4.146797583438456,0.024130748922606013,0.7791245239752672,1.3599015190243946,0.3553052709974732
adult,PCA_5D,105,5,KMeans_FEKM,7,0,28246.65082288494,4.284477416891605,0.012264526439906987,0.77916547233938,1.322658763021128,0.33849392437368625
adult,PCA_5D,105,5,KMeans_FEKM,8,0,26277.33003065465,4.290743166115135,0.010028391615847116,0.7792064207034929,1.2739546235086663,0.33843210127979023
adult,PCA_5D,105,5,KMeans_FEKM,9,0,24484.45051299265,4.352215041872114,0.008063441637387859,0.7792883174317186,1.1716344759696742,0.3384159607216518
adult,PCA_5D,105,5,KMeans_FEKM,10,0,22401.172447283614,4.543550542090088,0.0013623614397584246,0.779308791613775,1.162395141590939,0.33840873652402115
