dataset,preprocessing,n_features_orig,n_features_reduced,algorithm,n_clusters,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
pen-based,PCA_2D,16,2,Kernel_KMeans,2,0,3436.5123011999635,8.891074125189334,0.1237025234294582,0.20296579330422126,1.2473720052474881,0.2915822590961379
pen-based,PCA_2D,16,2,Kernel_KMeans,3,0,2127.574385840243,20.329599750228226,0.22116931167974524,0.3016739446870451,0.7414384419279078,0.3775798066292612
pen-based,PCA_2D,16,2,Kernel_KMeans,4,0,1466.6083026446406,5.458991541992873,0.29816300024460524,0.3564410480349345,0.670042393684254,0.46716448616265743
pen-based,PCA_2D,16,2,Kernel_KMeans,5,0,990.7154628967864,5.202071333769709,0.37535290491987555,0.4538755458515284,0.5938664949286598,0.5396376650005404
pen-based,PCA_2D,16,2,Kernel_KMeans,6,0,848.8684054449388,15.34024666575715,0.4237999385200647,0.5091885007278021,0.6792739980422434,0.5848673531331104
pen-based,PCA_2D,16,2,Kernel_KMeans,7,0,742.4674923514865,31.684090708382428,0.423661243762167,0.5310225618631732,0.7260479726759745,0.5819457208876115
pen-based,PCA_2D,16,2,Kernel_KMeans,8,0,640.1397823890029,30.833964833058417,0.4119655586357229,0.5559497816593887,0.7766637012751547,0.5811028817033204
pen-based,PCA_2D,16,2,Kernel_KMeans,9,0,554.6542351143469,32.48663274990395,0.4211439023972183,0.5905203784570596,0.7691856911326869,0.6083872785240076
pen-based,PCA_2D,16,2,Kernel_KMeans,10,0,495.3177277497348,28.094451957847923,0.41574075703151675,0.592339883551674,0.772316765178336,0.590117349102898
pen-based,PCA_3D,16,3,Kernel_KMeans,2,0,3680.894179601184,14.20026187505573,0.14311366768274314,0.20705967976710335,1.4356192552237137,0.3068994327558239
pen-based,PCA_3D,16,3,Kernel_KMeans,3,0,2641.2590991330535,11.5763268340379,0.23118176171700272,0.30112809315866085,1.0814254603237334,0.3788836728280964
pen-based,PCA_3D,16,3,Kernel_KMeans,4,0,2246.8727691584536,14.674384291749448,0.2180999093749305,0.35407569141193596,0.8685018808545167,0.44138498165195433
pen-based,PCA_3D,16,3,Kernel_KMeans,5,0,1617.415707298804,6.331963416654617,0.3199550039828841,0.447325327510917,0.812739074147936,0.5050254278786068
pen-based,PCA_3D,16,3,Kernel_KMeans,6,0,1347.7030736075317,18.396505875047296,0.39147347559713025,0.4992721979621543,0.8079867168570618,0.5597165369114021
pen-based,PCA_3D,16,3,Kernel_KMeans,7,0,1129.665373779704,23.001476041972637,0.4599563886384997,0.5806950509461426,0.7770755516971344,0.6339684362572442
pen-based,PCA_3D,16,3,Kernel_KMeans,8,0,1011.1211609350958,17.675677583087236,0.44520954471855617,0.5856077147016011,0.7693480087903559,0.6223323528472761
pen-based,PCA_3D,16,3,Kernel_KMeans,9,0,922.572000079515,58.38749879132956,0.4519118487054049,0.6118995633187773,0.8556746196031966,0.6292144295413408
pen-based,PCA_3D,16,3,Kernel_KMeans,10,0,855.0808094387033,31.566355291754007,0.486560993523445,0.6733988355167394,0.9200287314000566,0.665184221620053
pen-based,PCA_5D,16,5,Kernel_KMeans,2,0,3186.2976115037527,13.023705832660198,0.1459603396265991,0.20687772925764192,1.6776000063660113,0.3072266285661796
pen-based,PCA_5D,16,5,Kernel_KMeans,3,0,2458.1318078223476,10.379487874917686,0.203123804140701,0.3072234352256186,1.208229540400206,0.3885084303905828
pen-based,PCA_5D,16,5,Kernel_KMeans,4,0,2187.366524219321,10.195216333959252,0.22052533078938855,0.36080786026200873,1.100395124368699,0.4437441077300254
pen-based,PCA_5D,16,5,Kernel_KMeans,5,0,1722.200810819009,11.619900042191148,0.35756626808416364,0.4465065502183406,1.1154394646058292,0.5296562573155985
pen-based,PCA_5D,16,5,Kernel_KMeans,6,0,1627.0892600866955,8.219043290708214,0.34779092170548376,0.45414847161572053,1.13552019898955,0.5230913331952128
pen-based,PCA_5D,16,5,Kernel_KMeans,7,0,1365.2242110245115,5.0906230001710355,0.4042653551522379,0.5490356622998545,1.0261104110982837,0.5820111557771857
pen-based,PCA_5D,16,5,Kernel_KMeans,8,0,1183.1620208581135,8.082835624925792,0.4552951775578124,0.6009825327510917,0.9926503635281845,0.629613688662765
pen-based,PCA_5D,16,5,Kernel_KMeans,9,0,1089.4949556960914,8.421728750225157,0.47077872400990783,0.638646288209607,0.94388976915678,0.6556780275955719
