dataset,preprocessing,n_features_orig,n_features_reduced,algorithm,n_clusters,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
adult,PCA_2D,105,2,Kernel_KMeans,2,0,16630.234648314938,214.29947462500422,-0.030643111454708563,0.7607182343065395,0.815914242609906,0.6008430746308108
adult,PCA_2D,105,2,Kernel_KMeans,3,0,6474.180956366542,199.26752291698358,0.04302778737948225,0.7607182343065395,0.5396695527961195,0.5480520044220467
adult,PCA_2D,105,2,Kernel_KMeans,4,0,3873.393232908472,224.29185645800317,0.008228653079366212,0.7607182343065395,0.46968114357817514,0.49022545508220483
adult,PCA_2D,105,2,Kernel_KMeans,5,0,2541.5391200197337,189.88038204199984,-0.010281120970096381,0.7607182343065395,0.4629063216712626,0.4271315759315695
adult,PCA_2D,105,2,Kernel_KMeans,6,0,2257.4414973603025,305.21415370801697,0.02621317029776399,0.7692969165881823,0.5800549818282826,0.37565201820960714
adult,PCA_2D,105,2,Kernel_KMeans,7,0,1438.5611152988618,233.13574291701661,0.030001861196016204,0.7692969165881823,0.5440672948839305,0.37565201820960714
adult,PCA_2D,105,2,Kernel_KMeans,8,0,1202.4712848673635,345.54190545898746,0.019355548826089,0.7692969165881823,0.5995407440015469,0.37565201820960714
adult,PCA_2D,105,2,Kernel_KMeans,9,0,1067.9772770229852,284.15814225000213,0.01547583234135226,0.7691331231317309,0.671543355043375,0.35919951647166953
adult,PCA_2D,105,2,Kernel_KMeans,10,0,1000.6789731352183,346.4243231670116,0.0318348650206874,0.7756439130256746,0.7254537639078404,0.3509299913765872
adult,PCA_3D,105,3,Kernel_KMeans,2,0,16394.73123209055,182.8649320419936,0.18003370104466465,0.7607182343065395,0.8526823527574005,0.735841311269849
adult,PCA_3D,105,3,Kernel_KMeans,3,0,11881.365655832125,225.37221708300058,0.04289187512861667,0.7607182343065395,0.9120788531931394,0.5484418059889513
adult,PCA_3D,105,3,Kernel_KMeans,4,0,10139.36924405361,198.5696822909813,0.006693986273219972,0.7607182343065395,0.9637122574622426,0.4805750687039734
adult,PCA_3D,105,3,Kernel_KMeans,5,0,7726.224696813454,227.2217730830016,0.0460684684088803,0.7780393923262766,0.8390444689204811,0.47867965613998514
adult,PCA_3D,105,3,Kernel_KMeans,6,0,6379.399544195122,295.93196625000564,0.03641819496940218,0.7780393923262766,0.7437983953983206,0.4808119450878049
adult,PCA_3D,105,3,Kernel_KMeans,7,0,5560.908167392428,246.85968920899904,0.018450866013675696,0.7784079276032922,0.9218802425771574,0.39873201738186453
adult,PCA_3D,105,3,Kernel_KMeans,8,0,4390.426025293287,248.91611533300602,0.008463592073376566,0.7785921952418001,0.7407610535009163,0.32896793660665913
adult,PCA_3D,105,3,Kernel_KMeans,9,0,3991.5965234290097,268.12336454199976,0.010307808658320884,0.7785921952418001,0.753095794926617,0.32896793660665913
adult,PCA_3D,105,3,Kernel_KMeans,10,0,3787.360489811848,292.07101758298813,0.004847914441655609,0.7785921952418001,0.7672143841577184,0.3130157485330456
adult,PCA_5D,105,5,Kernel_KMeans,2,0,17039.051822167137,179.71256229199935,0.18003370104466465,0.7607182343065395,1.122102221522985,0.735841311269849
adult,PCA_5D,105,5,Kernel_KMeans,3,0,13940.700467503693,259.5470849169942,0.042796900008003576,0.7607182343065395,1.3040624390229298,0.5466120991219211
adult,PCA_5D,105,5,Kernel_KMeans,4,0,12671.731603666194,239.41666612500558,0.008309869107399288,0.7607182343065395,1.4203875980574587,0.4907011766032665
adult,PCA_5D,105,5,Kernel_KMeans,5,0,11481.331707810958,266.710714832996,-0.017723723537942954,0.7607182343065395,1.3348026045052528,0.42815124002628857
adult,PCA_5D,105,5,Kernel_KMeans,6,0,10684.91637129533,280.2570218750043,-0.030011485079769282,0.7607182343065395,1.2837349490646062,0.42815124002628857
adult,PCA_5D,105,5,Kernel_KMeans,7,0,10380.0311661478,373.6511625419953,-0.030100085291993747,0.7607182343065395,1.304730824450275,0.42791523048692337
adult,PCA_5D,105,5,Kernel_KMeans,8,0,8576.18973063627,269.0695942500024,-0.0022685632892431333,0.7677204045698375,1.2089731798613275,0.3427615416728459
adult,PCA_5D,105,5,Kernel_KMeans,9,0,7909.79869027536,402.4741210830107,-0.004640062588435412,0.7677204045698375,1.141088869461401,0.3270338516547947
adult,PCA_5D,105,5,Kernel_KMeans,10,0,7448.203458485701,370.7682382079947,-0.008107555712033053,0.7676999303877811,1.121637664281245,0.32705485861709316
