dataset,preprocessing,n_features_orig,n_features_reduced,algorithm,n_clusters,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
adult,PCA_2D,105,2,Kernel_KMeans,2,0,16630.234648314938,214.29947462500425,-0.0306431114547085,0.7607182343065395,0.815914242609906,0.6008430746308108
adult,PCA_2D,105,2,Kernel_KMeans,3,0,6474.180956366542,199.2675229169836,0.0430277873794822,0.7607182343065395,0.5396695527961195,0.5480520044220467
adult,PCA_2D,105,2,Kernel_KMeans,4,0,3873.393232908472,224.29185645800317,0.0082286530793662,0.7607182343065395,0.4696811435781751,0.4902254550822048
adult,PCA_2D,105,2,Kernel_KMeans,5,0,2541.5391200197337,189.88038204199984,-0.0102811209700963,0.7607182343065395,0.4629063216712626,0.4271315759315695
adult,PCA_2D,105,2,Kernel_KMeans,6,0,2257.4414973603025,305.21415370801697,0.0262131702977639,0.7692969165881823,0.5800549818282826,0.3756520182096071
adult,PCA_2D,105,2,Kernel_KMeans,7,0,1438.5611152988618,233.1357429170166,0.0300018611960162,0.7692969165881823,0.5440672948839305,0.3756520182096071
adult,PCA_2D,105,2,Kernel_KMeans,8,0,1202.4712848673637,345.54190545898746,0.019355548826089,0.7692969165881823,0.5995407440015469,0.3756520182096071
adult,PCA_2D,105,2,Kernel_KMeans,9,0,1067.9772770229852,284.15814225000213,0.0154758323413522,0.7691331231317309,0.671543355043375,0.3591995164716695
adult,PCA_2D,105,2,Kernel_KMeans,10,0,1000.6789731352184,346.4243231670116,0.0318348650206874,0.7756439130256746,0.7254537639078404,0.3509299913765872
adult,PCA_3D,105,3,Kernel_KMeans,2,0,16394.73123209055,182.8649320419936,0.1800337010446646,0.7607182343065395,0.8526823527574005,0.735841311269849
adult,PCA_3D,105,3,Kernel_KMeans,3,0,11881.365655832124,225.37221708300055,0.0428918751286166,0.7607182343065395,0.9120788531931394,0.5484418059889513
adult,PCA_3D,105,3,Kernel_KMeans,4,0,10139.36924405361,198.5696822909813,0.0066939862732199,0.7607182343065395,0.9637122574622426,0.4805750687039734
adult,PCA_3D,105,3,Kernel_KMeans,5,0,7726.224696813454,227.2217730830016,0.0460684684088803,0.7780393923262766,0.8390444689204811,0.4786796561399851
adult,PCA_3D,105,3,Kernel_KMeans,6,0,6379.399544195122,295.93196625000564,0.0364181949694021,0.7780393923262766,0.7437983953983206,0.4808119450878049
adult,PCA_3D,105,3,Kernel_KMeans,7,0,5560.908167392428,246.85968920899904,0.0184508660136756,0.7784079276032922,0.9218802425771574,0.3987320173818645
